lv,1.0,opt,1.0,opt
h2,H2 grid,H2 grid,no H2 grid,no H2 grid
transmission lines,12.850137789302035,32.33145900038787,12.850222026866264,36.85114807647447
electricity distribution grid,39.08462717332035,39.16169383786746,39.780342117745384,39.22252771020973
fossil oil and gas,7.377049984067879,8.289446759322843,8.106917028349487,11.199463076126218
hydroelectricity,18.12307035501106,18.12303748705631,18.1230862018135,18.123096704819503
solid biomass,29.888692162082958,29.88869216207666,29.888692162053715,29.888692161950303
biogas,23.518031265686183,23.51803065817988,23.51815440237312,23.51815454810184
onshore wind,210.24125193974862,199.0610883441273,212.91098328475172,207.79192855350198
offshore wind,46.72964688585324,59.11183086013712,43.98637019848892,56.529383941491595
solar PV,130.76010991223964,104.02530462461783,161.18317160801266,116.61402537717578
solar thermal,1.6290237381841288,0.625561630550179,1.6450916559879019,0.905964417920535
solar rooftop,17.649445253682288,13.715183987462076,18.116618056308695,15.122530483892904
power-to-heat,63.000055952955556,64.91517930545389,65.7479110628555,68.94765818530071
gas-to-power/heat,50.50869923298951,36.39262570451403,45.058387231130546,34.29732263810524
power-to-gas,74.78815760112447,64.64204523528488,81.177834208879,67.11907788867214
H2 pipeline,6.478761110531497,5.578980823409873,0.0,0.0
H2 storage,9.1909705076359,8.661540648051286,9.775037369419435,8.377318232873092
power-to-liquid,32.73227695538117,31.13999443920886,34.57420142459017,28.066493897787723
battery storage,17.048634537188804,5.539078112036613,20.740217633261132,7.037177936085878
hot water storage,1.143951383480209,0.5847958952452705,1.5708320827031685,0.8807750295980368
CCS,18.829526592813934,18.829455411353386,25.60400216443116,22.97477649320862
DAC,0.0021568231985236047,0.001213905466472809,2.970836239437255,0.0016141659270917758
SMR,0.0003102499726621054,0.00021771620962109605,0.1222984716918601,2.0796598628905945
