snapshot,DAC,Fischer-Tropsch,SMR CC,Sabatier,co2 stored,gas for industry CC,process emissions CC,solid biomass for industry CC,urban central gas CHP CC,urban central solid biomass CHP CC
2013-01-01 00:00:00,0.0,-33.37,0.0,-5.5,-25.6,6.05,14.19,24.05,0.0,20.17
2013-01-01 03:00:00,0.0,-33.37,0.0,-5.5,-28.12,6.05,14.19,24.05,0.0,22.69
2013-01-01 06:00:00,0.0,-33.37,0.0,-5.5,-28.38,6.05,14.19,24.05,0.0,22.95
2013-01-01 09:00:00,0.0,-33.37,0.0,-5.81,-25.78,6.05,14.19,24.05,0.0,20.67
2013-01-01 12:00:00,0.0,-33.37,0.0,-5.5,-25.51,6.05,14.19,24.05,0.0,20.08
2013-01-01 15:00:00,0.0,-33.37,0.0,-5.49,-29.87,6.05,14.19,24.05,0.0,24.44
2013-01-01 18:00:00,0.0,-33.37,0.0,-5.5,-29.57,6.05,14.19,24.05,0.0,24.14
2013-01-01 21:00:00,0.0,-33.37,0.0,-5.5,-28.52,6.05,14.19,24.05,0.0,23.1
2013-01-02 00:00:00,0.0,-33.37,0.0,-5.5,-28.78,6.05,14.19,24.05,0.0,23.35
2013-01-02 03:00:00,0.0,-33.37,0.0,-5.48,-30.71,6.05,14.19,24.05,0.0,25.26
2013-01-02 06:00:00,0.0,-33.37,0.0,-5.47,-30.5,6.05,14.19,24.05,0.0,25.04
2013-01-02 09:00:00,0.0,-33.37,0.0,-5.5,-29.75,6.05,14.19,24.05,0.0,24.32
2013-01-02 12:00:00,0.0,-33.37,0.0,-5.49,-29.93,6.05,14.19,24.05,0.0,24.5
2013-01-02 15:00:00,0.0,-33.37,0.0,-5.47,-30.46,6.05,14.19,24.05,0.0,25.0
2013-01-02 18:00:00,0.0,-33.37,0.0,-5.48,-29.94,6.05,14.19,24.05,0.0,24.5
2013-01-02 21:00:00,0.0,-33.37,0.0,-5.49,-28.79,6.05,14.19,24.05,0.0,23.36
2013-01-03 00:00:00,0.0,-33.37,0.0,-5.49,-28.15,6.05,14.19,24.05,0.0,22.72
2013-01-03 03:00:00,0.0,-33.37,0.0,-5.48,-28.89,6.05,14.19,24.05,0.0,23.45
2013-01-03 06:00:00,0.0,-33.37,0.0,-5.47,-28.84,6.05,14.19,24.05,0.0,23.38
2013-01-03 09:00:00,0.0,-33.37,0.0,-5.77,-27.64,6.05,14.19,24.05,0.0,22.49
2013-01-03 12:00:00,0.0,-33.37,0.0,-5.43,-28.26,6.05,14.19,24.05,0.0,22.77
2013-01-03 15:00:00,0.0,-30.34,0.0,-4.46,-32.51,6.05,14.19,24.05,0.0,23.01
2013-01-03 18:00:00,0.0,-30.65,0.0,-4.84,-31.69,6.05,14.19,24.05,0.0,22.89
2013-01-03 21:00:00,0.0,-30.28,0.0,-4.81,-30.82,6.05,14.19,24.05,0.0,21.62
2013-01-04 00:00:00,0.0,-31.01,0.0,-4.67,-30.06,6.05,14.19,24.05,0.0,21.44
2013-01-04 03:00:00,0.0,-31.34,0.0,-4.53,-30.55,6.05,14.19,24.05,0.0,22.13
2013-01-04 06:00:00,0.0,-31.52,0.0,-4.34,-30.43,6.05,14.19,24.05,0.0,21.99
2013-01-04 09:00:00,0.0,-31.32,0.0,-3.78,-29.82,6.05,14.19,24.05,0.0,20.63
2013-01-04 12:00:00,0.0,-28.39,0.0,-2.77,-33.53,6.05,14.19,24.05,0.0,20.4
2013-01-04 15:00:00,0.0,-22.72,0.0,-1.68,-42.35,6.05,14.19,24.05,0.0,22.46
2013-01-04 18:00:00,0.0,-23.85,0.0,-1.51,-41.51,6.05,14.19,24.05,0.0,22.57
2013-01-04 21:00:00,0.0,-21.38,0.0,-1.41,-43.41,6.05,14.19,24.05,0.0,21.9
2013-01-05 00:00:00,0.0,-21.0,0.0,-1.31,-42.6,6.05,14.19,24.05,0.0,20.61
2013-01-05 03:00:00,0.0,-21.9,0.0,-1.17,-45.51,6.05,14.19,24.05,0.0,24.28
2013-01-05 06:00:00,0.0,-19.77,0.0,-1.11,-48.21,6.05,14.19,24.05,0.0,24.79
2013-01-05 09:00:00,0.0,-17.88,0.0,-1.11,-48.96,6.05,14.19,24.05,0.0,23.66
2013-01-05 12:00:00,0.0,-15.64,0.0,-1.08,-51.21,6.05,14.19,24.05,0.0,23.64
2013-01-05 15:00:00,0.0,-11.17,0.0,-0.88,-58.12,6.05,14.19,24.05,0.0,25.87
2013-01-05 18:00:00,0.0,-11.44,0.0,-0.0,-59.36,6.05,14.19,24.05,0.0,26.51
2013-01-05 21:00:00,0.0,-6.4,0.0,-0.0,-64.34,6.05,14.19,24.05,0.0,26.44
