snapshot,OCGT,SMR,SMR CC,Sabatier,biogas to gas,gas,gas for industry CC,residential rural gas boiler,residential urban decentral gas boiler,services rural gas boiler,services urban decentral gas boiler,urban central gas CHP,urban central gas CHP CC,urban central gas boiler
2013-01-01 00:00:00,-0.0,-0.0,-0.0,27.5,39.45,-16.59,-33.6,-0.0,-2.8,-0.22,-3.34,-9.08,-0.0,-1.32
2013-01-01 03:00:00,-0.0,-0.0,-0.0,27.49,39.45,38.29,-33.6,-4.58,-17.67,-1.69,-5.87,-18.26,-0.0,-23.57
2013-01-01 06:00:00,-0.0,-0.0,-0.0,27.48,39.45,27.17,-33.6,-5.23,-18.1,-1.65,-5.79,-0.0,-0.0,-29.73
2013-01-01 09:00:00,-0.0,-0.0,-0.0,29.03,39.45,2.69,-33.6,-2.74,-13.19,-0.86,-4.13,-0.0,-0.0,-16.65
2013-01-01 12:00:00,-0.0,-0.0,-0.0,27.49,39.45,-0.76,-33.6,-2.4,-11.48,-0.51,-3.24,-0.42,-0.0,-14.54
2013-01-01 15:00:00,-0.0,-0.0,-0.0,27.47,39.45,35.44,-33.6,-4.87,-17.03,-0.52,-3.95,-23.11,-0.0,-19.28
2013-01-01 18:00:00,-0.0,-0.0,-0.0,27.48,39.45,33.81,-33.6,-4.39,-17.33,-0.05,-3.21,-23.12,-0.0,-19.03
2013-01-01 21:00:00,-0.0,-0.0,-0.0,27.48,39.45,-18.1,-33.6,-0.0,-3.99,-0.0,-1.57,-8.49,-0.0,-1.18
2013-01-02 00:00:00,-0.0,-0.0,-0.0,27.48,39.45,-20.98,-33.6,-0.0,-2.15,-0.13,-2.67,-6.6,-0.0,-0.79
2013-01-02 03:00:00,-0.0,-0.0,-0.0,27.38,39.45,40.92,-33.6,-3.38,-19.96,-1.95,-9.26,-22.39,-0.0,-17.2
2013-01-02 06:00:00,-0.0,-0.0,-0.0,27.36,39.45,39.74,-33.6,-4.09,-21.7,-1.87,-8.91,-9.63,-0.0,-26.75
2013-01-02 09:00:00,-0.0,-0.0,-0.0,27.48,39.45,5.57,-33.6,-1.68,-13.64,-0.63,-4.89,-1.89,-0.0,-16.17
2013-01-02 12:00:00,-0.0,-0.0,-0.0,27.47,39.45,1.0,-33.6,-1.51,-11.74,-0.33,-3.5,-4.13,-0.0,-13.1
2013-01-02 15:00:00,-0.0,-0.0,-0.0,27.35,39.45,32.52,-33.6,-3.32,-17.9,-0.33,-3.99,-22.84,-0.0,-17.34
2013-01-02 18:00:00,-0.0,-0.0,-0.0,27.41,39.45,31.5,-33.6,-2.75,-18.91,-0.03,-3.04,-23.3,-0.0,-16.73
2013-01-02 21:00:00,-0.0,-0.0,-0.0,27.47,39.45,-23.2,-33.6,-0.0,-3.29,-0.0,-1.34,-4.76,-0.0,-0.72
2013-01-03 00:00:00,-0.0,-0.0,-0.0,27.47,39.45,-23.46,-33.6,-0.0,-1.59,-0.02,-2.6,-5.09,-0.0,-0.56
2013-01-03 03:00:00,-0.0,-0.0,-0.0,27.38,39.45,34.63,-33.6,-2.42,-17.38,-1.73,-7.83,-25.0,-0.0,-13.5
2013-01-03 06:00:00,-0.0,-0.0,-0.0,27.36,39.45,24.06,-33.6,-2.36,-18.17,-1.45,-7.28,-4.85,-0.0,-23.14
2013-01-03 09:00:00,-0.0,-0.0,-0.0,28.85,39.45,-9.81,-33.6,-0.46,-8.78,-0.17,-2.99,-4.62,-0.0,-7.86
2013-01-03 12:00:00,-0.0,-0.0,-0.0,27.15,39.45,-13.2,-33.6,-0.43,-7.09,-0.04,-1.98,-4.6,-0.0,-5.65
2013-01-03 15:00:00,-1.01,-0.0,-0.0,22.31,39.45,33.67,-33.6,-1.68,-11.63,-0.04,-2.35,-30.73,-0.0,-14.38
2013-01-03 18:00:00,-1.01,-0.0,-0.0,24.21,39.45,43.82,-33.6,-1.01,-12.24,-0.0,-1.67,-42.19,-0.0,-15.76
2013-01-03 21:00:00,-1.01,-0.0,-0.0,24.03,39.45,4.73,-33.6,-0.0,-1.04,-0.0,-0.55,-28.41,-0.0,-3.59
2013-01-04 00:00:00,-1.01,-0.0,-0.0,23.34,39.45,9.18,-33.6,-0.0,-0.35,-0.0,-0.97,-28.84,-0.0,-7.19
2013-01-04 03:00:00,-1.01,-0.0,-0.0,22.66,39.45,55.56,-33.6,-0.34,-9.21,-0.47,-4.16,-45.2,-0.0,-23.67
2013-01-04 06:00:00,-1.01,-0.0,-0.0,21.68,39.45,50.33,-33.6,-0.07,-8.24,-0.16,-3.15,-41.54,-0.0,-23.68
2013-01-04 09:00:00,-1.01,-0.0,-0.0,18.92,39.45,17.55,-33.6,-0.0,-3.47,-0.0,-1.11,-33.67,-0.0,-3.05
