snapshot,BEV charger,V2G,agriculture electricity,electricity,electricity distribution grid,home battery charger,home battery discharger,industry electricity,residential rural ground heat pump,residential rural resistive heater,residential urban decentral air heat pump,residential urban decentral resistive heater,services rural ground heat pump,services rural resistive heater,services urban decentral air heat pump,services urban decentral resistive heater,solar rooftop,urban central air heat pump,urban central resistive heater
2013-01-01 00:00:00,-147.28,1.03,-5.12,-152.86,652.25,-0.01,0.01,-194.35,-18.85,0.0,-32.55,-0.19,-15.73,0.0,-15.57,-0.99,0.0,-43.12,-26.64
2013-01-01 03:00:00,-102.42,1.21,-5.12,-118.17,655.53,-0.01,0.01,-194.35,-29.93,-2.69,-43.22,-12.84,-18.39,-3.81,-18.22,-10.31,0.0,-43.91,-53.35
2013-01-01 06:00:00,-147.79,0.43,-5.12,-119.28,702.12,-0.01,0.01,-194.35,-31.12,-4.56,-44.7,-19.01,-18.37,-3.53,-18.25,-10.52,17.42,-44.22,-59.13
2013-01-01 09:00:00,-277.21,0.0,-5.12,-149.54,774.16,-0.02,0.01,-194.35,-29.46,-1.06,-43.7,-8.2,-17.41,-0.58,-17.59,-3.44,76.45,-44.29,-58.67
2013-01-01 12:00:00,-251.19,0.0,-5.12,-157.28,759.06,-0.02,0.01,-194.35,-28.92,-0.4,-42.76,-5.47,-16.87,-0.1,-16.79,-1.69,57.64,-44.19,-51.55
2013-01-01 15:00:00,-91.85,3.99,-5.12,-177.33,660.49,-0.01,0.01,-194.35,-30.32,-2.15,-44.33,-9.21,-16.86,-0.08,-16.98,-1.44,5.19,-43.65,-36.02
2013-01-01 18:00:00,-53.64,1.13,-5.12,-182.1,632.7,-0.01,0.01,-194.35,-30.54,-2.76,-44.92,-12.77,-16.19,-0.01,-16.59,-0.92,0.0,-42.82,-31.09
2013-01-01 21:00:00,-49.61,1.04,-5.12,-170.06,564.08,-0.01,0.01,-194.35,-21.51,0.0,-37.37,-0.66,-14.57,0.0,-14.74,-0.31,0.0,-41.35,-15.46
2013-01-02 00:00:00,-51.03,0.91,-5.12,-144.59,538.0,-0.01,0.01,-194.35,-18.68,0.0,-33.81,-0.3,-15.83,-0.02,-16.6,-1.56,0.0,-38.62,-18.38
2013-01-02 03:00:00,-26.71,1.88,-5.12,-134.41,584.48,-0.01,0.01,-194.35,-30.3,-1.67,-43.2,-15.19,-18.67,-2.89,-17.99,-10.65,0.0,-43.06,-42.14
2013-01-02 06:00:00,-38.97,16.19,-5.12,-185.25,623.47,-0.01,0.01,-194.35,-31.64,-2.19,-44.68,-18.69,-18.7,-2.34,-18.22,-10.11,14.99,-43.58,-40.81
2013-01-02 09:00:00,-193.54,13.68,-5.12,-215.23,718.21,-0.02,0.01,-194.35,-29.57,-0.5,-43.52,-10.99,-17.6,-0.38,-17.66,-4.58,82.76,-43.67,-37.94
2013-01-02 12:00:00,-148.11,16.49,-5.12,-214.62,676.5,-0.01,0.01,-194.35,-28.88,-0.29,-42.54,-7.92,-16.99,-0.11,-17.03,-2.42,63.33,-43.16,-34.77
2013-01-02 15:00:00,-45.34,12.83,-5.12,-228.75,652.24,-0.01,0.01,-194.35,-30.68,-1.17,-43.3,-11.64,-16.99,-0.1,-17.01,-2.35,6.75,-43.6,-31.43
2013-01-02 18:00:00,-38.23,3.24,-5.12,-218.26,655.16,-0.01,0.01,-194.35,-30.97,-1.48,-43.65,-13.32,-16.25,-0.04,-16.61,-1.48,0.0,-43.2,-35.42
2013-01-02 21:00:00,-98.23,4.27,-5.12,-193.09,633.88,-0.01,0.01,-194.35,-21.21,-0.0,-36.99,-0.77,-14.63,0.0,-14.92,-0.35,0.0,-40.42,-18.05
2013-01-03 00:00:00,-144.66,1.23,-5.12,-165.15,637.52,-0.01,0.01,-194.35,-17.16,0.0,-29.73,-0.13,-14.99,-0.03,-14.22,-0.98,0.0,-38.97,-13.25
2013-01-03 03:00:00,-125.96,1.86,-5.12,-154.83,671.3,-0.01,0.01,-194.35,-27.87,-0.97,-38.64,-8.9,-17.74,-1.63,-16.18,-6.44,0.0,-42.17,-32.37
2013-01-03 06:00:00,-146.43,1.09,-5.12,-204.87,733.11,-0.01,0.01,-194.35,-29.15,-1.44,-39.93,-10.67,-17.72,-1.39,-16.27,-5.94,16.23,-42.12,-35.02
2013-01-03 09:00:00,-246.04,0.37,-5.12,-228.83,779.0,-0.02,0.0,-194.35,-27.07,-0.8,-38.13,-8.81,-16.6,-0.61,-15.25,-3.8,84.52,-41.92,-36.55
2013-01-03 12:00:00,-218.1,0.25,-5.12,-225.37,753.24,-0.02,0.01,-194.35,-26.45,-0.6,-37.16,-6.59,-16.04,-0.34,-14.56,-2.25,67.84,-39.5,-34.88
2013-01-03 15:00:00,-84.57,7.3,-5.12,-237.53,677.61,-0.01,0.01,-194.35,-28.17,-1.35,-38.47,-8.43,-16.04,-0.34,-14.6,-1.99,7.45,-31.42,-29.98
2013-01-03 18:00:00,-57.61,10.45,-5.12,-225.43,640.47,-0.01,0.01,-194.35,-28.44,-1.59,-39.09,-9.46,-15.32,-0.25,-14.25,-1.33,0.0,-31.28,-27.41
2013-01-03 21:00:00,-73.22,4.21,-5.12,-196.57,588.98,-0.01,0.01,-194.35,-19.33,-0.19,-32.02,-0.67,-13.89,-0.18,-12.73,-0.45,0.0,-26.45,-18.01
2013-01-04 00:00:00,-100.88,3.46,-5.12,-165.94,575.75,-0.01,0.01,-194.35,-15.67,-0.19,-26.98,-0.23,-14.15,-0.2,-13.32,-0.62,0.0,-24.79,-16.76
2013-01-04 03:00:00,-70.34,2.59,-5.12,-157.32,586.77,-0.01,0.01,-194.35,-25.6,-0.99,-38.12,-5.66,-16.98,-1.18,-16.19,-4.33,0.0,-29.25,-23.92
2013-01-04 06:00:00,-102.77,6.38,-5.12,-207.6,663.48,-0.01,0.01,-194.35,-26.93,-1.23,-39.98,-8.18,-16.97,-1.11,-16.39,-4.53,15.19,-30.1,-29.78
