snapshot,residential rural gas boiler,residential rural ground heat pump,residential rural heat,residential rural resistive heater,residential rural solar thermal,residential rural water tanks charger,residential rural water tanks discharger
2013-01-01 00:00:00,0.0,63.86,-63.85,0.0,0.0,-0.02,0.01
2013-01-01 03:00:00,4.49,101.36,-108.26,2.42,0.0,-0.02,0.01
2013-01-01 06:00:00,5.12,105.31,-114.53,4.11,0.0,-0.03,0.02
2013-01-01 09:00:00,2.69,99.76,-103.39,0.96,0.0,-0.04,0.02
2013-01-01 12:00:00,2.35,97.9,-100.6,0.36,0.0,-0.04,0.02
2013-01-01 15:00:00,4.77,102.59,-109.29,1.94,0.0,-0.03,0.02
2013-01-01 18:00:00,4.3,103.29,-110.08,2.49,0.0,-0.01,0.01
2013-01-01 21:00:00,0.0,72.73,-72.72,0.0,0.0,-0.02,0.01
2013-01-02 00:00:00,0.0,63.07,-63.06,0.0,0.0,-0.02,0.01
2013-01-02 03:00:00,3.31,102.3,-107.11,1.5,0.0,-0.01,0.01
2013-01-02 06:00:00,4.01,106.8,-112.78,1.97,0.0,-0.01,0.01
2013-01-02 09:00:00,1.64,99.77,-101.86,0.45,0.0,-0.01,0.01
2013-01-02 12:00:00,1.48,97.43,-99.17,0.26,0.0,-0.01,0.01
2013-01-02 15:00:00,3.25,103.49,-107.79,1.05,0.0,-0.01,0.01
2013-01-02 18:00:00,2.7,104.43,-108.46,1.33,0.0,-0.01,0.01
2013-01-02 21:00:00,0.0,71.47,-71.46,0.0,0.0,-0.01,0.01
2013-01-03 00:00:00,0.0,57.8,-57.79,0.0,0.0,-0.01,0.01
2013-01-03 03:00:00,2.37,93.94,-97.17,0.87,0.0,-0.01,0.01
2013-01-03 06:00:00,2.32,98.25,-101.85,1.29,0.0,-0.01,0.01
2013-01-03 09:00:00,0.45,91.19,-92.18,0.72,0.0,-0.61,0.43
2013-01-03 12:00:00,0.42,89.07,-89.85,0.54,0.0,-0.61,0.43
2013-01-03 15:00:00,1.65,94.88,-97.56,1.21,0.0,-0.6,0.43
2013-01-03 18:00:00,0.99,95.75,-98.0,1.43,0.0,-0.6,0.42
2013-01-03 21:00:00,0.0,64.99,-64.98,0.17,0.0,-0.62,0.43
2013-01-04 00:00:00,0.0,52.85,-52.84,0.17,0.0,-0.62,0.44
2013-01-04 03:00:00,0.34,86.42,-87.47,0.89,0.0,-0.6,0.42
2013-01-04 06:00:00,0.07,90.87,-91.9,1.11,0.0,-0.52,0.36
2013-01-04 09:00:00,0.0,82.95,-83.32,0.48,0.0,-0.4,0.28
2013-01-04 12:00:00,0.0,80.95,-81.22,0.38,0.0,-0.4,0.28
2013-01-04 15:00:00,0.01,87.35,-88.0,0.69,0.0,-0.16,0.11
2013-01-04 18:00:00,0.02,87.72,-88.45,0.76,0.0,-0.16,0.11
2013-01-04 21:00:00,0.0,59.28,-59.27,0.01,0.0,-0.07,0.05
2013-01-05 00:00:00,0.0,54.1,-54.1,0.0,0.0,-0.01,0.01
2013-01-05 03:00:00,0.45,89.06,-90.64,1.14,0.0,-0.01,0.0
2013-01-05 06:00:00,0.1,94.05,-95.26,1.12,0.0,-0.01,0.0
2013-01-05 09:00:00,0.08,85.6,-86.13,0.45,0.0,-0.02,0.01
2013-01-05 12:00:00,0.16,83.49,-83.9,0.26,0.0,-0.02,0.01
2013-01-05 15:00:00,0.26,90.06,-90.97,0.65,0.0,-0.01,0.0
2013-01-05 18:00:00,0.2,90.75,-91.65,0.69,0.0,-0.0,0.0
2013-01-05 21:00:00,0.01,61.09,-61.1,0.0,0.0,-0.0,0.0
2013-01-06 00:00:00,0.0,58.45,-58.44,0.0,0.0,-0.0,0.0
2013-01-06 03:00:00,2.69,94.68,-98.99,1.62,0.0,-0.0,0.0
2013-01-06 06:00:00,2.71,99.72,-104.03,1.6,0.0,-0.0,0.0
2013-01-06 09:00:00,0.42,92.93,-93.92,0.57,0.0,-0.03,0.02
2013-01-06 12:00:00,0.36,90.62,-91.47,0.5,0.0,-0.03,0.02
2013-01-06 15:00:00,2.17,95.85,-99.31,1.29,0.0,-0.0,0.0
2013-01-06 18:00:00,1.6,97.38,-99.99,1.0,0.0,-0.0,0.0
2013-01-06 21:00:00,0.11,66.15,-66.25,0.0,0.0,-0.0,0.0
2013-01-07 00:00:00,0.11,63.41,-63.52,0.0,0.0,-0.0,0.0
2013-01-07 03:00:00,6.01,98.06,-108.05,3.98,0.0,-0.0,0.0
2013-01-07 06:00:00,7.24,102.4,-113.11,3.47,0.0,-0.0,0.0
2013-01-07 09:00:00,4.23,96.86,-102.22,1.13,0.0,-0.0,0.0
2013-01-07 12:00:00,3.72,94.95,-99.65,0.98,0.0,-0.0,0.0
2013-01-07 15:00:00,6.02,99.43,-108.38,2.93,0.0,-0.0,0.0
2013-01-07 18:00:00,5.94,100.68,-108.66,2.04,0.0,-0.0,0.0
2013-01-07 21:00:00,0.0,71.39,-71.39,0.0,0.0,-0.0,0.0
2013-01-08 00:00:00,0.0,68.04,-68.13,0.1,0.0,-0.0,0.0
2013-01-08 03:00:00,7.16,101.36,-116.95,8.43,0.0,-0.0,0.0
2013-01-08 06:00:00,8.43,105.29,-122.21,8.5,0.0,-0.0,0.0
2013-01-08 09:00:00,5.69,100.26,-110.33,4.38,0.0,-0.0,0.0
2013-01-08 12:00:00,5.15,98.48,-107.57,3.94,0.0,-0.0,0.0
2013-01-08 15:00:00,7.29,102.57,-117.15,7.29,0.0,-0.0,0.0
2013-01-08 18:00:00,7.49,103.68,-117.31,6.14,0.0,-0.0,0.0
2013-01-08 21:00:00,1.6,74.91,-76.51,0.0,0.0,-0.0,0.0
2013-01-09 00:00:00,1.77,66.23,-68.09,0.1,0.0,-0.0,0.0
2013-01-09 03:00:00,6.0,102.12,-116.33,8.21,0.0,-0.0,0.0
2013-01-09 06:00:00,6.98,106.36,-122.34,9.0,0.0,-0.0,0.0
2013-01-09 09:00:00,4.44,100.88,-110.41,5.09,0.0,-0.0,0.0
2013-01-09 12:00:00,3.95,99.01,-107.57,4.61,0.0,-0.0,0.0
2013-01-09 15:00:00,6.26,103.08,-117.02,7.68,0.0,-0.0,0.0
2013-01-09 18:00:00,6.46,104.16,-117.35,6.73,0.0,-0.0,0.0
2013-01-09 21:00:00,2.98,73.84,-76.95,0.14,0.0,-0.0,0.0
2013-01-10 00:00:00,2.98,63.22,-66.2,0.0,0.0,-0.0,0.0
2013-01-10 03:00:00,4.31,103.32,-112.58,4.94,0.0,-0.0,0.0
2013-01-10 06:00:00,5.05,107.72,-118.87,6.09,0.0,-0.0,0.0
2013-01-10 09:00:00,2.95,101.62,-107.28,2.71,0.0,-0.0,0.0
2013-01-10 12:00:00,2.79,99.42,-104.45,2.24,0.0,-0.0,0.0
2013-01-10 15:00:00,3.61,105.12,-113.53,4.8,0.0,-0.0,0.0
2013-01-10 18:00:00,3.57,106.29,-114.08,4.22,0.0,-0.0,0.0
2013-01-10 21:00:00,0.0,75.08,-75.16,0.08,0.0,-0.0,0.0
2013-01-11 00:00:00,0.0,68.91,-68.93,0.03,0.0,-0.0,0.0
2013-01-11 03:00:00,7.22,107.18,-117.96,3.56,0.0,-0.0,0.0
2013-01-11 06:00:00,9.68,109.99,-125.07,5.4,0.0,-0.0,0.0
2013-01-11 09:00:00,4.06,106.33,-112.74,2.35,0.0,-0.03,0.02
2013-01-11 12:00:00,3.02,104.84,-109.61,1.76,0.0,-0.03,0.02
2013-01-11 15:00:00,7.4,108.34,-119.19,3.45,0.0,-0.0,0.0
2013-01-11 18:00:00,7.34,108.9,-120.21,3.97,0.0,-0.0,0.0
2013-01-11 21:00:00,0.0,78.65,-78.77,0.13,0.0,-0.0,0.0
2013-01-12 00:00:00,0.0,75.18,-75.24,0.06,0.0,-0.0,0.0
2013-01-12 03:00:00,12.97,110.02,-131.28,8.29,0.0,-0.0,0.0
2013-01-12 06:00:00,16.14,111.92,-139.16,11.11,0.0,-0.0,0.0
2013-01-12 09:00:00,11.58,109.87,-124.98,3.54,0.0,-0.0,0.0
2013-01-12 12:00:00,10.19,108.89,-121.4,2.33,0.0,-0.0,0.0
2013-01-12 15:00:00,15.43,110.95,-132.22,5.84,0.0,-0.0,0.0
2013-01-12 18:00:00,15.65,111.25,-133.68,6.78,0.0,-0.0,0.0
2013-01-12 21:00:00,0.05,86.37,-86.7,0.28,0.0,-0.0,0.0
2013-01-13 00:00:00,0.0,78.09,-78.17,0.09,0.0,-0.0,0.0
2013-01-13 03:00:00,16.79,110.85,-136.72,9.08,0.0,-0.0,0.0
2013-01-13 06:00:00,17.81,111.69,-145.27,15.77,0.0,0.0,0.0
2013-01-13 09:00:00,14.53,110.09,-130.38,5.76,0.0,-0.0,0.0
2013-01-13 12:00:00,12.93,109.45,-126.6,4.23,0.0,-0.0,0.0
2013-01-13 15:00:00,16.91,111.0,-137.89,9.98,0.0,0.0,0.0
2013-01-13 18:00:00,17.02,111.18,-139.48,11.28,0.0,0.0,0.0
2013-01-13 21:00:00,0.06,89.98,-90.55,0.51,0.0,-0.0,0.0
2013-01-14 00:00:00,0.0,76.73,-76.81,0.09,0.0,-0.0,0.0
2013-01-14 03:00:00,16.81,108.67,-133.0,7.52,0.0,-0.0,0.0
2013-01-14 06:00:00,17.17,109.58,-141.47,14.71,0.0,-0.0,0.0
2013-01-14 09:00:00,14.13,108.16,-127.27,4.98,0.0,-0.0,0.0
2013-01-14 12:00:00,12.55,107.65,-123.6,3.4,0.0,-0.0,0.0
2013-01-14 15:00:00,16.77,109.06,-134.57,8.74,0.0,-0.0,0.0
2013-01-14 18:00:00,16.27,109.02,-135.97,10.68,0.0,-0.0,0.0
2013-01-14 21:00:00,0.05,88.2,-88.57,0.33,0.0,-0.0,0.0
2013-01-15 00:00:00,0.0,76.58,-76.65,0.08,0.0,-0.0,0.0
2013-01-15 03:00:00,14.7,110.14,-132.56,7.72,0.0,-0.0,0.0
2013-01-15 06:00:00,15.53,110.26,-141.68,15.9,0.0,-0.0,0.0
2013-01-15 09:00:00,12.35,108.48,-127.4,6.56,0.0,-0.0,0.0
