snapshot,residential urban decentral air heat pump,residential urban decentral gas boiler,residential urban decentral heat,residential urban decentral resistive heater,residential urban decentral solar thermal,residential urban decentral water tanks charger,residential urban decentral water tanks discharger
2013-01-01 00:00:00,72.79,2.74,-75.7,0.17,0.0,-0.01,0.01
2013-01-01 03:00:00,97.47,17.31,-126.33,11.55,0.0,-0.01,0.0
2013-01-01 06:00:00,100.7,17.73,-135.55,17.11,0.0,-0.01,0.01
2013-01-01 09:00:00,102.08,12.93,-122.38,7.38,0.0,-0.01,0.01
2013-01-01 12:00:00,102.65,11.25,-118.83,4.93,0.0,-0.02,0.01
2013-01-01 15:00:00,103.72,16.69,-128.69,8.29,0.0,-0.01,0.01
2013-01-01 18:00:00,101.93,16.98,-130.41,11.49,0.0,-0.0,0.0
2013-01-01 21:00:00,83.02,3.91,-87.51,0.59,0.0,-0.01,0.0
2013-01-02 00:00:00,74.02,2.11,-76.39,0.27,0.0,-0.01,0.0
2013-01-02 03:00:00,94.93,19.56,-128.17,13.68,0.0,-0.0,0.0
2013-01-02 06:00:00,98.65,21.26,-136.73,16.82,0.0,-0.0,0.0
2013-01-02 09:00:00,100.21,13.37,-123.47,9.89,0.0,-0.0,0.0
2013-01-02 12:00:00,101.31,11.51,-119.96,7.13,0.02,-0.0,0.0
2013-01-02 15:00:00,102.03,17.55,-130.06,10.48,0.0,-0.0,0.0
2013-01-02 18:00:00,101.09,18.53,-131.62,11.99,0.0,-0.0,0.0
2013-01-02 21:00:00,83.92,3.23,-87.84,0.69,0.0,-0.01,0.0
2013-01-03 00:00:00,66.0,1.56,-67.68,0.12,0.0,-0.01,0.0
2013-01-03 03:00:00,86.92,17.03,-111.96,8.01,0.0,-0.01,0.0
2013-01-03 06:00:00,90.99,17.81,-118.4,9.6,0.0,-0.01,0.0
2013-01-03 09:00:00,90.86,8.6,-107.25,7.93,0.02,-0.49,0.34
2013-01-03 12:00:00,91.65,6.95,-104.41,5.93,0.03,-0.51,0.36
2013-01-03 15:00:00,94.22,11.39,-113.07,7.59,0.01,-0.49,0.35
2013-01-03 18:00:00,93.69,11.99,-114.05,8.51,0.0,-0.49,0.34
2013-01-03 21:00:00,75.28,1.02,-76.74,0.61,0.0,-0.56,0.39
2013-01-04 00:00:00,62.98,0.34,-63.35,0.21,0.0,-0.57,0.4
2013-01-04 03:00:00,89.35,9.03,-103.33,5.09,0.0,-0.5,0.35
2013-01-04 06:00:00,94.38,8.08,-109.7,7.36,0.0,-0.4,0.28
2013-01-04 09:00:00,92.85,3.4,-99.51,3.34,0.0,-0.32,0.23
2013-01-04 12:00:00,92.53,2.23,-96.87,2.19,0.02,-0.33,0.23
2013-01-04 15:00:00,95.68,4.99,-104.67,4.04,0.0,-0.14,0.09
2013-01-04 18:00:00,94.93,5.75,-105.67,5.03,0.0,-0.14,0.09
2013-01-04 21:00:00,71.31,0.33,-71.82,0.2,0.0,-0.06,0.04
2013-01-05 00:00:00,64.44,0.57,-65.47,0.47,0.0,-0.01,0.0
2013-01-05 03:00:00,93.2,6.34,-108.29,8.75,0.0,-0.0,0.0
2013-01-05 06:00:00,98.5,8.56,-114.96,7.9,0.0,-0.0,0.0
2013-01-05 09:00:00,95.4,4.93,-103.97,3.63,0.01,-0.01,0.01
2013-01-05 12:00:00,94.17,4.17,-101.14,2.78,0.03,-0.01,0.01
2013-01-05 15:00:00,97.84,7.25,-109.39,4.29,0.0,-0.0,0.0
2013-01-05 18:00:00,97.49,7.9,-110.67,5.27,0.0,-0.0,0.0
2013-01-05 21:00:00,73.25,1.17,-74.71,0.3,0.0,-0.0,0.0
2013-01-06 00:00:00,67.57,1.96,-69.98,0.45,0.0,-0.0,0.0
2013-01-06 03:00:00,94.43,16.14,-116.77,6.2,0.0,-0.0,0.0
2013-01-06 06:00:00,99.8,19.11,-124.13,5.22,0.0,-0.0,0.0
2013-01-06 09:00:00,96.69,12.19,-112.1,3.21,0.02,-0.02,0.02
2013-01-06 12:00:00,95.53,11.99,-109.01,1.47,0.03,-0.02,0.02
2013-01-06 15:00:00,95.5,19.77,-118.03,2.76,0.0,0.0,0.0
2013-01-06 18:00:00,95.03,21.51,-119.35,2.82,0.0,0.0,0.0
2013-01-06 21:00:00,70.59,9.37,-80.22,0.26,0.0,-0.0,0.0
2013-01-07 00:00:00,63.37,11.39,-74.97,0.22,0.0,-0.0,0.0
2013-01-07 03:00:00,88.08,31.18,-125.57,6.31,0.0,0.0,0.0
2013-01-07 06:00:00,86.64,40.49,-132.96,5.83,0.0,0.0,0.0
2013-01-07 09:00:00,85.63,32.13,-120.21,2.44,0.02,0.0,0.0
2013-01-07 12:00:00,84.48,30.67,-117.0,1.82,0.03,0.0,0.0
2013-01-07 15:00:00,80.17,42.96,-126.89,3.76,0.01,0.0,0.0
2013-01-07 18:00:00,76.01,48.16,-127.84,3.68,0.0,0.0,0.0
2013-01-07 21:00:00,46.89,38.19,-85.26,0.18,0.0,-0.0,0.0
2013-01-08 00:00:00,37.54,41.06,-79.35,0.75,0.0,-0.0,0.0
