snapshot,agriculture heat,services rural gas boiler,services rural ground heat pump,services rural heat,services rural resistive heater,services rural water tanks charger,services rural water tanks discharger
2013-01-01 00:00:00,-21.63,0.21,53.16,-31.74,0.0,-0.02,0.01
2013-01-01 03:00:00,-21.63,1.65,62.09,-45.54,3.43,-0.02,0.01
2013-01-01 06:00:00,-21.63,1.62,62.03,-45.19,3.18,-0.03,0.02
2013-01-01 09:00:00,-21.63,0.84,58.8,-38.52,0.52,-0.04,0.03
2013-01-01 12:00:00,-21.63,0.5,56.98,-35.92,0.09,-0.04,0.02
2013-01-01 15:00:00,-21.63,0.51,56.92,-35.86,0.07,-0.03,0.02
2013-01-01 18:00:00,-21.63,0.05,54.66,-33.08,0.01,-0.01,0.01
2013-01-01 21:00:00,-21.63,0.0,49.17,-27.54,0.0,-0.01,0.01
2013-01-02 00:00:00,-21.63,0.13,53.38,-31.89,0.02,-0.02,0.01
2013-01-02 03:00:00,-21.63,1.91,62.94,-45.83,2.6,-0.01,0.01
2013-01-02 06:00:00,-21.63,1.84,63.02,-45.33,2.11,-0.01,0.01
2013-01-02 09:00:00,-21.63,0.62,59.31,-38.64,0.35,-0.01,0.01
2013-01-02 12:00:00,-21.63,0.33,57.26,-36.06,0.1,-0.01,0.01
2013-01-02 15:00:00,-21.63,0.32,57.22,-36.01,0.09,-0.01,0.01
2013-01-02 18:00:00,-21.63,0.03,54.75,-33.17,0.03,-0.01,0.01
2013-01-02 21:00:00,-21.63,0.0,49.26,-27.63,0.0,-0.01,0.01
2013-01-03 00:00:00,-21.63,0.02,50.45,-28.86,0.02,-0.01,0.01
2013-01-03 03:00:00,-21.63,1.69,59.71,-41.24,1.47,-0.01,0.01
2013-01-03 06:00:00,-21.63,1.42,59.65,-40.7,1.25,-0.01,0.01
2013-01-03 09:00:00,-21.63,0.17,55.86,-34.77,0.55,-0.59,0.42
2013-01-03 12:00:00,-21.63,0.04,53.96,-32.5,0.31,-0.6,0.42
2013-01-03 15:00:00,-21.63,0.04,53.92,-32.46,0.31,-0.59,0.42
2013-01-03 18:00:00,-21.63,0.0,51.5,-29.92,0.22,-0.59,0.42
2013-01-03 21:00:00,-21.63,0.0,46.67,-25.03,0.17,-0.6,0.42
2013-01-04 00:00:00,-21.63,0.0,47.62,-25.99,0.18,-0.6,0.42
2013-01-04 03:00:00,-21.63,0.46,57.14,-36.86,1.06,-0.59,0.41
2013-01-04 06:00:00,-21.63,0.15,57.1,-36.48,1.0,-0.51,0.36
2013-01-04 09:00:00,-21.63,0.0,52.65,-31.25,0.34,-0.39,0.27
2013-01-04 12:00:00,-21.63,0.0,50.76,-29.23,0.21,-0.39,0.27
2013-01-04 15:00:00,-21.63,0.0,50.72,-29.19,0.14,-0.15,0.1
2013-01-04 18:00:00,-21.63,0.0,48.56,-26.96,0.07,-0.15,0.1
2013-01-04 21:00:00,-21.63,0.0,44.7,-23.06,0.01,-0.07,0.05
2013-01-05 00:00:00,-21.63,0.01,50.55,-29.07,0.13,-0.01,0.01
2013-01-05 03:00:00,-21.63,0.25,58.77,-38.4,1.01,-0.01,0.0
2013-01-05 06:00:00,-21.63,0.03,56.41,-35.36,0.56,-0.01,0.0
2013-01-05 09:00:00,-21.63,0.02,52.29,-30.81,0.13,-0.02,0.01
2013-01-05 12:00:00,-21.63,0.06,50.8,-29.26,0.03,-0.02,0.01
2013-01-05 15:00:00,-21.63,0.06,52.05,-30.56,0.07,-0.01,0.0
2013-01-05 18:00:00,-21.63,0.04,51.01,-29.46,0.04,-0.01,0.0
2013-01-05 21:00:00,-21.63,0.02,46.76,-25.15,0.0,-0.0,0.0
2013-01-06 00:00:00,-21.63,0.25,52.81,-31.52,0.1,-0.0,0.0
2013-01-06 03:00:00,-21.63,1.37,60.53,-41.77,1.49,-0.0,0.0
2013-01-06 06:00:00,-21.63,0.74,58.72,-38.43,0.6,-0.0,0.0
2013-01-06 09:00:00,-21.63,0.06,54.88,-33.42,0.11,-0.03,0.02
2013-01-06 12:00:00,-21.63,0.05,53.25,-31.72,0.06,-0.03,0.02
2013-01-06 15:00:00,-21.63,0.15,54.52,-33.14,0.1,-0.0,0.0
2013-01-06 18:00:00,-21.63,0.08,53.44,-31.93,0.03,-0.0,0.0
2013-01-06 21:00:00,-21.63,0.06,48.28,-26.72,0.0,-0.0,0.0
2013-01-07 00:00:00,-21.63,0.44,52.86,-31.72,0.04,-0.0,0.0
2013-01-07 03:00:00,-21.63,2.82,61.26,-45.51,3.05,-0.0,0.0
2013-01-07 06:00:00,-21.63,2.72,61.4,-44.86,2.36,-0.0,0.0
