snapshot,Fischer-Tropsch,H2 Fuel Cell,agriculture heat,low-temperature heat for industry,residential rural gas boiler,residential rural ground heat pump,residential rural heat,residential rural resistive heater,residential rural solar thermal,residential rural water tanks charger,residential rural water tanks discharger,residential urban decentral air heat pump,residential urban decentral gas boiler,residential urban decentral heat,residential urban decentral resistive heater,residential urban decentral solar thermal,residential urban decentral water tanks charger,residential urban decentral water tanks discharger,services rural gas boiler,services rural ground heat pump,services rural heat,services rural resistive heater,services rural water tanks charger,services rural water tanks discharger,services urban decentral air heat pump,services urban decentral gas boiler,services urban decentral heat,services urban decentral resistive heater,services urban decentral solar thermal,services urban decentral water tanks charger,services urban decentral water tanks discharger,urban central air heat pump,urban central gas CHP,urban central gas boiler,urban central heat,urban central resistive heater,urban central solar thermal,urban central solid biomass CHP,urban central solid biomass CHP CC,urban central water tanks charger,urban central water tanks discharger
2013-01-01 00:00:00,44.14,12.47,-21.63,-5.94,0.0,63.86,-63.85,0.0,0.0,-0.02,0.01,72.79,2.74,-75.7,0.17,0.0,-0.01,0.01,0.21,53.16,-31.74,0.0,-0.02,0.01,35.46,3.28,-39.63,0.89,0.0,-0.01,0.01,102.76,3.72,1.37,-198.93,26.38,0.0,1.87,54.69,-42.74,0.2
2013-01-01 03:00:00,44.14,14.16,-21.63,-5.94,4.49,101.36,-108.26,2.42,0.0,-0.02,0.01,97.47,17.31,-126.33,11.55,0.0,-0.01,0.0,1.65,62.09,-45.54,3.43,-0.02,0.01,41.63,5.75,-56.66,9.28,0.0,-0.0,0.0,103.2,7.49,24.51,-315.66,52.82,0.0,1.88,61.52,-3.86,15.75
2013-01-01 06:00:00,44.14,13.16,-21.63,-5.94,5.12,105.31,-114.53,4.11,0.0,-0.03,0.02,100.7,17.73,-135.55,17.11,0.0,-0.01,0.01,1.62,62.03,-45.19,3.18,-0.03,0.02,41.54,5.67,-56.67,9.46,0.0,-0.01,0.01,103.11,0.0,30.91,-331.58,58.54,0.04,1.88,62.22,-1.53,25.05
2013-01-01 09:00:00,44.14,7.64,-21.63,-5.94,2.69,99.76,-103.39,0.96,0.0,-0.04,0.02,102.08,12.93,-122.38,7.38,0.0,-0.01,0.01,0.84,58.8,-38.52,0.52,-0.04,0.03,41.21,4.05,-48.35,3.1,0.0,-0.01,0.01,106.16,0.0,17.32,-294.51,58.08,7.3,1.85,56.03,-5.81,7.72
2013-01-01 12:00:00,44.14,13.02,-21.63,-5.94,2.35,97.9,-100.6,0.36,0.0,-0.04,0.02,102.65,11.25,-118.83,4.93,0.0,-0.02,0.01,0.5,56.98,-35.92,0.09,-0.04,0.02,40.34,3.17,-45.03,1.52,0.0,-0.02,0.01,108.5,0.17,15.12,-282.65,51.04,11.04,1.87,54.45,-11.92,1.16
2013-01-01 15:00:00,44.14,17.83,-21.63,-5.94,4.77,102.59,-109.29,1.94,0.0,-0.03,0.02,103.72,16.69,-128.69,8.29,0.0,-0.01,0.01,0.51,56.92,-35.86,0.07,-0.03,0.02,39.78,3.87,-44.94,1.29,0.0,-0.01,0.01,104.54,9.48,20.05,-299.51,35.66,2.42,1.89,66.26,-4.93,8.12
2013-01-01 18:00:00,44.14,20.03,-21.63,-5.94,4.3,103.29,-110.08,2.49,0.0,-0.01,0.01,101.93,16.98,-130.41,11.49,0.0,-0.0,0.0,0.05,54.66,-33.08,0.01,-0.01,0.01,37.67,3.15,-41.64,0.83,0.0,-0.01,0.0,99.32,9.48,19.79,-296.79,30.78,0.0,1.89,65.44,-0.81,12.66
2013-01-01 21:00:00,44.14,17.77,-21.63,-5.94,0.0,72.73,-72.72,0.0,0.0,-0.02,0.01,83.02,3.91,-87.51,0.59,0.0,-0.01,0.0,0.0,49.17,-27.54,0.0,-0.01,0.01,32.8,1.54,-34.62,0.28,0.0,-0.01,0.0,94.42,3.48,1.23,-210.68,15.3,0.0,1.88,62.62,-24.74,0.51
2013-01-02 00:00:00,44.14,19.11,-21.63,-5.94,0.0,63.07,-63.06,0.0,0.0,-0.02,0.01,74.02,2.11,-76.39,0.27,0.0,-0.01,0.0,0.13,53.38,-31.89,0.02,-0.02,0.01,36.66,2.62,-40.67,1.41,0.0,-0.01,0.0,87.41,2.71,0.82,-201.93,18.19,0.0,1.88,63.31,-29.76,0.05
2013-01-02 03:00:00,44.14,24.55,-21.63,-5.94,3.31,102.3,-107.11,1.5,0.0,-0.01,0.01,94.93,19.56,-128.17,13.68,0.0,-0.0,0.0,1.91,62.94,-45.83,2.6,-0.01,0.01,39.65,9.08,-58.31,9.58,0.0,-0.0,0.0,96.64,9.18,17.88,-321.67,41.72,0.0,1.9,68.48,-0.29,23.38
