,bus0,bus1,length,s_nom,s_nom_max,carrier,s_nom_opt
1,AL0 0,GR0 1,316,1.698,11.698,AC,7.455
2,AL0 0,ME0 0,187,2.267,12.267,AC,5.944
3,AL0 0,MK0 0,176,0.0,10.0,AC,1.028
4,AL0 0,RS0 0,272,2.267,12.267,AC,2.985
5,AT0 0,AT0 2,214,11.346,21.346,AC,11.563
6,AT0 0,CZ0 0,274,4.535,14.535,AC,13.579
7,AT0 0,HU0 0,254,4.535,14.535,AC,14.534
8,AT0 1,AT0 2,310,1.138,11.138,AC,3.197
9,AT0 1,CH0 1,151,6.792,16.792,AC,15.801
10,AT0 1,DE0 16,123,10.189,20.189,AC,18.488
11,AT0 1,DE0 9,193,3.396,13.396,AC,5.835
12,AT0 2,DE0 6,183,2.846,12.846,AC,12.146
13,AT0 2,IT0 16,220,0.569,10.569,AC,3.553
14,AT0 2,SI0 0,214,0.569,10.569,AC,2.586
15,BA0 0,HR0 0,274,5.673,15.673,AC,7.024
16,BA0 0,ME0 0,173,2.836,12.836,AC,6.723
17,BA0 0,RS0 1,242,2.267,12.267,AC,2.402
18,BE0 0,BE0 4,81,3.396,13.396,AC,13.396
19,BE0 0,FR0 8,123,6.792,16.792,AC,12.0
20,BE0 1,BE0 2,111,3.396,13.396,AC,3.652
21,BE0 1,BE0 3,94,6.792,16.792,AC,8.089
22,BE0 1,FR0 15,150,3.396,13.396,AC,10.24
23,BE0 1,FR0 4,210,1.138,11.138,AC,3.773
24,BE0 1,LU0 0,104,1.138,11.138,AC,5.021
25,BE0 2,BE0 4,81,3.396,13.396,AC,7.995
26,BE0 3,BE0 4,93,3.396,13.396,AC,6.697
27,BE0 3,NL0 2,79,3.396,13.396,AC,9.828
28,BE0 4,NL0 0,88,3.396,13.396,AC,13.396
29,BG0 0,BG0 1,284,5.673,15.673,AC,5.673
30,BG0 0,RO0 2,402,3.396,13.396,AC,3.396
31,BG0 1,GR0 1,415,1.698,11.698,AC,6.255
32,BG0 1,MK0 0,272,1.698,11.698,AC,4.071
33,BG0 1,RO0 0,460,3.396,13.396,AC,3.789
34,BG0 1,RS0 0,250,1.698,11.698,AC,2.051
35,CH0 0,CH0 1,144,15.88,25.88,AC,17.239
36,CH0 0,DE0 2,175,3.396,13.396,AC,7.315
37,CH0 0,FR0 2,171,1.138,11.138,AC,3.118
