,bus0,bus1,length,max_retro,p_nom_opt,p_nom_opt_new,p_nom_opt_retro
AL0 0 - GR0 1,AL0 0,GR0 1,357.0,7.192,7.193,0.002,7.191
AL0 0 - IT0 10,AL0 0,IT0 10,254.0,7.192,7.191,0.0,7.191
AL0 0 - ME0 0,AL0 0,ME0 0,187.0,0.0,0.984,0.984,0.0
AL0 0 - MK0 0,AL0 0,MK0 0,176.0,0.0,0.109,0.109,0.0
AL0 0 - RS0 0,AL0 0,RS0 0,272.0,0.0,0.092,0.092,0.0
AT0 0 - AT0 2,AT0 0,AT0 2,225.2,11.437000000000001,1.807,0.001,1.806
AT0 0 - CZ0 0,AT0 0,CZ0 0,274.0,0.0,0.002,0.002,0.0
AT0 0 - HU0 0,AT0 0,HU0 0,267.3333333333333,5.336,0.298,0.001,0.297
AT0 0 - SI0 0,AT0 0,SI0 0,246.0,19.994,0.059,0.0,0.059
AT0 0 - SK0 0,AT0 0,SK0 0,372.0,4.094,0.01,0.0,0.01
AT0 1 - AT0 2,AT0 1,AT0 2,292.0,1.8,0.122,0.001,0.121
AT0 1 - CH0 1,AT0 1,CH0 1,152.0,0.9,0.802,0.001,0.801
AT0 1 - DE0 16,AT0 1,DE0 16,134.0,0.587,0.355,0.002,0.353
AT0 1 - DE0 9,AT0 1,DE0 9,193.0,0.0,0.001,0.001,0.0
AT0 2 - DE0 6,AT0 2,DE0 6,175.0,27.338,7.395,0.001,7.394
AT0 2 - DE0 9,AT0 2,DE0 9,217.0,5.094,0.185,0.0,0.185
AT0 2 - IT0 16,AT0 2,IT0 16,208.5,26.53,10.655,0.001,10.654
AT0 2 - SI0 0,AT0 2,SI0 0,214.0,0.0,0.007,0.007,0.0
BA0 0 - HR0 0,BA0 0,HR0 0,274.0,0.0,0.605,0.605,0.0
BA0 0 - ME0 0,BA0 0,ME0 0,173.0,0.0,0.882,0.882,0.0
BA0 0 - RS0 1,BA0 0,RS0 1,243.33333333333334,1.425,0.02,0.001,0.019
BE0 0 - BE0 2,BE0 0,BE0 2,132.0,17.299999999999997,9.496,0.0,9.496
BE0 0 - BE0 4,BE0 0,BE0 4,104.33333333333333,1.8,6.936999999999999,5.141,1.796
BE0 0 - FR0 19,BE0 0,FR0 19,124.0,7.135000000000001,4.827999999999999,0.0,4.827999999999999
BE0 0 - FR0 8,BE0 0,FR0 8,143.5,0.9,0.897,0.003,0.894
BE0 0 - GB5 17,BE0 0,GB5 17,334.0,18.339,18.338,0.0,18.338
BE0 0 - GB5 9,BE0 0,GB5 9,250.0,0.0,0.008,0.008,0.0
BE0 0 - NL0 0,BE0 0,NL0 0,148.0,31.594,4.191,0.0,4.191
BE0 0 - NO3 4,BE0 0,NO3 4,1445.0,11.27,0.003,0.0,0.003
BE0 1 - BE0 2,BE0 1,BE0 2,109.66666666666667,1.8,5.079000000000001,3.281,1.798
BE0 1 - BE0 3,BE0 1,BE0 3,104.0,2.7,2.11,0.002,2.108
BE0 1 - DE0 7,BE0 1,DE0 7,145.0,5.247,3.0,0.001,2.999
BE0 1 - FR0 15,BE0 1,FR0 15,150.0,0.0,0.625,0.625,0.0
BE0 1 - FR0 4,BE0 1,FR0 4,210.0,0.0,0.001,0.001,0.0
BE0 1 - LU0 0,BE0 1,LU0 0,96.0,2.254,2.253,0.003,2.25
BE0 1 - NL0 2,BE0 1,NL0 2,184.0,7.87,0.026,0.0,0.026
BE0 2 - BE0 4,BE0 2,BE0 4,79.66666666666667,2.7,1.421,0.002,1.419
BE0 2 - FR0 15,BE0 2,FR0 15,164.0,0.9,0.864,0.0,0.864
BE0 2 - FR0 8,BE0 2,FR0 8,122.0,15.68,0.861,0.0,0.861
BE0 3 - BE0 4,BE0 3,BE0 4,73.0,5.4,4.193,0.002,4.191
BE0 3 - NL0 0,BE0 3,NL0 0,186.0,1.8,0.6930000000000001,0.0,0.6930000000000001
BE0 3 - NL0 2,BE0 3,NL0 2,79.0,0.0,0.719,0.719,0.0
BE0 4 - NL0 0,BE0 4,NL0 0,116.5,1.085,0.884,0.005,0.879
BG0 0 - BG0 1,BG0 0,BG0 1,345.3333333333333,2.7,0.031,0.001,0.03
BG0 0 - GR0 1,BG0 0,GR0 1,898.0,2.187,1.521,0.0,1.521
BG0 0 - RO0 1,BG0 0,RO0 1,344.0,0.525,0.525,0.0,0.525
BG0 0 - RO0 2,BG0 0,RO0 2,392.0,0.9,0.542,0.0,0.542
BG0 1 - GR0 1,BG0 1,GR0 1,528.5,2.704,1.5519999999999998,0.001,1.551
BG0 1 - MK0 0,BG0 1,MK0 0,271.5,0.525,0.12,0.001,0.119
BG0 1 - RO0 0,BG0 1,RO0 0,460.0,0.0,0.324,0.324,0.0
BG0 1 - RS0 0,BG0 1,RS0 0,250.0,0.0,0.005,0.005,0.0
CH0 0 - CH0 1,CH0 0,CH0 1,155.25,15.647,4.884,0.001,4.883
CH0 0 - DE0 2,CH0 0,DE0 2,197.0,1.05,1.0310000000000001,0.001,1.03
CH0 0 - FR0 2,CH0 0,FR0 2,171.0,0.0,0.985,0.985,0.0
CH0 0 - FR0 21,CH0 0,FR0 21,189.33333333333334,10.3,0.6519999999999999,0.001,0.6509999999999999
CH0 0 - FR0 25,CH0 0,FR0 25,156.5,0.864,7.504,6.641,0.863
CH0 0 - IT0 11,CH0 0,IT0 11,225.0,0.0,0.001,0.001,0.0
