,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,lcoe,lcoe,lcoe,lcoe,lcoe,market_value,market_value,market_value,market_value,market_value,market_value,io,io,io,io,io,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,storage,storage,storage,storage,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used
,offwind-ac,onwind,residential rural solar thermal,residential urban decentral solar thermal,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal,ror,offwind-dc,CO2 sequestration,H2 liquid,H2 storage,Li ion,battery storage,biogas,co2,fossil gas,gas for industry,heat,hot water storage,low voltage,oil,process emissions,solid biomass,solid biomass for industry,transmission lines,onwind,offwind-ac,offwind-dc,solar rooftop,solar,onwind,offwind-ac,offwind-dc,solar rooftop,solar,ror,oil,hydrogen,electricity,gas,total,BEV charger,H2 Electrolysis,H2 Fuel Cell,H2 liquefaction,H2 pipeline retrofitted,V2G,air heat pump,battery storage,electricity distribution grid,ground heat pump,hot water storage,hydroelectricity,methanation,offshore wind,onshore wind,power-to-liquid,resistive heater,solar PV,solar rooftop,solar thermal,H2 storage,Li ion,battery storage,hot water storage,gas,offwind-ac,offwind-dc,oil,onwind,residential rural solar thermal,residential urban decentral solar thermal,ror,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal
AL0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.01,,,,116.04,86.21,86.85,83.91,,,,,44.56,43.47,85.77,,,,,80.34,,,,48.11,43.42,106.5,106.98,,55.05,43.42,,-0.19,-0.2,-1.67,0.05,-2.02,12.18,1.17,0.0,0.02,7.19,12.18,0.11,0.0,0.92,0.12,0.6,0.0,0.0,0.0,0.0,0.09,0.52,7.36,2.64,0.24,0.0,27.68,0.01,0.37,,0.0,,,0.0,0.0,0.0,,0.0,0.0,13.8,100.0,0.0
AT0 0,,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.0,0.03,,,117.75,87.92,97.52,88.38,,,,,51.75,50.59,90.81,,,,,85.38,,,,61.84,55.13,79.25,,,62.88,55.13,71.77,6.89,11.31,39.44,7.52,65.16,24.42,0.0,0.0,0.02,1.73,24.42,1.03,0.0,8.71,0.62,13.6,2.3,0.0,0.0,0.0,0.09,3.37,7.73,4.64,0.0,0.0,55.51,0.0,5.09,,,,,0.0,0.0,0.0,0.0,0.0,0.0,10.22,100.0,0.0
AT0 1,,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.01,0.0,,,117.27,87.44,95.76,86.67,,,,,55.48,54.73,89.17,,,,,83.73,,,,,55.52,55.4,,,68.4,57.25,70.69,-0.73,2.56,-16.32,0.23,-14.27,2.94,0.0,0.0,0.0,0.35,2.94,0.04,0.0,1.13,0.15,0.94,4.27,0.0,0.0,0.0,0.26,0.4,20.17,0.56,0.18,0.0,6.69,0.0,0.29,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
AT0 2,,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.01,,,117.47,87.64,96.28,87.36,,,,,53.68,52.73,89.67,,,,,84.24,,,,61.14,54.75,76.06,,,66.21,54.75,70.65,0.69,13.65,-13.61,3.5,4.23,14.83,0.0,0.0,0.01,14.69,14.83,0.29,0.0,5.9,0.75,5.44,8.29,0.0,0.0,0.0,1.09,1.75,35.73,2.82,0.0,0.0,33.71,0.0,1.16,,,,,0.0,0.0,0.0,0.0,0.0,0.0,52.02,100.0,0.0
BA0 0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,117.02,87.19,90.21,87.1,,,,,48.59,47.51,89.4,,,,,83.97,,,,55.33,,92.92,,,55.33,51.15,,-0.42,2.05,12.73,1.06,15.43,16.3,0.0,0.0,0.0,0.01,16.3,0.1,0.0,2.11,0.26,1.51,0.0,0.0,0.0,0.0,0.12,0.8,0.0,3.56,0.0,0.0,37.03,0.0,0.59,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,92.96,0.0
BE0 0,0.04,0.1,0.0,0.0,0.0,0.0,0.01,0.0,0.0,,0.06,,116.24,86.41,89.32,79.85,,,,,46.26,45.19,82.5,,,,,77.06,38.13,53.79,52.05,,58.38,52.21,56.35,58.48,66.89,58.38,,-1.72,31.17,9.53,2.39,41.37,11.29,0.0,0.0,1.64,4.04,11.29,1.09,0.0,5.8,0.08,3.87,0.0,0.0,4.33,3.34,1.44,2.49,2.81,0.0,0.0,0.0,25.66,0.0,4.99,,100.0,100.0,,100.0,0.0,0.0,,0.0,0.0,9.44,0.09,0.0
BE0 1,,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,116.7,86.87,93.5,83.49,,,,,48.98,48.25,86.11,,,,,80.68,45.92,,,,,55.55,,,70.18,62.41,95.94,1.15,23.39,5.04,2.5,32.08,9.01,0.0,0.0,1.31,4.15,9.01,0.61,0.0,3.89,0.18,1.59,1.23,0.0,0.0,8.45,1.11,1.55,0.0,0.0,0.0,0.0,20.47,0.0,1.81,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.0
BE0 2,,0.06,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,,,116.4,86.57,93.33,83.4,,,,,47.87,47.18,85.99,,,,,80.56,44.02,,,66.95,59.43,55.71,,,66.95,59.43,97.08,-5.97,36.85,21.13,4.7,56.72,13.45,0.0,0.0,1.95,10.78,13.45,1.21,0.0,5.36,0.05,3.03,0.0,0.0,0.0,1.3,1.77,2.6,11.43,1.91,0.0,0.0,30.56,0.0,3.85,,,,,100.0,0.0,0.0,0.0,0.0,0.0,53.45,65.21,0.0
BE0 3,,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.0,,,,116.56,86.73,93.03,83.19,,,,,47.8,46.74,85.81,,,,,80.38,,,,,59.77,55.37,,,67.84,59.87,,5.38,17.8,11.07,4.13,38.39,6.52,0.0,0.0,0.95,3.32,6.52,0.57,0.0,3.18,0.06,1.65,0.0,0.0,0.0,0.45,0.84,1.21,11.44,0.36,0.0,0.0,14.81,0.0,1.83,,,,,100.0,0.0,0.0,,0.0,0.0,100.0,25.47,0.0
