,label,source,target,value
0,BEV charger,electricity grid,battery,851.6621306462738
1,gas,fossil gas,gas,312.9746364076598
2,H2 for industry,H2,H2 for industry demand,195.75999999999996
3,hydro,hydro,electricity grid,348.2009327711082
4,offwind-ac,offwind-ac,electricity grid,144.17081180874544
5,H2 for shipping,H2 liquid,H2 for shipping demand,502.844345719181
7,Fischer-Tropsch,H2,oil,986.7439750658812
8,offwind-dc,offwind-dc,electricity grid,968.8442598914417
9,agriculture electricity,electricity grid,agriculture electricity demand,44.861105056391615
10,H2 Electrolysis,electricity grid,H2,2419.521456137682
11,agriculture heat,heat,agriculture heat demand,189.4575769033617
13,oil,fossil oil,oil,39.90767564495389
14,agriculture machinery oil,oil,agriculture machinery oil demand,86.62592092053184
16,onwind,onwind,electricity grid,4595.279875148522
17,H2 liquefaction,H2,H2 liquid,502.8443457657602
18,electricity,electricity grid,electricity demand,1720.767554222664
19,OCGT,gas,electricity grid,2.9593759744418264
20,ror,ror,electricity grid,139.38059068828312
24,industry electricity,electricity grid,industry electricity demand,1702.5200000000004
25,Sabatier,H2,gas,28.818033527924932
26,kerosene for aviation,oil,kerosene for aviation demand,612.245730609382
27,land transport EV,battery,land transport EV demand,779.8986794122219
28,solar,solar,electricity grid,2339.825054323645
29,V2G,battery,electricity grid,64.58710611377819
30,land transport fuel cell,H2,land transport fuel cell demand,275.2583574396077
31,battery charger,electricity grid,battery,110.82226850182371
32,solar rooftop,solar rooftop,electricity grid,263.25659517075263
33,low-temperature heat for industry,heat,low-temperature heat for industry demand,52.03000000000002
34,battery discharger,battery,electricity grid,108.58321537279726
35,urban central solar thermal,solar thermal,heat,23.083548155664047
37,naphtha for industry,oil,naphtha for industry demand,327.77999999999804
38,biogas to gas,biogas,gas,345.5562015606357
41,gas for industry CC,gas,gas for industry,264.87902527187646
42,residential rural heat,heat,residential rural heat demand,498.6905005004783
43,residential urban decentral heat,heat,residential urban decentral heat demand,628.4028978082292
45,services rural heat,heat,services rural heat demand,188.64718556273084
47,services urban decentral heat,heat,services urban decentral heat demand,251.08738000633363
51,urban central heat,heat,urban central heat demand,1517.1207292301199
52,residential rural gas boiler,gas,heat,13.578855444900249
53,residential rural ground heat pump,ground-sourced ambient,heat,326.0377344462786
54,residential rural resistive heater,electricity grid,heat,21.678557096544004
55,residential rural water tanks charger,heat,water tank,1.5859063992293025
56,residential rural water tanks discharger,water tank,heat,1.3312294653655756
57,residential urban decentral air heat pump,air-sourced ambient,heat,297.83763396171616
58,residential urban decentral gas boiler,gas,heat,65.7095663014474
59,residential urban decentral resistive heater,electricity grid,heat,49.90701728589976
60,residential urban decentral water tanks charger,heat,water tank,1.2166161417495927
61,residential urban decentral water tanks discharger,water tank,heat,1.0211859560596956
62,services rural gas boiler,gas,heat,4.595497990216922
63,services rural ground heat pump,ground-sourced ambient,heat,258.05212470193305
64,services rural resistive heater,electricity grid,heat,9.8411929459615
65,services rural water tanks charger,heat,water tank,1.586289491805137
66,services rural water tanks discharger,water tank,heat,1.3316224668222376
67,services urban decentral air heat pump,air-sourced ambient,heat,118.0233115246167
68,services urban decentral gas boiler,gas,heat,26.018397577929292
69,services urban decentral resistive heater,electricity grid,heat,20.845917736857402
70,services urban decentral water tanks charger,heat,water tank,1.3210668759329662
71,services urban decentral water tanks discharger,water tank,heat,1.1089701258696618
73,solid biomass for industry CC,solid biomass,solid biomass for industry,702.3997962009449
74,urban central air heat pump,air-sourced ambient,heat,345.49652725832254
75,urban central gas CHP,gas,electricity grid,47.403711880754486
77,urban central gas boiler,gas,heat,164.35017445910594
78,urban central resistive heater,electricity grid,heat,124.94435064199598
79,urban central solid biomass CHP,solid biomass,electricity grid,27.102188823539095
80,urban central solid biomass CHP CC,solid biomass,electricity grid,81.05104656811959
81,urban central water tanks charger,heat,water tank,63.12868873266361
82,urban central water tanks discharger,water tank,heat,52.6274142309508
94,urban central gas CHP,gas,heat,47.403711880754486
97,urban central solid biomass CHP,solid biomass,heat,64.48451823531717
98,urban central solid biomass CHP CC,solid biomass,heat,228.18986956870594
99,Fischer-Tropsch,H2,heat,352.408562523529
107,BEV charger,electricity grid,losses,94.62912562736373
109,Fischer-Tropsch,H2,losses,70.48171250470573
110,H2 Electrolysis,electricity grid,losses,1138.5983323000858
112,OCGT,gas,losses,4.258614207123603
115,Sabatier,H2,losses,7.204508381981227
116,V2G,battery,losses,7.176345123753131
117,battery charger,electricity grid,losses,2.285235651168154
118,battery discharger,battery,losses,2.239064749737587
119,gas for industry CC,gas,losses,29.431002807986147
125,residential rural resistive heater,electricity grid,losses,2.408728566282668
128,residential urban decentral gas boiler,gas,losses,1.3410115571724035
129,residential urban decentral resistive heater,electricity grid,losses,5.545224142877758
133,services rural resistive heater,electricity grid,losses,1.0934658828846104
136,services urban decentral gas boiler,gas,losses,0.5309877056720308
137,services urban decentral resistive heater,electricity grid,losses,2.3162130818730433
140,solid biomass for industry CC,solid biomass,losses,78.04442180010358
141,urban central gas CHP,gas,losses,20.81138570374587
143,urban central resistive heater,electricity grid,losses,1.2620641478989585
144,urban central solid biomass CHP,solid biomass,losses,1.869116470588905
145,urban central solid biomass CHP CC,solid biomass,losses,2.4938783559421163
146,urban central water tanks charger,heat,losses,12.024512139554972
147,urban central water tanks discharger,water tank,losses,10.024269377323966
148,residential rural ground heat pump,electricity grid,heat,137.94914905364146
149,residential urban decentral air heat pump,electricity grid,heat,215.35576133093227
150,services rural ground heat pump,electricity grid,heat,106.17000041416064
151,services urban decentral air heat pump,electricity grid,heat,86.66608670352039
152,urban central air heat pump,electricity grid,heat,241.31212210109575
164,urban central gas boiler,fossil gas,gas,6.321160556119444
