snapshot,AC,DC,H2 Electrolysis,OCGT,PHS,battery charger,battery discharger,electricity distribution grid,hydro,offwind-ac,offwind-dc,onwind,ror,solar,urban central gas CHP,urban central solid biomass CHP,urban central solid biomass CHP CC
2013-01-01 00:00:00,0.0,0.0,-610.82,0.0,-1.12,-0.04,10.73,-671.26,33.14,29.08,120.45,1055.44,12.34,0.0,0.0,4.56,17.49
2013-01-01 03:00:00,-0.0,0.0,-542.63,0.0,-1.82,-0.03,31.89,-682.38,31.87,22.36,107.12,996.83,12.39,0.0,0.0,5.37,19.03
2013-01-01 06:00:00,-0.0,0.0,-534.89,0.0,-2.88,-17.32,0.04,-720.9,24.23,23.23,128.61,936.38,12.52,126.26,0.0,5.47,19.22
2013-01-01 09:00:00,0.0,-0.0,-825.33,0.0,-30.58,-48.51,0.02,-765.16,14.94,21.46,146.03,819.88,12.69,631.61,0.0,4.38,18.57
2013-01-01 12:00:00,0.0,-0.0,-754.9,0.0,-3.38,-44.14,0.02,-743.31,22.09,21.26,161.42,797.0,12.97,507.68,0.0,4.67,18.62
2013-01-01 15:00:00,0.0,0.0,-454.52,0.0,3.05,-0.01,30.34,-659.75,36.46,22.12,169.13,756.65,13.13,58.47,0.0,6.03,18.91
2013-01-01 18:00:00,0.0,0.0,-390.99,0.0,5.62,-0.02,40.7,-652.58,39.04,26.47,168.83,724.34,13.13,0.0,0.0,6.5,18.97
2013-01-01 21:00:00,0.0,-0.0,-343.07,0.0,4.61,-0.03,16.01,-602.86,40.26,26.95,164.42,657.54,13.18,0.0,0.0,4.57,18.42
2013-01-02 00:00:00,-0.0,-0.0,-318.83,0.0,2.86,-0.03,2.25,-567.43,41.34,27.01,161.38,614.62,13.19,0.0,0.0,4.51,19.1
2013-01-02 03:00:00,0.0,0.0,-258.86,0.0,4.53,-0.02,36.65,-629.56,48.57,24.03,151.86,582.24,13.16,0.0,0.0,8.0,19.42
2013-01-02 06:00:00,0.0,0.0,-238.33,0.0,7.94,-11.26,5.16,-682.75,44.23,18.76,136.82,573.39,13.1,105.23,0.0,8.27,19.42
2013-01-02 09:00:00,-0.0,0.0,-648.94,0.0,-9.99,-64.54,0.01,-741.22,27.54,14.0,124.06,607.52,13.02,652.43,0.0,6.74,19.34
2013-01-02 12:00:00,-0.0,0.0,-640.42,0.0,-9.3,-60.47,0.01,-724.8,26.58,18.85,124.24,691.7,13.0,533.94,0.0,7.32,19.32
2013-01-02 15:00:00,-0.0,-0.0,-474.55,0.0,9.65,-0.02,31.31,-688.32,46.63,28.37,157.38,779.89,13.0,68.86,0.0,8.38,19.42
2013-01-02 18:00:00,-0.0,-0.0,-496.0,0.0,3.13,-0.02,29.82,-701.82,43.69,32.66,171.18,877.16,12.93,0.0,0.0,8.08,19.2
2013-01-02 21:00:00,0.0,0.0,-558.85,0.0,0.86,-0.03,14.29,-673.11,43.63,30.37,172.67,934.77,12.83,0.0,0.0,4.48,18.1
2013-01-03 00:00:00,-0.0,-0.0,-568.7,0.0,0.83,-0.03,8.61,-659.16,44.46,27.64,170.04,941.39,12.77,0.0,0.0,4.46,17.68
2013-01-03 03:00:00,-0.0,0.0,-537.37,0.0,2.59,-0.02,40.16,-690.32,46.44,26.84,169.14,905.46,12.7,0.0,0.0,5.68,18.69
2013-01-03 06:00:00,0.0,0.0,-521.78,0.0,0.64,-4.75,20.47,-749.69,42.34,25.31,167.38,866.33,12.66,116.61,0.0,5.63,18.85
2013-01-03 09:00:00,-0.0,0.0,-812.83,0.0,-21.68,-69.9,0.01,-778.14,30.68,21.39,157.58,761.2,12.59,677.02,0.0,4.77,17.3
2013-01-03 12:00:00,-0.0,-0.0,-692.14,0.0,-8.19,-69.9,0.01,-777.74,34.4,21.5,160.09,739.68,12.6,558.02,0.0,4.81,16.83
2013-01-03 15:00:00,0.0,0.0,-373.99,0.0,1.17,-0.02,34.61,-709.08,52.42,17.72,155.99,713.69,12.58,72.54,0.0,5.01,17.34
2013-01-03 18:00:00,0.0,0.0,-372.49,0.0,1.74,-0.02,58.02,-683.08,50.15,16.66,140.9,753.39,12.56,0.0,0.0,4.98,17.18
2013-01-03 21:00:00,0.0,0.0,-386.11,0.0,1.04,-0.03,11.99,-622.89,40.64,18.37,123.95,781.02,12.55,0.0,0.0,3.66,15.81
2013-01-04 00:00:00,-0.0,0.0,-405.69,0.0,0.37,-0.02,2.55,-620.17,37.58,20.8,141.36,792.05,12.55,0.0,0.0,3.17,15.45
2013-01-04 03:00:00,0.0,0.0,-402.48,0.0,-1.49,-0.03,25.84,-653.59,36.36,22.68,158.64,782.16,12.56,0.0,0.0,3.42,15.92
2013-01-04 06:00:00,0.0,-0.0,-398.57,0.0,-0.68,-10.99,5.84,-727.26,28.68,22.2,163.82,760.76,12.57,123.8,0.0,3.64,16.19
2013-01-04 09:00:00,-0.0,0.0,-742.15,0.0,-16.76,-69.9,0.01,-783.57,15.33,18.93,159.41,706.59,12.57,681.49,0.0,2.97,15.06
2013-01-04 12:00:00,0.0,0.0,-691.26,0.0,-6.95,-69.89,0.02,-779.77,20.5,16.79,159.77,737.76,12.6,582.26,0.0,2.78,15.39
2013-01-04 15:00:00,-0.0,0.0,-327.44,0.0,1.7,-0.02,17.57,-696.2,28.89,18.18,158.48,685.94,12.63,78.74,0.0,3.36,18.17
