snapshot,Fischer-Tropsch,H2,H2 Electrolysis,H2 for industry,H2 liquefaction,SMR,SMR CC,Sabatier,land transport fuel cell
2013-01-01 00:00:00,-135.45,-57.11,415.36,-22.35,-57.4,0.0,7.39,-145.33,-5.11
2013-01-01 03:00:00,-143.42,16.09,368.99,-22.35,-57.4,0.0,7.47,-145.31,-24.08
2013-01-01 06:00:00,-143.91,46.33,363.73,-22.35,-57.4,0.0,6.97,-141.04,-52.32
2013-01-01 09:00:00,-143.35,-161.29,561.22,-22.35,-57.4,0.0,5.2,-139.07,-42.96
2013-01-01 12:00:00,-142.51,-115.82,513.33,-22.35,-57.4,0.0,5.4,-131.18,-49.47
2013-01-01 15:00:00,-142.46,75.41,309.07,-22.35,-57.4,0.25,10.21,-116.51,-56.22
2013-01-01 18:00:00,-138.28,69.05,265.87,-22.35,-57.4,0.25,10.84,-100.89,-27.1
2013-01-01 21:00:00,-132.29,64.43,233.29,-22.35,-57.4,0.26,11.54,-86.74,-10.72
2013-01-02 00:00:00,-133.02,77.81,216.81,-22.35,-57.4,0.26,10.93,-87.92,-5.12
2013-01-02 03:00:00,-142.87,123.83,176.03,-22.35,-57.4,0.26,16.45,-70.14,-23.8
2013-01-02 06:00:00,-143.21,172.93,162.06,-22.35,-57.4,0.26,20.03,-79.78,-52.54
2013-01-02 09:00:00,-142.19,-82.84,441.28,-22.35,-57.4,0.26,10.59,-102.89,-44.46
2013-01-02 12:00:00,-140.7,-73.36,435.48,-22.35,-57.4,0.26,11.23,-101.47,-51.69
2013-01-02 15:00:00,-140.98,38.82,322.69,-22.35,-57.4,0.26,19.67,-102.95,-57.77
2013-01-02 18:00:00,-139.22,3.87,337.28,-22.35,-57.4,0.25,14.79,-108.46,-28.76
2013-01-02 21:00:00,-132.21,-63.21,380.01,-22.35,-57.4,0.24,12.05,-105.58,-11.55
2013-01-03 00:00:00,-132.43,-81.36,386.72,-22.35,-57.4,0.21,10.09,-98.22,-5.26
2013-01-03 03:00:00,-141.33,-42.39,365.41,-22.35,-57.4,0.18,9.89,-88.97,-23.03
2013-01-03 06:00:00,-141.68,-4.97,354.81,-22.35,-57.4,0.02,9.31,-86.65,-51.09
2013-01-03 09:00:00,-137.81,-221.04,552.73,-22.35,-57.4,0.0,8.63,-77.92,-44.84
2013-01-03 12:00:00,-130.88,-141.5,470.65,-22.35,-57.4,0.05,9.95,-76.55,-51.97
2013-01-03 15:00:00,-127.62,48.75,254.31,-22.35,-57.4,1.1,22.18,-61.33,-57.65
2013-01-03 18:00:00,-129.04,35.25,253.29,-22.35,-57.4,1.16,22.18,-72.85,-30.24
2013-01-03 21:00:00,-123.84,7.88,262.55,-22.35,-57.4,1.09,21.78,-77.51,-12.21
2013-01-04 00:00:00,-122.4,-14.58,275.87,-22.35,-57.4,1.11,21.6,-76.37,-5.48
2013-01-04 03:00:00,-130.2,7.39,273.69,-22.35,-57.4,1.09,21.26,-71.75,-21.73
2013-01-04 06:00:00,-131.66,29.24,271.03,-22.35,-57.4,0.96,21.7,-63.95,-47.57
2013-01-04 09:00:00,-132.74,-200.92,504.66,-22.35,-57.4,0.23,20.19,-61.59,-50.08
2013-01-04 12:00:00,-129.62,-154.7,470.06,-22.35,-57.4,0.31,20.89,-65.53,-61.66
2013-01-04 15:00:00,-126.75,62.87,222.66,-22.35,-57.4,3.78,23.11,-47.83,-58.09
