snapshot,DAC,Fischer-Tropsch,SMR CC,Sabatier,co2 stored,gas for industry CC,process emissions CC,solid biomass for industry CC,urban central gas CHP CC,urban central solid biomass CHP CC
2013-01-01 00:00:00,0.0,-25.6,1.93,-23.25,-15.53,6.05,14.19,24.05,0.0,18.17
2013-01-01 03:00:00,0.0,-27.11,1.95,-23.25,-15.65,6.05,14.19,24.05,0.0,19.76
2013-01-01 06:00:00,0.0,-27.2,1.82,-22.57,-16.3,6.05,14.19,24.05,0.0,19.96
2013-01-01 09:00:00,0.0,-27.09,1.36,-22.25,-15.59,6.05,14.19,24.05,0.0,19.29
2013-01-01 12:00:00,0.0,-26.94,1.41,-20.99,-17.11,6.05,14.19,24.05,0.0,19.33
2013-01-01 15:00:00,0.0,-26.93,2.66,-18.64,-21.03,6.05,14.19,24.05,0.0,19.64
2013-01-01 18:00:00,0.0,-26.13,2.83,-16.14,-24.54,6.05,14.19,24.05,0.0,19.7
2013-01-01 21:00:00,0.0,-25.0,3.01,-13.88,-27.55,6.05,14.19,24.05,0.0,19.13
2013-01-02 00:00:00,0.0,-25.14,2.85,-14.07,-27.78,6.05,14.19,24.05,0.0,19.84
2013-01-02 03:00:00,0.0,-27.0,4.29,-11.22,-30.52,6.05,14.19,24.05,0.0,20.16
2013-01-02 06:00:00,0.0,-27.07,5.23,-12.77,-29.85,6.05,14.19,24.05,0.0,20.16
2013-01-02 09:00:00,0.0,-26.87,2.76,-16.46,-23.81,6.05,14.19,24.05,0.0,20.09
2013-01-02 12:00:00,0.0,-26.59,2.93,-16.23,-24.46,6.05,14.19,24.05,0.0,20.07
2013-01-02 15:00:00,0.0,-26.64,5.13,-16.47,-26.47,6.05,14.19,24.05,0.0,20.16
2013-01-02 18:00:00,0.0,-26.31,3.86,-17.35,-24.42,6.05,14.19,24.05,0.0,19.94
2013-01-02 21:00:00,0.0,-24.99,3.14,-16.89,-24.35,6.05,14.19,24.05,0.0,18.8
2013-01-03 00:00:00,0.0,-25.03,2.63,-15.72,-24.54,6.05,14.19,24.05,0.0,18.36
2013-01-03 03:00:00,0.0,-26.71,2.58,-14.24,-25.34,6.05,14.19,24.05,0.0,19.41
2013-01-03 06:00:00,0.0,-26.78,2.43,-13.86,-25.66,6.05,14.19,24.05,0.0,19.58
2013-01-03 09:00:00,0.0,-26.05,2.25,-12.47,-26.0,6.05,14.19,24.05,0.0,17.97
2013-01-03 12:00:00,0.0,-24.74,2.6,-12.25,-27.39,6.05,14.19,24.05,0.0,17.48
2013-01-03 15:00:00,0.0,-24.12,5.79,-9.81,-34.16,6.05,14.19,24.05,0.0,18.01
2013-01-03 18:00:00,0.0,-24.39,5.79,-11.66,-31.88,6.05,14.19,24.05,0.0,17.85
2013-01-03 21:00:00,0.0,-23.41,5.68,-12.4,-30.59,6.05,14.19,24.05,0.0,16.42
2013-01-04 00:00:00,0.0,-23.13,5.64,-12.22,-30.62,6.05,14.19,24.05,0.0,16.05
2013-01-04 03:00:00,0.0,-24.61,5.55,-11.48,-30.28,6.05,14.19,24.05,0.0,16.53
2013-01-04 06:00:00,0.0,-24.88,5.66,-10.23,-31.65,6.05,14.19,24.05,0.0,16.81
2013-01-04 09:00:00,0.0,-25.09,5.27,-9.85,-30.26,6.05,14.19,24.05,0.0,15.64
2013-01-04 12:00:00,0.0,-24.5,5.45,-10.48,-30.74,6.05,14.19,24.05,0.0,15.98
2013-01-04 15:00:00,0.0,-23.96,6.03,-7.65,-37.58,6.05,14.19,24.05,0.0,18.87
2013-01-04 18:00:00,0.0,-24.55,6.96,-8.03,-37.69,6.05,14.19,24.05,0.0,19.01
2013-01-04 21:00:00,0.0,-21.9,6.9,-8.53,-38.47,6.05,14.19,24.05,0.0,17.71
2013-01-05 00:00:00,0.0,-21.62,6.89,-8.29,-39.14,6.05,14.19,24.05,0.0,17.86
2013-01-05 03:00:00,0.0,-25.17,7.0,-5.03,-41.34,6.05,14.19,24.05,0.0,20.25
2013-01-05 06:00:00,0.0,-24.63,7.44,-5.89,-41.34,6.05,14.19,24.05,0.0,20.13
