snapshot,DAC,OCGT,SMR,SMR CC,agriculture machinery oil emissions,biogas to gas,co2,gas for industry CC,oil emissions,process emissions CC,residential rural gas boiler,residential urban decentral gas boiler,services rural gas boiler,services urban decentral gas boiler,solid biomass for industry CC,urban central gas CHP,urban central gas CHP CC,urban central gas boiler,urban central solid biomass CHP CC
2013-01-01 00:00:00,-0.0,0.0,0.0,0.21,2.67,-7.89,17.24,0.67,27.66,1.58,0.0,0.02,0.0,0.05,-24.05,0.0,0.0,0.0,-18.17
2013-01-01 03:00:00,-0.0,0.0,0.0,0.22,2.67,-7.89,13.15,0.67,27.66,1.58,0.21,0.93,0.09,0.29,-24.05,0.0,0.0,4.24,-19.76
2013-01-01 06:00:00,-0.0,0.0,0.0,0.2,2.67,-7.89,12.15,0.67,27.66,1.58,0.1,0.65,0.05,0.18,-24.05,0.0,0.0,5.98,-19.96
2013-01-01 09:00:00,-0.0,0.0,0.0,0.15,2.67,-7.89,14.52,0.67,27.66,1.58,0.09,0.53,0.04,0.15,-24.05,0.0,0.0,3.17,-19.29
2013-01-01 12:00:00,-0.0,0.0,0.0,0.16,2.67,-7.89,15.32,0.67,27.66,1.58,0.1,0.54,0.04,0.15,-24.05,0.0,0.0,2.4,-19.33
2013-01-01 15:00:00,-0.0,0.0,0.07,0.3,2.67,-7.89,11.86,0.67,27.66,1.58,0.42,1.63,0.08,0.37,-24.05,0.0,0.0,4.28,-19.64
2013-01-01 18:00:00,-0.0,0.0,0.07,0.31,2.67,-7.89,12.25,0.67,27.66,1.58,0.44,1.59,0.01,0.3,-24.05,0.0,0.0,4.09,-19.7
2013-01-01 21:00:00,-0.0,0.0,0.07,0.33,2.67,-7.89,17.35,0.67,27.66,1.58,0.0,0.39,0.0,0.15,-24.05,0.0,0.0,0.2,-19.13
2013-01-02 00:00:00,-0.0,0.0,0.07,0.32,2.67,-7.89,18.24,0.67,27.66,1.58,0.0,0.26,0.03,0.23,-24.05,0.0,0.0,0.06,-19.84
2013-01-02 03:00:00,-0.0,0.0,0.07,0.48,2.67,-7.89,12.9,0.67,27.66,1.58,0.19,1.37,0.13,0.48,-24.05,0.0,0.0,3.92,-20.16
2013-01-02 06:00:00,-0.0,0.0,0.07,0.58,2.67,-7.89,12.54,0.67,27.66,1.58,0.18,0.98,0.07,0.31,-24.05,0.0,0.0,4.79,-20.16
2013-01-02 09:00:00,-0.0,0.0,0.07,0.31,2.67,-7.89,16.23,0.67,27.66,1.58,0.1,0.71,0.04,0.19,-24.05,0.0,0.0,1.79,-20.09
2013-01-02 12:00:00,-0.0,0.0,0.07,0.33,2.67,-7.89,16.76,0.67,27.66,1.58,0.1,0.68,0.04,0.18,-24.05,0.0,0.0,1.28,-20.07
2013-01-02 15:00:00,-0.0,0.0,0.07,0.57,2.67,-7.89,14.07,0.67,27.66,1.58,0.22,1.36,0.06,0.3,-24.05,0.0,0.0,2.89,-20.16
2013-01-02 18:00:00,-0.0,0.0,0.07,0.43,2.67,-7.89,14.37,0.67,27.66,1.58,0.24,1.35,0.01,0.22,-24.05,0.0,0.0,2.62,-19.94
2013-01-02 21:00:00,-0.0,0.0,0.06,0.35,2.67,-7.89,17.35,0.67,27.66,1.58,0.0,0.25,0.0,0.11,-24.05,0.0,0.0,0.04,-18.8
2013-01-03 00:00:00,-0.0,0.0,0.06,0.29,2.67,-7.89,17.1,0.67,27.66,1.58,0.0,0.13,0.0,0.14,-24.05,0.0,0.0,0.0,-18.36
2013-01-03 03:00:00,-0.0,0.0,0.05,0.29,2.67,-7.89,13.54,0.67,27.66,1.58,0.16,1.09,0.1,0.42,-24.05,0.0,0.0,3.13,-19.41
2013-01-03 06:00:00,-0.0,0.0,0.01,0.27,2.67,-7.89,14.26,0.67,27.66,1.58,0.05,0.61,0.05,0.24,-24.05,0.0,0.0,3.45,-19.58
2013-01-03 09:00:00,-0.0,0.0,0.0,0.25,2.67,-7.89,16.46,0.67,27.66,1.58,0.0,0.0,0.0,0.0,-24.05,0.0,0.0,0.62,-17.97
2013-01-03 12:00:00,-0.0,0.0,0.01,0.29,2.67,-7.89,16.19,0.67,27.66,1.58,0.0,0.0,0.0,0.0,-24.05,0.0,0.0,0.35,-17.48
2013-01-03 15:00:00,-0.0,0.0,0.29,0.64,2.67,-7.89,14.55,0.67,27.66,1.58,0.07,0.5,0.0,0.08,-24.05,0.0,0.0,1.24,-18.01
2013-01-03 18:00:00,-0.0,0.0,0.3,0.64,2.67,-7.89,14.58,0.67,27.66,1.58,0.03,0.32,0.0,0.03,-24.05,0.0,0.0,1.3,-17.85
2013-01-03 21:00:00,-0.0,0.0,0.29,0.63,2.67,-7.89,14.85,0.67,27.66,1.58,0.0,0.0,0.0,0.0,-24.05,0.0,0.0,0.01,-16.42
2013-01-04 00:00:00,-0.0,0.0,0.29,0.63,2.67,-7.89,14.48,0.67,27.66,1.58,0.0,0.0,0.0,0.0,-24.05,0.0,0.0,0.01,-16.05
2013-01-04 03:00:00,-0.0,0.0,0.29,0.62,2.67,-7.89,12.95,0.67,27.66,1.58,0.0,0.08,0.0,0.04,-24.05,0.0,0.0,1.92,-16.53
2013-01-04 06:00:00,-0.0,0.0,0.25,0.63,2.67,-7.89,13.06,0.67,27.66,1.58,0.0,0.0,0.0,0.0,-24.05,0.0,0.0,2.23,-16.81
2013-01-04 09:00:00,-0.0,0.0,0.06,0.59,2.67,-7.89,13.86,0.67,27.66,1.58,0.0,0.0,0.0,0.0,-24.05,0.0,0.0,0.5,-15.64
2013-01-04 12:00:00,-0.0,0.0,0.08,0.61,2.67,-7.89,14.42,0.67,27.66,1.58,0.0,0.0,0.0,0.0,-24.05,0.0,0.0,0.24,-15.98
2013-01-04 15:00:00,-0.0,0.0,1.0,0.67,2.67,-7.89,15.82,0.67,27.66,1.58,0.0,0.01,0.0,0.0,-24.05,0.0,0.0,0.73,-18.87
2013-01-04 18:00:00,-0.0,0.0,1.09,0.77,2.67,-7.89,15.66,0.67,27.66,1.58,0.0,0.01,0.0,0.0,-24.05,0.0,0.0,0.84,-19.01
2013-01-04 21:00:00,-0.0,0.0,0.7,0.77,2.67,-7.89,15.59,0.67,27.66,1.58,0.0,0.0,0.0,0.0,-24.05,0.0,0.0,0.01,-17.71
2013-01-05 00:00:00,-0.0,0.0,0.42,0.77,2.67,-7.89,16.03,0.67,27.66,1.58,0.0,0.0,0.0,0.0,-24.05,0.0,0.0,0.01,-17.86
