snapshot,OCGT,SMR,SMR CC,Sabatier,biogas to gas,gas,gas for industry CC,residential rural gas boiler,residential urban decentral gas boiler,services rural gas boiler,services urban decentral gas boiler,urban central gas CHP,urban central gas CHP CC,urban central gas boiler
2013-01-01 00:00:00,-0.0,-0.01,-10.71,116.27,39.45,-111.04,-33.6,-0.0,-0.08,-0.01,-0.25,-0.0,-0.0,-0.02
2013-01-01 03:00:00,-0.0,-0.01,-10.83,116.25,39.45,-82.46,-33.6,-1.04,-4.63,-0.45,-1.47,-0.0,-0.0,-21.2
2013-01-01 06:00:00,-0.0,-0.01,-10.1,112.83,39.45,-73.72,-33.6,-0.52,-3.25,-0.24,-0.92,-0.0,-0.0,-29.91
2013-01-01 09:00:00,-0.0,-0.0,-7.54,111.26,39.45,-89.68,-33.6,-0.46,-2.63,-0.2,-0.75,-0.0,-0.0,-15.84
2013-01-01 12:00:00,-0.0,-0.0,-7.83,104.94,39.45,-86.83,-33.6,-0.48,-2.7,-0.18,-0.74,-0.0,-0.0,-12.02
2013-01-01 15:00:00,-0.0,-0.33,-14.79,93.2,39.45,-50.0,-33.6,-2.1,-8.17,-0.38,-1.86,-0.0,-0.0,-21.42
2013-01-01 18:00:00,-0.0,-0.34,-15.71,80.71,39.45,-38.34,-33.6,-2.22,-7.95,-0.06,-1.5,-0.0,-0.0,-20.45
2013-01-01 21:00:00,-0.0,-0.34,-16.72,69.39,39.45,-54.49,-33.6,-0.0,-1.93,-0.0,-0.76,-0.0,-0.0,-1.0
2013-01-02 00:00:00,-0.0,-0.34,-15.85,70.33,39.45,-57.11,-33.6,-0.0,-1.3,-0.13,-1.16,-0.0,-0.0,-0.29
2013-01-02 03:00:00,-0.0,-0.35,-23.84,56.12,39.45,-7.38,-33.6,-0.97,-6.83,-0.63,-2.38,-0.0,-0.0,-19.58
2013-01-02 06:00:00,-0.0,-0.34,-29.04,63.83,39.45,-8.58,-33.6,-0.91,-4.91,-0.37,-1.55,-0.0,-0.0,-23.97
2013-01-02 09:00:00,-0.0,-0.34,-15.35,82.31,39.45,-58.26,-33.6,-0.51,-3.54,-0.21,-0.97,-0.0,-0.0,-8.97
2013-01-02 12:00:00,-0.0,-0.34,-16.28,81.17,39.45,-59.01,-33.6,-0.52,-3.41,-0.19,-0.88,-0.0,-0.0,-6.4
2013-01-02 15:00:00,-0.0,-0.34,-28.51,82.36,39.45,-35.23,-33.6,-1.12,-6.8,-0.29,-1.48,-0.0,-0.0,-14.44
2013-01-02 18:00:00,-0.0,-0.34,-21.44,86.77,39.45,-48.68,-33.6,-1.19,-6.77,-0.04,-1.08,-0.0,-0.0,-13.09
2013-01-02 21:00:00,-0.0,-0.31,-17.46,84.47,39.45,-70.53,-33.6,-0.0,-1.25,-0.0,-0.54,-0.0,-0.0,-0.22
2013-01-03 00:00:00,-0.0,-0.28,-14.63,78.58,39.45,-68.14,-33.6,-0.0,-0.63,-0.02,-0.7,-0.0,-0.0,-0.02
2013-01-03 03:00:00,-0.0,-0.24,-14.34,71.18,39.45,-37.92,-33.6,-0.8,-5.46,-0.51,-2.11,-0.0,-0.0,-15.65
2013-01-03 06:00:00,-0.0,-0.03,-13.5,69.32,39.45,-39.62,-33.6,-0.27,-3.07,-0.24,-1.21,-0.0,-0.0,-17.25
2013-01-03 09:00:00,-0.0,-0.0,-12.51,62.33,39.45,-52.55,-33.6,-0.0,-0.01,-0.0,-0.01,-0.0,-0.0,-3.11
2013-01-03 12:00:00,-0.0,-0.07,-14.42,61.24,39.45,-50.83,-33.6,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-1.76
2013-01-03 15:00:00,-0.0,-1.45,-32.15,49.06,39.45,-11.86,-33.6,-0.33,-2.5,-0.01,-0.42,-0.0,-0.0,-6.19
2013-01-03 18:00:00,-0.0,-1.52,-32.14,58.28,39.45,-22.07,-33.6,-0.17,-1.58,-0.0,-0.16,-0.0,-0.0,-6.48
2013-01-03 21:00:00,-0.0,-1.44,-31.57,62.01,39.45,-34.79,-33.6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05
2013-01-04 00:00:00,-0.0,-1.46,-31.31,61.1,39.45,-34.13,-33.6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04
2013-01-04 03:00:00,-0.0,-1.44,-30.82,57.4,39.45,-20.8,-33.6,-0.0,-0.38,-0.02,-0.2,-0.0,-0.0,-9.58
2013-01-04 06:00:00,-0.0,-1.27,-31.44,51.16,39.45,-13.13,-33.6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-11.15
2013-01-04 09:00:00,-0.0,-0.3,-29.27,49.27,39.45,-23.04,-33.6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.51
2013-01-04 12:00:00,-0.0,-0.41,-30.27,52.42,39.45,-26.37,-33.6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.21
2013-01-04 15:00:00,-0.0,-4.98,-33.5,38.27,39.45,-1.92,-33.6,-0.0,-0.06,-0.0,-0.01,-0.0,-0.0,-3.64
2013-01-04 18:00:00,-0.0,-5.44,-38.68,40.16,39.45,2.36,-33.6,-0.0,-0.04,-0.0,-0.0,-0.0,-0.0,-4.19
2013-01-04 21:00:00,-0.0,-3.51,-38.33,42.64,39.45,-6.58,-33.6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06
2013-01-05 00:00:00,-0.0,-2.09,-38.28,41.44,39.45,-6.85,-33.6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06
2013-01-05 03:00:00,-0.0,-0.85,-38.87,25.14,39.45,20.27,-33.6,-0.01,-0.22,-0.01,-0.18,-0.0,-0.0,-11.12
2013-01-05 06:00:00,-0.0,-0.87,-41.34,29.46,39.45,16.82,-33.6,-0.01,-0.41,-0.01,-0.23,-0.0,-0.0,-9.26
2013-01-05 09:00:00,-0.0,-1.28,-44.4,41.7,39.45,1.07,-33.6,-0.01,-0.36,-0.0,-0.16,-0.0,-0.0,-2.4
2013-01-05 12:00:00,-0.0,-2.74,-44.47,52.06,39.45,-8.26,-33.6,-0.01,-0.4,-0.0,-0.17,-0.0,-0.0,-1.85
2013-01-05 15:00:00,-0.0,-12.22,-49.7,40.9,39.45,20.9,-33.6,-0.01,-0.59,-0.0,-0.22,-0.0,-0.0,-4.89
2013-01-05 18:00:00,-0.0,-13.14,-53.9,24.57,39.45,41.79,-33.6,-0.01,-0.47,-0.0,-0.17,-0.0,-0.0,-4.52
2013-01-05 21:00:00,-0.0,-12.83,-54.73,7.99,39.45,53.94,-33.6,-0.0,-0.1,-0.0,-0.12,-0.0,-0.0,-0.0
2013-01-06 00:00:00,-0.0,-13.07,-54.81,0.25,39.45,63.18,-33.6,-0.0,-0.27,-0.01,-0.24,-0.0,-0.0,-0.88
2013-01-06 03:00:00,-0.0,-14.42,-54.89,0.99,39.45,82.08,-33.6,-0.07,-1.07,-0.05,-0.47,-0.0,-0.0,-17.96
2013-01-06 06:00:00,-0.0,-15.67,-55.02,15.78,39.45,66.93,-33.6,-0.06,-1.05,-0.04,-0.47,-0.0,-0.0,-16.26
2013-01-06 09:00:00,-0.0,-15.79,-55.06,25.19,39.45,47.28,-33.6,-0.02,-1.23,-0.01,-0.57,-0.0,-0.0,-5.65
2013-01-06 12:00:00,-0.0,-25.44,-55.16,32.78,39.45,52.42,-33.6,-0.03,-3.32,-0.01,-1.04,-0.0,-0.0,-6.04
2013-01-06 15:00:00,-0.0,-30.08,-55.44,20.24,39.45,169.9,-33.6,-1.51,-11.21,-0.04,-2.54,-67.97,-0.01,-27.19
2013-01-06 18:00:00,-0.0,-30.74,-55.44,13.93,39.45,191.15,-33.6,-1.2,-12.22,-0.0,-2.2,-80.14,-0.01,-28.97
2013-01-06 21:00:00,-0.0,-30.75,-55.44,7.44,39.45,144.19,-33.6,-0.0,-1.5,-0.0,-1.09,-59.39,-0.01,-9.31
2013-01-07 00:00:00,-0.0,-30.92,-55.44,10.59,39.45,164.27,-33.6,-0.0,-3.13,-0.24,-2.75,-74.72,-0.01,-13.5
2013-01-07 03:00:00,-0.0,-31.63,-55.44,14.26,39.45,304.95,-33.6,-3.46,-16.75,-1.94,-8.18,-153.82,-0.01,-53.83
2013-01-07 06:00:00,-0.0,-31.82,-55.45,17.51,39.45,307.65,-33.6,-4.23,-19.44,-1.86,-8.05,-154.46,-0.01,-55.69
2013-01-07 09:00:00,-0.0,-31.27,-55.44,18.5,39.45,201.02,-33.6,-2.62,-14.23,-0.91,-4.87,-78.95,-0.0,-37.07
2013-01-07 12:00:00,-0.0,-31.37,-55.44,15.27,39.45,174.4,-33.6,-2.21,-12.9,-0.57,-3.97,-59.43,-0.0,-29.63
