snapshot,BEV charger,V2G,agriculture electricity,electricity,electricity distribution grid,home battery charger,home battery discharger,industry electricity,residential rural ground heat pump,residential rural resistive heater,residential urban decentral air heat pump,residential urban decentral resistive heater,services rural ground heat pump,services rural resistive heater,services urban decentral air heat pump,services urban decentral resistive heater,solar rooftop,urban central air heat pump,urban central resistive heater
2013-01-01 00:00:00,-147.38,0.01,-5.12,-152.86,671.26,-0.02,0.01,-194.35,-18.85,0.0,-33.25,-1.7,-15.73,-0.23,-16.14,-3.13,0.0,-61.32,-21.19
2013-01-01 03:00:00,-91.81,1.48,-5.12,-118.17,682.38,-0.02,0.02,-194.35,-29.81,-7.09,-45.4,-22.15,-18.32,-5.46,-19.36,-12.39,0.0,-61.47,-52.96
2013-01-01 06:00:00,-122.7,1.37,-5.12,-119.28,720.9,-0.02,0.02,-194.35,-30.89,-10.64,-47.27,-29.25,-18.27,-5.49,-19.37,-13.19,15.01,-61.47,-60.0
2013-01-01 09:00:00,-238.35,0.02,-5.12,-149.54,765.16,-0.02,0.01,-194.35,-29.35,-4.01,-45.58,-15.26,-17.37,-1.46,-18.26,-5.55,67.31,-61.47,-46.81
2013-01-01 12:00:00,-225.22,4.49,-5.12,-157.28,743.31,-0.02,0.01,-194.35,-28.83,-2.85,-44.43,-11.02,-16.86,-0.52,-17.36,-3.07,52.97,-61.47,-32.39
2013-01-01 15:00:00,-71.44,7.69,-5.12,-177.33,659.75,-0.01,0.02,-194.35,-30.15,-5.9,-46.61,-13.42,-16.85,-0.29,-17.58,-2.34,5.17,-61.47,-29.77
2013-01-01 18:00:00,-43.99,2.1,-5.12,-182.1,652.58,-0.01,0.02,-194.35,-30.37,-5.85,-47.61,-16.66,-16.19,-0.02,-17.14,-1.58,0.0,-61.47,-32.24
2013-01-01 21:00:00,-69.39,0.37,-5.12,-170.06,602.86,-0.01,0.01,-194.35,-21.51,0.0,-38.44,-0.56,-14.57,0.0,-15.17,-0.25,0.0,-61.37,-12.42
2013-01-02 00:00:00,-67.8,3.45,-5.12,-144.59,567.43,-0.02,0.01,-194.35,-18.68,0.0,-34.36,-0.08,-15.84,-0.0,-17.36,-1.49,0.0,-59.86,-11.32
2013-01-02 03:00:00,-34.88,2.74,-5.12,-134.41,629.56,-0.01,0.02,-194.35,-30.24,-4.58,-46.34,-22.18,-18.59,-4.69,-19.23,-15.24,0.0,-61.05,-41.39
2013-01-02 06:00:00,-42.64,8.12,-5.12,-185.25,682.75,-0.01,0.01,-194.35,-31.54,-6.14,-47.89,-29.47,-18.63,-4.3,-19.47,-15.21,12.42,-61.47,-41.82
2013-01-02 09:00:00,-178.73,17.13,-5.12,-215.23,741.22,-0.02,0.01,-194.35,-29.55,-1.9,-46.59,-14.6,-17.58,-0.94,-18.85,-6.0,73.94,-61.43,-41.4
2013-01-02 12:00:00,-161.87,8.86,-5.12,-214.62,724.8,-0.02,0.01,-194.35,-28.87,-1.44,-45.31,-10.26,-16.99,-0.3,-17.98,-2.98,59.15,-61.01,-31.69
2013-01-02 15:00:00,-42.21,9.32,-5.12,-228.75,688.32,-0.01,0.02,-194.35,-30.6,-3.92,-46.37,-16.31,-16.98,-0.18,-17.98,-2.78,6.75,-61.2,-37.63
2013-01-02 18:00:00,-45.8,2.96,-5.12,-218.26,701.82,-0.01,0.01,-194.35,-30.9,-3.51,-46.75,-19.18,-16.26,-0.03,-17.38,-1.88,0.0,-61.3,-44.07
2013-01-02 21:00:00,-120.15,0.03,-5.12,-193.09,673.11,-0.02,0.01,-194.35,-21.21,-0.0,-38.01,-0.81,-14.63,-0.0,-15.33,-0.36,0.0,-58.94,-11.12
2013-01-03 00:00:00,-150.45,0.0,-5.12,-165.15,659.16,-0.01,0.01,-194.35,-17.16,-0.0,-30.19,-0.26,-15.0,-0.03,-14.77,-1.88,0.0,-56.16,-8.64
2013-01-03 03:00:00,-101.28,0.0,-5.12,-154.83,690.32,-0.01,0.01,-194.35,-27.82,-2.96,-40.83,-16.95,-17.69,-3.17,-17.06,-10.66,0.0,-60.01,-37.58
