snapshot,Fischer-Tropsch,agriculture machinery oil,kerosene for aviation,naphtha for industry,oil
2013-01-01 00:00:00,94.81,-9.89,-69.89,-37.42,22.38
2013-01-01 03:00:00,100.4,-9.89,-69.89,-37.42,16.8
2013-01-01 06:00:00,100.74,-9.89,-69.89,-37.42,16.46
2013-01-01 09:00:00,100.35,-9.89,-69.89,-37.42,16.85
2013-01-01 12:00:00,99.76,-9.89,-69.89,-37.42,17.44
2013-01-01 15:00:00,99.73,-9.89,-69.89,-37.42,17.47
2013-01-01 18:00:00,96.8,-9.89,-69.89,-37.42,20.4
2013-01-01 21:00:00,92.61,-9.89,-69.89,-37.42,24.59
2013-01-02 00:00:00,93.11,-9.89,-69.89,-37.42,24.09
2013-01-02 03:00:00,100.01,-9.89,-69.89,-37.42,17.19
2013-01-02 06:00:00,100.25,-9.89,-69.89,-37.42,16.95
2013-01-02 09:00:00,99.53,-9.89,-69.89,-37.42,17.67
2013-01-02 12:00:00,98.5,-9.89,-69.89,-37.42,18.7
2013-01-02 15:00:00,98.68,-9.89,-69.89,-37.42,18.51
2013-01-02 18:00:00,97.46,-9.89,-69.89,-37.42,19.74
2013-01-02 21:00:00,92.55,-9.89,-69.89,-37.42,24.65
2013-01-03 00:00:00,92.7,-9.89,-69.89,-37.42,24.5
2013-01-03 03:00:00,98.93,-9.89,-69.89,-37.42,18.26
2013-01-03 06:00:00,99.18,-9.89,-69.89,-37.42,18.02
2013-01-03 09:00:00,96.47,-9.89,-69.89,-37.42,20.73
2013-01-03 12:00:00,91.62,-9.89,-69.89,-37.42,25.58
2013-01-03 15:00:00,89.34,-9.89,-69.89,-37.42,27.86
2013-01-03 18:00:00,90.33,-9.89,-69.89,-37.42,26.87
2013-01-03 21:00:00,86.69,-9.89,-69.89,-37.42,30.51
2013-01-04 00:00:00,85.68,-9.89,-69.89,-37.42,31.52
2013-01-04 03:00:00,91.14,-9.89,-69.89,-37.42,26.05
2013-01-04 06:00:00,92.17,-9.89,-69.89,-37.42,25.03
2013-01-04 09:00:00,92.92,-9.89,-69.89,-37.42,24.27
2013-01-04 12:00:00,90.74,-9.89,-69.89,-37.42,26.46
2013-01-04 15:00:00,88.73,-9.89,-69.89,-37.42,28.47
2013-01-04 18:00:00,90.91,-9.89,-69.89,-37.42,26.28
2013-01-04 21:00:00,81.11,-9.89,-69.89,-37.42,36.08
2013-01-05 00:00:00,80.06,-9.89,-69.89,-37.42,37.14
2013-01-05 03:00:00,93.23,-9.89,-69.89,-37.42,23.97
2013-01-05 06:00:00,91.23,-9.89,-69.89,-37.42,25.96
2013-01-05 09:00:00,87.98,-9.89,-69.89,-37.42,29.22
2013-01-05 12:00:00,83.57,-9.89,-69.89,-37.42,33.63
2013-01-05 15:00:00,85.65,-9.89,-69.89,-37.42,31.55
2013-01-05 18:00:00,88.48,-9.89,-69.89,-37.42,28.71
2013-01-05 21:00:00,73.55,-9.89,-69.89,-37.42,43.65
2013-01-06 00:00:00,71.83,-9.89,-69.89,-37.42,45.36
2013-01-06 03:00:00,89.51,-9.89,-69.89,-37.42,27.69
2013-01-06 06:00:00,90.09,-9.89,-69.89,-37.42,27.1
2013-01-06 09:00:00,86.18,-9.89,-69.89,-37.42,31.02
