snapshot,residential rural gas boiler,residential rural ground heat pump,residential rural heat,residential rural resistive heater,residential rural solar thermal,residential rural water tanks charger,residential rural water tanks discharger
2013-01-01 00:00:00,0.0,63.86,-63.85,0.0,0.0,-0.04,0.02
2013-01-01 03:00:00,1.02,100.87,-108.26,6.38,0.0,-0.03,0.02
2013-01-01 06:00:00,0.51,104.45,-114.53,9.58,0.0,-0.03,0.02
2013-01-01 09:00:00,0.45,99.34,-103.39,3.61,0.0,-0.04,0.02
2013-01-01 12:00:00,0.47,97.58,-100.6,2.56,0.0,-0.04,0.02
2013-01-01 15:00:00,2.05,101.92,-109.29,5.31,0.0,-0.02,0.01
2013-01-01 18:00:00,2.17,102.65,-110.08,5.26,0.0,-0.02,0.01
2013-01-01 21:00:00,0.0,72.73,-72.72,0.0,0.0,-0.03,0.01
2013-01-02 00:00:00,0.0,63.07,-63.06,0.0,0.0,-0.02,0.01
2013-01-02 03:00:00,0.95,102.04,-107.11,4.13,0.0,-0.02,0.01
2013-01-02 06:00:00,0.89,106.37,-112.78,5.52,0.0,-0.02,0.01
2013-01-02 09:00:00,0.5,99.66,-101.86,1.71,0.0,-0.03,0.01
2013-01-02 12:00:00,0.51,97.37,-99.17,1.3,0.0,-0.02,0.01
2013-01-02 15:00:00,1.09,103.18,-107.79,3.53,0.0,-0.02,0.01
2013-01-02 18:00:00,1.16,104.15,-108.46,3.16,0.0,-0.02,0.01
2013-01-02 21:00:00,0.0,71.47,-71.46,0.0,0.0,-0.03,0.01
2013-01-03 00:00:00,0.0,57.8,-57.79,0.0,0.0,-0.03,0.01
2013-01-03 03:00:00,0.78,93.73,-97.17,2.67,0.0,-0.02,0.01
2013-01-03 06:00:00,0.26,97.98,-101.85,3.62,0.0,-0.02,0.01
2013-01-03 09:00:00,0.0,91.08,-92.18,1.24,0.0,-0.49,0.34
2013-01-03 12:00:00,0.0,89.0,-89.85,0.99,0.0,-0.49,0.34
2013-01-03 15:00:00,0.32,94.7,-97.56,2.68,0.0,-0.49,0.34
2013-01-03 18:00:00,0.17,95.57,-98.0,2.4,0.0,-0.49,0.34
2013-01-03 21:00:00,0.0,65.01,-64.98,0.12,0.0,-0.5,0.35
2013-01-04 00:00:00,0.0,52.87,-52.84,0.12,0.0,-0.51,0.35
2013-01-04 03:00:00,0.0,86.21,-87.47,1.4,0.0,-0.46,0.32
