snapshot,residential urban decentral air heat pump,residential urban decentral gas boiler,residential urban decentral heat,residential urban decentral resistive heater,residential urban decentral solar thermal,residential urban decentral water tanks charger,residential urban decentral water tanks discharger
2013-01-01 00:00:00,74.1,0.07,-75.7,1.53,0.0,-0.02,0.01
2013-01-01 03:00:00,101.87,4.53,-126.33,19.93,0.0,-0.01,0.01
2013-01-01 06:00:00,106.04,3.18,-135.55,26.32,0.0,-0.01,0.0
2013-01-01 09:00:00,106.07,2.57,-122.38,13.74,0.0,-0.02,0.01
2013-01-01 12:00:00,106.27,2.65,-118.83,9.92,0.0,-0.02,0.01
2013-01-01 15:00:00,108.61,8.01,-128.69,12.07,0.0,-0.01,0.0
2013-01-01 18:00:00,107.63,7.79,-130.41,15.0,0.0,-0.0,0.0
2013-01-01 21:00:00,85.13,1.89,-87.51,0.5,0.0,-0.01,0.0
2013-01-02 00:00:00,75.05,1.27,-76.39,0.08,0.0,-0.01,0.0
2013-01-02 03:00:00,101.51,6.69,-128.17,19.96,0.0,-0.0,0.0
2013-01-02 06:00:00,105.39,4.81,-136.73,26.53,0.0,-0.0,0.0
2013-01-02 09:00:00,106.85,3.47,-123.47,13.14,0.0,-0.01,0.0
2013-01-02 12:00:00,107.38,3.34,-119.96,9.24,0.01,-0.01,0.0
2013-01-02 15:00:00,108.71,6.66,-130.06,14.68,0.0,-0.01,0.0
2013-01-02 18:00:00,107.73,6.63,-131.62,17.26,0.0,-0.01,0.0
2013-01-02 21:00:00,85.89,1.22,-87.84,0.73,0.0,-0.01,0.01
2013-01-03 00:00:00,66.83,0.62,-67.68,0.24,0.0,-0.01,0.01
2013-01-03 03:00:00,91.35,5.35,-111.96,15.26,0.0,-0.01,0.01
2013-01-03 06:00:00,95.61,3.01,-118.4,19.78,0.0,-0.01,0.01
2013-01-03 09:00:00,95.21,0.01,-107.25,12.15,0.01,-0.41,0.29
2013-01-03 12:00:00,95.91,0.0,-104.41,8.61,0.02,-0.43,0.3
2013-01-03 15:00:00,98.76,2.44,-113.07,11.98,0.0,-0.42,0.29
2013-01-03 18:00:00,98.3,1.55,-114.05,14.33,0.0,-0.41,0.29
2013-01-03 21:00:00,76.18,0.0,-76.74,0.7,0.0,-0.47,0.33
2013-01-04 00:00:00,63.31,0.0,-63.35,0.18,0.0,-0.47,0.33
2013-01-04 03:00:00,91.81,0.37,-103.33,11.26,0.0,-0.39,0.27
2013-01-04 06:00:00,97.36,0.0,-109.7,12.39,0.0,-0.16,0.11
2013-01-04 09:00:00,94.9,0.0,-99.51,4.66,0.0,-0.16,0.11
2013-01-04 12:00:00,94.09,0.0,-96.87,2.78,0.01,-0.04,0.03
2013-01-04 15:00:00,98.25,0.06,-104.67,6.37,0.0,-0.02,0.01
2013-01-04 18:00:00,97.7,0.04,-105.67,7.93,0.0,-0.01,0.01
2013-01-04 21:00:00,71.57,0.0,-71.82,0.26,0.0,-0.01,0.0
2013-01-05 00:00:00,65.18,0.0,-65.47,0.3,0.0,-0.01,0.0
2013-01-05 03:00:00,95.96,0.21,-108.29,12.11,0.0,-0.0,0.0
2013-01-05 06:00:00,101.6,0.4,-114.96,12.95,0.0,-0.0,0.0
2013-01-05 09:00:00,97.78,0.35,-103.97,5.84,0.0,-0.0,0.0
2013-01-05 12:00:00,96.13,0.39,-101.14,4.61,0.01,-0.0,0.0
2013-01-05 15:00:00,100.64,0.57,-109.39,8.17,0.0,-0.0,0.0
2013-01-05 18:00:00,100.57,0.46,-110.67,9.64,0.0,-0.0,0.0
2013-01-05 21:00:00,74.34,0.09,-74.71,0.29,0.0,-0.0,0.0
2013-01-06 00:00:00,68.96,0.26,-69.98,0.77,0.0,-0.0,0.0
2013-01-06 03:00:00,98.36,1.04,-116.77,17.37,0.0,-0.0,0.0
2013-01-06 06:00:00,104.13,1.02,-124.13,18.98,0.0,-0.0,0.0
2013-01-06 09:00:00,100.22,1.2,-112.1,10.68,0.01,-0.03,0.02
2013-01-06 12:00:00,98.56,3.26,-109.01,7.2,0.01,-0.03,0.02
2013-01-06 15:00:00,102.79,10.99,-118.03,4.25,0.0,-0.0,0.0
2013-01-06 18:00:00,103.05,11.97,-119.35,4.32,0.0,-0.0,0.0
2013-01-06 21:00:00,78.65,1.47,-80.22,0.1,0.0,-0.0,0.0
2013-01-07 00:00:00,71.72,3.07,-74.97,0.19,0.0,-0.0,0.0
2013-01-07 03:00:00,98.92,16.41,-125.57,10.24,0.0,-0.0,0.0
2013-01-07 06:00:00,103.37,19.05,-132.96,10.55,0.0,-0.0,0.0
2013-01-07 09:00:00,101.11,13.95,-120.21,5.15,0.01,-0.0,0.0
2013-01-07 12:00:00,100.16,12.64,-117.0,4.19,0.02,-0.0,0.0
2013-01-07 15:00:00,103.35,15.76,-126.89,7.78,0.0,-0.0,0.0
2013-01-07 18:00:00,102.95,17.19,-127.84,7.7,0.0,-0.0,0.0
2013-01-07 21:00:00,79.94,5.22,-85.26,0.09,0.0,-0.0,0.0
2013-01-08 00:00:00,71.73,6.33,-79.35,1.29,0.0,-0.0,0.0
2013-01-08 03:00:00,97.63,20.19,-134.24,16.41,0.0,-0.0,0.0
2013-01-08 06:00:00,101.43,23.04,-141.51,17.04,0.0,-0.0,0.0
2013-01-08 09:00:00,100.92,16.63,-127.85,10.29,0.01,-0.0,0.0
2013-01-08 12:00:00,101.11,14.54,-124.49,8.83,0.02,-0.0,0.0
2013-01-08 15:00:00,103.04,18.88,-135.24,13.31,0.0,-0.0,0.0
2013-01-08 18:00:00,102.18,20.42,-136.01,13.4,0.0,-0.0,0.0
2013-01-08 21:00:00,82.57,6.02,-89.91,1.33,0.0,-0.0,0.0
2013-01-09 00:00:00,76.22,4.09,-82.09,1.79,0.0,-0.0,0.0
2013-01-09 03:00:00,102.34,20.32,-138.55,15.89,0.0,-0.0,0.0
2013-01-09 06:00:00,104.82,24.62,-147.62,18.18,0.0,0.0,0.0
2013-01-09 09:00:00,105.55,16.05,-133.19,11.59,0.01,0.0,0.0
2013-01-09 12:00:00,106.44,13.46,-129.5,9.58,0.01,-0.0,0.0
2013-01-09 15:00:00,107.77,18.7,-140.53,14.05,0.0,0.0,0.0
2013-01-09 18:00:00,106.24,20.64,-141.74,14.87,0.0,0.0,0.0
2013-01-09 21:00:00,87.9,4.78,-94.15,1.47,0.0,-0.0,0.0
2013-01-10 00:00:00,77.25,3.95,-81.9,0.7,0.0,-0.0,0.0
2013-01-10 03:00:00,103.32,20.64,-137.56,13.6,0.0,0.0,0.0
