snapshot,agriculture heat,services rural gas boiler,services rural ground heat pump,services rural heat,services rural resistive heater,services rural water tanks charger,services rural water tanks discharger
2013-01-01 00:00:00,-21.63,0.01,53.16,-31.74,0.21,-0.04,0.02
2013-01-01 03:00:00,-21.63,0.44,61.82,-45.54,4.92,-0.03,0.02
2013-01-01 06:00:00,-21.63,0.24,61.65,-45.19,4.94,-0.02,0.01
2013-01-01 09:00:00,-21.63,0.2,58.65,-38.52,1.31,-0.04,0.02
2013-01-01 12:00:00,-21.63,0.18,56.91,-35.92,0.47,-0.04,0.02
2013-01-01 15:00:00,-21.63,0.37,56.86,-35.86,0.26,-0.02,0.01
2013-01-01 18:00:00,-21.63,0.06,54.64,-33.08,0.02,-0.03,0.01
2013-01-01 21:00:00,-21.63,0.0,49.17,-27.54,0.0,-0.03,0.01
2013-01-02 00:00:00,-21.63,0.13,53.4,-31.89,0.0,-0.03,0.01
2013-01-02 03:00:00,-21.63,0.62,62.62,-45.83,4.22,-0.02,0.01
2013-01-02 06:00:00,-21.63,0.36,62.73,-45.33,3.87,-0.02,0.01
2013-01-02 09:00:00,-21.63,0.21,59.22,-38.64,0.84,-0.03,0.01
2013-01-02 12:00:00,-21.63,0.18,57.24,-36.06,0.27,-0.02,0.01
2013-01-02 15:00:00,-21.63,0.28,57.2,-36.01,0.16,-0.02,0.01
2013-01-02 18:00:00,-21.63,0.04,54.75,-33.17,0.02,-0.03,0.01
2013-01-02 21:00:00,-21.63,0.0,49.26,-27.63,0.0,-0.03,0.01
2013-01-03 00:00:00,-21.63,0.02,50.46,-28.86,0.02,-0.03,0.01
2013-01-03 03:00:00,-21.63,0.49,59.52,-41.24,2.86,-0.02,0.01
2013-01-03 06:00:00,-21.63,0.23,59.46,-40.7,2.63,-0.02,0.01
2013-01-03 09:00:00,-21.63,0.0,55.82,-34.77,0.72,-0.49,0.34
2013-01-03 12:00:00,-21.63,0.0,53.96,-32.5,0.32,-0.49,0.34
2013-01-03 15:00:00,-21.63,0.01,53.92,-32.46,0.3,-0.49,0.34
2013-01-03 18:00:00,-21.63,0.0,51.51,-29.92,0.17,-0.49,0.34
2013-01-03 21:00:00,-21.63,0.0,46.69,-25.03,0.12,-0.49,0.34
2013-01-04 00:00:00,-21.63,0.0,47.63,-25.99,0.14,-0.49,0.34
2013-01-04 03:00:00,-21.63,0.02,56.93,-36.86,1.68,-0.46,0.32
2013-01-04 06:00:00,-21.63,0.0,56.89,-36.48,1.29,-0.25,0.17
2013-01-04 09:00:00,-21.63,0.0,52.59,-31.25,0.35,-0.23,0.16
