snapshot,services urban decentral air heat pump,services urban decentral gas boiler,services urban decentral heat,services urban decentral resistive heater,services urban decentral solar thermal,services urban decentral water tanks charger,services urban decentral water tanks discharger
2013-01-01 00:00:00,36.58,0.24,-39.63,2.81,0.0,-0.02,0.01
2013-01-01 03:00:00,44.07,1.44,-56.66,11.15,0.0,-0.01,0.0
2013-01-01 06:00:00,43.9,0.9,-56.67,11.87,0.0,-0.01,0.0
2013-01-01 09:00:00,42.62,0.74,-48.35,4.99,0.0,-0.02,0.01
2013-01-01 12:00:00,41.54,0.73,-45.03,2.76,0.0,-0.02,0.01
2013-01-01 15:00:00,41.01,1.82,-44.94,2.11,0.0,-0.01,0.01
2013-01-01 18:00:00,38.75,1.47,-41.64,1.42,0.0,-0.01,0.01
2013-01-01 21:00:00,33.65,0.75,-34.62,0.22,0.0,-0.01,0.01
2013-01-02 00:00:00,38.19,1.14,-40.67,1.35,0.0,-0.01,0.0
2013-01-02 03:00:00,42.26,2.33,-58.31,13.71,0.0,-0.0,0.0
2013-01-02 06:00:00,42.88,1.51,-58.08,13.69,0.0,-0.0,0.0
2013-01-02 09:00:00,43.17,0.95,-49.52,5.4,0.0,-0.01,0.0
2013-01-02 12:00:00,42.61,0.86,-46.15,2.68,0.0,-0.01,0.01
2013-01-02 15:00:00,42.13,1.45,-46.07,2.5,0.0,-0.01,0.01
2013-01-02 18:00:00,39.87,1.06,-42.61,1.69,0.0,-0.01,0.01
2013-01-02 21:00:00,34.58,0.53,-35.43,0.32,0.0,-0.01,0.01
2013-01-03 00:00:00,32.87,0.69,-35.24,1.69,0.0,-0.01,0.01
2013-01-03 03:00:00,38.42,2.07,-50.08,9.59,0.0,-0.01,0.0
2013-01-03 06:00:00,38.98,1.18,-49.66,9.5,0.0,-0.01,0.01
2013-01-03 09:00:00,37.9,0.0,-42.51,4.72,0.0,-0.39,0.28
2013-01-03 12:00:00,37.37,0.0,-39.73,2.47,0.0,-0.41,0.29
2013-01-03 15:00:00,37.18,0.41,-39.67,2.2,0.0,-0.42,0.29
2013-01-03 18:00:00,35.16,0.16,-36.69,1.5,0.0,-0.43,0.3
2013-01-03 21:00:00,30.4,0.0,-30.74,0.47,0.0,-0.44,0.31
2013-01-04 00:00:00,31.66,0.0,-32.64,1.1,0.0,-0.43,0.3
2013-01-04 03:00:00,39.55,0.19,-46.09,6.45,0.0,-0.35,0.25
2013-01-04 06:00:00,40.07,0.0,-45.88,5.84,0.0,-0.15,0.1
2013-01-04 09:00:00,37.62,0.0,-39.35,1.78,0.0,-0.15,0.11
2013-01-04 12:00:00,36.17,0.0,-36.78,0.62,0.0,-0.04,0.03
2013-01-04 15:00:00,36.01,0.01,-36.72,0.7,0.0,-0.02,0.01
2013-01-04 18:00:00,33.58,0.0,-34.04,0.46,0.0,-0.01,0.01
2013-01-04 21:00:00,28.91,0.0,-29.1,0.19,0.0,-0.01,0.0
2013-01-05 00:00:00,34.92,0.0,-36.85,1.94,0.0,-0.01,0.0
2013-01-05 03:00:00,41.99,0.18,-48.69,6.52,0.0,-0.0,0.0
2013-01-05 06:00:00,40.4,0.23,-45.01,4.38,0.0,-0.0,0.0
2013-01-05 09:00:00,37.62,0.16,-39.25,1.47,0.0,-0.0,0.0
2013-01-05 12:00:00,36.11,0.17,-37.22,0.94,0.0,-0.0,0.0
2013-01-05 15:00:00,37.36,0.22,-38.85,1.28,0.0,-0.0,0.0
2013-01-05 18:00:00,36.2,0.16,-37.54,1.18,0.0,-0.0,0.0
2013-01-05 21:00:00,31.5,0.12,-32.07,0.46,0.0,-0.0,0.0
2013-01-06 00:00:00,36.24,0.24,-39.45,2.97,0.0,-0.0,0.0
2013-01-06 03:00:00,42.79,0.46,-52.25,9.01,0.0,-0.0,0.0
2013-01-06 06:00:00,41.61,0.46,-48.3,6.23,0.0,-0.0,0.0
2013-01-06 09:00:00,38.87,0.55,-42.05,2.64,0.0,-0.03,0.02
2013-01-06 12:00:00,37.42,1.02,-39.84,1.41,0.0,-0.03,0.02
2013-01-06 15:00:00,38.54,2.49,-41.61,0.58,0.0,-0.0,0.0
2013-01-06 18:00:00,37.48,2.16,-40.18,0.55,0.0,-0.0,0.0
2013-01-06 21:00:00,32.47,1.06,-33.69,0.16,0.0,-0.0,0.0
2013-01-07 00:00:00,35.65,2.69,-39.25,0.92,0.0,-0.0,0.0
2013-01-07 03:00:00,42.24,8.01,-56.06,5.81,0.0,-0.0,0.0
2013-01-07 06:00:00,42.69,7.88,-55.63,5.06,0.0,-0.0,0.0
2013-01-07 09:00:00,40.96,4.78,-47.51,1.77,0.0,-0.0,0.0
2013-01-07 12:00:00,39.56,3.89,-44.34,0.89,0.0,-0.0,0.0
2013-01-07 15:00:00,39.32,4.0,-44.27,0.94,0.0,-0.0,0.0
2013-01-07 18:00:00,37.21,3.19,-40.87,0.46,0.0,-0.0,0.0
2013-01-07 21:00:00,32.0,2.03,-34.13,0.1,0.0,-0.0,0.0
2013-01-08 00:00:00,36.32,3.59,-41.44,1.53,0.0,-0.0,0.0
2013-01-08 03:00:00,41.07,10.25,-59.41,8.1,0.0,-0.0,0.0
2013-01-08 06:00:00,41.63,9.85,-58.8,7.32,0.0,-0.0,0.0
2013-01-08 09:00:00,40.88,6.0,-50.15,3.27,0.0,-0.0,0.0
2013-01-08 12:00:00,40.27,4.48,-46.81,2.05,0.0,-0.0,0.0
2013-01-08 15:00:00,39.94,4.67,-46.74,2.13,0.0,-0.0,0.0
