snapshot,AC,BEV charger,DC,H2 Electrolysis,OCGT,PHS,V2G,agriculture electricity,battery charger,battery discharger,electricity,home battery charger,home battery discharger,hydro,industry electricity,offwind-ac,offwind-dc,onwind,residential rural ground heat pump,residential rural resistive heater,residential urban decentral air heat pump,residential urban decentral resistive heater,ror,services rural ground heat pump,services rural resistive heater,services urban decentral air heat pump,services urban decentral resistive heater,solar,solar rooftop,urban central air heat pump,urban central gas CHP,urban central resistive heater,urban central solid biomass CHP,urban central solid biomass CHP CC
2013-01-01 00:00:00,0.0,-147.38,0.0,-610.82,0.0,-1.12,0.01,-5.12,-0.04,10.73,-152.86,-0.02,0.01,33.14,-194.35,29.08,120.45,1055.44,-18.85,0.0,-33.25,-1.7,12.34,-15.73,-0.23,-16.14,-3.13,0.0,0.0,-61.32,0.0,-21.19,4.56,17.49
2013-01-01 03:00:00,-0.0,-91.81,0.0,-542.63,0.0,-1.82,1.48,-5.12,-0.03,31.89,-118.17,-0.02,0.02,31.87,-194.35,22.36,107.12,996.83,-29.81,-7.09,-45.4,-22.15,12.39,-18.32,-5.46,-19.36,-12.39,0.0,0.0,-61.47,0.0,-52.96,5.37,19.03
2013-01-01 06:00:00,-0.0,-122.7,0.0,-534.89,0.0,-2.88,1.37,-5.12,-17.32,0.04,-119.28,-0.02,0.02,24.23,-194.35,23.23,128.61,936.38,-30.89,-10.64,-47.27,-29.25,12.52,-18.27,-5.49,-19.37,-13.19,126.26,15.01,-61.47,0.0,-60.0,5.47,19.22
2013-01-01 09:00:00,0.0,-238.35,-0.0,-825.33,0.0,-30.58,0.02,-5.12,-48.51,0.02,-149.54,-0.02,0.01,14.94,-194.35,21.46,146.03,819.88,-29.35,-4.01,-45.58,-15.26,12.69,-17.37,-1.46,-18.26,-5.55,631.61,67.31,-61.47,0.0,-46.81,4.38,18.57
2013-01-01 12:00:00,0.0,-225.22,-0.0,-754.9,0.0,-3.38,4.49,-5.12,-44.14,0.02,-157.28,-0.02,0.01,22.09,-194.35,21.26,161.42,797.0,-28.83,-2.85,-44.43,-11.02,12.97,-16.86,-0.52,-17.36,-3.07,507.68,52.97,-61.47,0.0,-32.39,4.67,18.62
2013-01-01 15:00:00,0.0,-71.44,0.0,-454.52,0.0,3.05,7.69,-5.12,-0.01,30.34,-177.33,-0.01,0.02,36.46,-194.35,22.12,169.13,756.65,-30.15,-5.9,-46.61,-13.42,13.13,-16.85,-0.29,-17.58,-2.34,58.47,5.17,-61.47,0.0,-29.77,6.03,18.91
2013-01-01 18:00:00,0.0,-43.99,0.0,-390.99,0.0,5.62,2.1,-5.12,-0.02,40.7,-182.1,-0.01,0.02,39.04,-194.35,26.47,168.83,724.34,-30.37,-5.85,-47.61,-16.66,13.13,-16.19,-0.02,-17.14,-1.58,0.0,0.0,-61.47,0.0,-32.24,6.5,18.97
2013-01-01 21:00:00,0.0,-69.39,-0.0,-343.07,0.0,4.61,0.37,-5.12,-0.03,16.01,-170.06,-0.01,0.01,40.26,-194.35,26.95,164.42,657.54,-21.51,0.0,-38.44,-0.56,13.18,-14.57,0.0,-15.17,-0.25,0.0,0.0,-61.37,0.0,-12.42,4.57,18.42
2013-01-02 00:00:00,-0.0,-67.8,-0.0,-318.83,0.0,2.86,3.45,-5.12,-0.03,2.25,-144.59,-0.02,0.01,41.34,-194.35,27.01,161.38,614.62,-18.68,0.0,-34.36,-0.08,13.19,-15.84,-0.0,-17.36,-1.49,0.0,0.0,-59.86,0.0,-11.32,4.51,19.1
2013-01-02 03:00:00,0.0,-34.88,0.0,-258.86,0.0,4.53,2.74,-5.12,-0.02,36.65,-134.41,-0.01,0.02,48.57,-194.35,24.03,151.86,582.24,-30.24,-4.58,-46.34,-22.18,13.16,-18.59,-4.69,-19.23,-15.24,0.0,0.0,-61.05,0.0,-41.39,8.0,19.42
