snapshot,Fischer-Tropsch,agriculture heat,low-temperature heat for industry,residential rural gas boiler,residential rural ground heat pump,residential rural heat,residential rural resistive heater,residential rural solar thermal,residential rural water tanks charger,residential rural water tanks discharger,residential urban decentral air heat pump,residential urban decentral gas boiler,residential urban decentral heat,residential urban decentral resistive heater,residential urban decentral solar thermal,residential urban decentral water tanks charger,residential urban decentral water tanks discharger,services rural gas boiler,services rural ground heat pump,services rural heat,services rural resistive heater,services rural water tanks charger,services rural water tanks discharger,services urban decentral air heat pump,services urban decentral gas boiler,services urban decentral heat,services urban decentral resistive heater,services urban decentral solar thermal,services urban decentral water tanks charger,services urban decentral water tanks discharger,urban central air heat pump,urban central gas CHP,urban central gas boiler,urban central heat,urban central resistive heater,urban central solar thermal,urban central solid biomass CHP,urban central solid biomass CHP CC,urban central water tanks charger,urban central water tanks discharger
2013-01-01 00:00:00,33.86,-21.63,-5.94,0.0,63.86,-63.85,0.0,0.0,-0.04,0.02,74.1,0.07,-75.7,1.53,0.0,-0.02,0.01,0.01,53.16,-31.74,0.21,-0.04,0.02,36.58,0.24,-39.63,2.81,0.0,-0.02,0.01,142.88,0.0,0.02,-198.93,20.98,0.0,10.85,49.25,-67.75,14.77
2013-01-01 03:00:00,35.85,-21.63,-5.94,1.02,100.87,-108.26,6.38,0.0,-0.03,0.02,101.87,4.53,-126.33,19.93,0.0,-0.01,0.01,0.44,61.82,-45.54,4.92,-0.03,0.02,44.07,1.44,-56.66,11.15,0.0,-0.01,0.0,141.94,0.0,22.04,-315.66,52.43,0.0,12.77,53.57,-21.48,24.47
2013-01-01 06:00:00,35.98,-21.63,-5.94,0.51,104.45,-114.53,9.58,0.0,-0.03,0.02,106.04,3.18,-135.55,26.32,0.0,-0.01,0.0,0.24,61.65,-45.19,4.94,-0.02,0.01,43.9,0.9,-56.67,11.87,0.0,-0.01,0.0,141.29,0.0,31.11,-331.58,59.4,0.02,13.03,54.11,-16.9,19.49
2013-01-01 09:00:00,35.84,-21.63,-5.94,0.45,99.34,-103.39,3.61,0.0,-0.04,0.02,106.07,2.57,-122.38,13.74,0.0,-0.02,0.01,0.2,58.65,-38.52,1.31,-0.04,0.02,42.62,0.74,-48.35,4.99,0.0,-0.02,0.01,145.76,0.0,16.47,-294.51,46.34,2.37,10.42,52.29,-21.67,12.63
2013-01-01 12:00:00,35.63,-21.63,-5.94,0.47,97.58,-100.6,2.56,0.0,-0.04,0.02,106.27,2.65,-118.83,9.92,0.0,-0.02,0.01,0.18,56.91,-35.92,0.47,-0.04,0.02,41.54,0.73,-45.03,2.76,0.0,-0.02,0.01,149.15,0.0,12.5,-282.65,32.07,3.94,11.1,52.42,-20.84,12.62
2013-01-01 15:00:00,35.62,-21.63,-5.94,2.05,101.92,-109.29,5.31,0.0,-0.02,0.01,108.61,8.01,-128.69,12.07,0.0,-0.01,0.0,0.37,56.86,-35.86,0.26,-0.02,0.01,41.01,1.82,-44.94,2.11,0.0,-0.01,0.01,145.07,0.0,22.28,-299.51,29.47,0.96,14.34,53.24,-17.87,22.34
2013-01-01 18:00:00,34.57,-21.63,-5.94,2.17,102.65,-110.08,5.26,0.0,-0.02,0.01,107.63,7.79,-130.41,15.0,0.0,-0.0,0.0,0.06,54.64,-33.08,0.02,-0.03,0.01,38.75,1.47,-41.64,1.42,0.0,-0.01,0.01,140.42,0.0,21.26,-296.79,31.91,0.0,15.46,53.4,-18.53,24.23
2013-01-01 21:00:00,33.07,-21.63,-5.94,0.0,72.73,-72.72,0.0,0.0,-0.03,0.01,85.13,1.89,-87.51,0.5,0.0,-0.01,0.0,0.0,49.17,-27.54,0.0,-0.03,0.01,33.65,0.75,-34.62,0.22,0.0,-0.01,0.01,137.97,0.0,1.03,-210.68,12.3,0.0,10.89,51.86,-46.42,15.91
2013-01-02 00:00:00,33.25,-21.63,-5.94,0.0,63.07,-63.06,0.0,0.0,-0.02,0.01,75.05,1.27,-76.39,0.08,0.0,-0.01,0.0,0.13,53.4,-31.89,0.0,-0.03,0.01,38.19,1.14,-40.67,1.35,0.0,-0.01,0.0,133.21,0.0,0.3,-201.93,11.2,0.0,10.73,53.79,-51.5,16.87
2013-01-02 03:00:00,35.72,-21.63,-5.94,0.95,102.04,-107.11,4.13,0.0,-0.02,0.01,101.51,6.69,-128.17,19.96,0.0,-0.0,0.0,0.62,62.62,-45.83,4.22,-0.02,0.01,42.26,2.33,-58.31,13.71,0.0,-0.0,0.0,135.19,0.0,20.36,-321.67,40.98,0.0,19.03,54.67,-20.77,42.43
2013-01-02 06:00:00,35.8,-21.63,-5.94,0.89,106.37,-112.78,5.52,0.0,-0.02,0.01,105.39,4.81,-136.73,26.53,0.0,-0.0,0.0,0.36,62.73,-45.33,3.87,-0.02,0.01,42.88,1.51,-58.08,13.69,0.0,-0.0,0.0,136.43,0.0,24.93,-336.04,41.4,0.02,19.69,54.67,-18.17,47.21
