snapshot,Fischer-Tropsch,low-temperature heat for industry,urban central air heat pump,urban central gas CHP,urban central gas boiler,urban central heat,urban central resistive heater,urban central solar thermal,urban central solid biomass CHP,urban central solid biomass CHP CC,urban central water tanks charger,urban central water tanks discharger
2013-01-01 00:00:00,33.86,-5.94,142.88,0.0,0.02,-198.93,20.98,0.0,10.85,49.25,-67.75,14.77
2013-01-01 03:00:00,35.85,-5.94,141.94,0.0,22.04,-315.66,52.43,0.0,12.77,53.57,-21.48,24.47
2013-01-01 06:00:00,35.98,-5.94,141.29,0.0,31.11,-331.58,59.4,0.02,13.03,54.11,-16.9,19.49
2013-01-01 09:00:00,35.84,-5.94,145.76,0.0,16.47,-294.51,46.34,2.37,10.42,52.29,-21.67,12.63
2013-01-01 12:00:00,35.63,-5.94,149.15,0.0,12.5,-282.65,32.07,3.94,11.1,52.42,-20.84,12.62
2013-01-01 15:00:00,35.62,-5.94,145.07,0.0,22.28,-299.51,29.47,0.96,14.34,53.24,-17.87,22.34
2013-01-01 18:00:00,34.57,-5.94,140.42,0.0,21.26,-296.79,31.91,0.0,15.46,53.4,-18.53,24.23
2013-01-01 21:00:00,33.07,-5.94,137.97,0.0,1.03,-210.68,12.3,0.0,10.89,51.86,-46.42,15.91
2013-01-02 00:00:00,33.25,-5.94,133.21,0.0,0.3,-201.93,11.2,0.0,10.73,53.79,-51.5,16.87
2013-01-02 03:00:00,35.72,-5.94,135.19,0.0,20.36,-321.67,40.98,0.0,19.03,54.67,-20.77,42.43
2013-01-02 06:00:00,35.8,-5.94,136.43,0.0,24.93,-336.04,41.4,0.02,19.69,54.67,-18.17,47.21
2013-01-02 09:00:00,35.55,-5.94,142.34,0.0,9.33,-298.4,40.99,3.34,16.04,54.45,-20.15,22.44
2013-01-02 12:00:00,35.18,-5.94,146.42,0.0,6.65,-286.54,31.38,9.06,17.42,54.4,-24.08,16.04
2013-01-02 15:00:00,35.24,-5.94,145.42,0.0,15.02,-303.83,37.25,2.56,19.95,54.67,-21.75,21.39
2013-01-02 18:00:00,34.8,-5.94,143.35,0.0,13.61,-300.55,43.63,0.0,19.22,54.05,-22.27,20.08
2013-01-02 21:00:00,33.05,-5.94,136.56,0.0,0.22,-212.63,11.01,0.0,10.65,50.96,-43.53,19.63
2013-01-03 00:00:00,33.11,-5.94,129.42,0.0,0.02,-177.53,8.55,0.0,10.61,49.77,-71.13,23.1
2013-01-03 03:00:00,35.33,-5.94,138.8,0.0,16.28,-279.52,37.2,0.0,13.52,52.63,-40.06,31.74
