,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,lcoe,lcoe,lcoe,lcoe,lcoe,market_value,market_value,market_value,market_value,market_value,market_value,io,io,io,io,io,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,storage,storage,storage,storage,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used
,offwind-ac,onwind,residential rural solar thermal,residential urban decentral solar thermal,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal,ror,offwind-dc,CO2 sequestration,H2 liquid,H2 storage,Li ion,battery storage,biogas,co2,fossil gas,gas for industry,heat,hot water storage,low voltage,oil,process emissions,solid biomass,solid biomass for industry,transmission lines,onwind,offwind-ac,offwind-dc,solar rooftop,solar,onwind,offwind-ac,offwind-dc,solar rooftop,solar,ror,oil,hydrogen,electricity,gas,total,BEV charger,H2 Electrolysis,H2 Fuel Cell,H2 liquefaction,V2G,air heat pump,battery storage,electricity distribution grid,ground heat pump,hot water storage,hydroelectricity,methanation,offshore wind,onshore wind,power-to-liquid,resistive heater,solar PV,solar rooftop,solar thermal,H2 storage,Li ion,battery storage,hot water storage,gas,offwind-ac,offwind-dc,oil,onwind,residential rural solar thermal,residential urban decentral solar thermal,ror,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal
AL0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.01,0.01,,,,139.42,109.59,89.67,86.65,,,,,45.62,44.5,88.49,,,,,83.06,,,,48.12,43.87,110.25,109.82,,53.88,43.87,,0.34,0.0,-3.72,0.12,-3.26,12.18,0.38,0.0,0.02,12.18,0.13,0.02,0.89,0.12,0.9,0.0,0.02,0.0,0.0,0.0,0.51,8.08,2.64,0.39,1.13,27.68,0.05,0.77,,0.0,,,0.0,0.0,0.0,,0.0,0.0,15.15,100.0,0.0
AT0 0,,0.02,0.0,0.0,0.0,0.0,0.06,0.01,0.0,0.01,,,151.01,121.18,100.7,92.05,,,,,53.22,52.0,94.48,,,,,89.05,81.5,,,61.81,54.98,81.5,,,63.67,54.98,75.63,7.41,0.0,45.15,12.08,64.65,24.42,2.29,0.0,0.02,24.42,1.16,0.0,8.86,0.63,8.31,2.3,0.0,0.0,3.2,0.0,3.28,9.27,4.64,0.0,2.57,55.51,0.0,5.53,,,,,6.61,0.0,0.0,0.0,0.0,0.0,12.26,100.0,0.0
AT0 1,,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.01,0.01,,,149.87,120.04,99.56,90.68,,,,,58.04,56.87,93.07,,,,,87.64,,,,,55.99,60.09,,,69.68,57.93,75.16,0.73,0.0,-15.66,0.33,-14.6,2.94,0.13,0.0,0.0,2.94,0.04,0.0,1.13,0.15,0.74,4.27,0.0,0.0,0.0,0.0,0.44,20.17,0.56,0.62,0.29,6.69,0.0,0.82,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
AT0 2,,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.01,,,150.18,120.35,99.64,91.17,,,,,55.8,54.62,93.42,,,,,87.99,,,,61.13,54.86,80.59,,,67.15,54.86,74.68,7.1,0.0,-14.87,5.04,-2.73,14.83,1.19,0.0,0.01,14.83,0.41,0.0,6.03,0.76,2.51,8.29,0.0,0.0,0.0,0.0,1.79,43.52,2.82,0.3,2.24,33.71,0.0,1.88,,,,,0.0,0.0,0.0,0.0,0.0,0.0,63.37,100.0,0.0
BA0 0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,148.44,118.61,92.98,89.83,,,,,49.8,48.64,92.12,,,,,86.69,,,,55.35,,95.15,,,55.35,54.12,,0.27,0.0,14.31,1.23,15.82,16.3,0.39,0.0,0.0,16.3,0.13,0.0,2.13,0.26,0.75,0.0,0.0,0.0,0.0,0.0,0.82,0.0,3.46,0.01,1.2,37.03,0.01,1.09,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,90.19,0.0
BE0 0,0.03,0.08,0.0,0.0,0.0,0.0,0.01,0.0,0.0,,0.05,,142.97,113.14,92.8,83.44,,,,,47.91,46.79,86.1,,,,,80.67,38.07,53.73,52.01,65.81,58.23,54.73,59.25,61.48,65.81,58.23,,6.9,0.0,29.19,6.39,42.49,11.29,3.64,0.0,1.64,11.29,1.31,0.0,5.9,0.08,5.1,0.0,0.22,4.33,3.34,0.0,2.5,7.4,1.13,0.0,5.2,25.66,0.0,6.51,,100.0,100.0,,100.0,0.0,0.0,,0.0,0.0,24.88,45.87,0.0
BE0 1,,0.07,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,,,149.01,119.18,98.55,88.53,,,,,51.38,50.52,91.18,,,,,85.74,45.8,,,69.27,61.49,60.82,,,69.27,61.48,100.24,7.74,0.0,16.88,7.34,31.96,9.01,2.47,0.0,1.31,9.01,0.74,0.0,3.81,0.19,2.46,1.23,0.01,0.0,8.45,0.0,1.5,3.55,1.62,0.0,1.94,20.47,0.0,2.9,,,,,100.0,0.0,0.0,0.0,0.0,0.0,12.51,82.13,0.0
BE0 2,,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,,,150.05,120.21,99.21,89.2,,,,,50.54,49.73,91.82,,,,,86.39,43.71,,,66.87,59.22,62.25,,,68.73,61.0,101.55,4.45,0.0,36.69,12.21,53.35,13.45,3.88,0.0,1.95,13.45,1.4,0.0,5.36,0.05,4.0,0.0,0.01,0.0,1.3,0.0,2.35,21.39,2.94,0.0,2.94,30.56,0.0,5.05,,,,,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
BE0 3,,0.02,0.0,0.0,0.0,0.0,0.05,0.0,0.0,,,,149.69,119.86,98.81,88.91,,,,,50.23,49.13,91.53,,,,,86.1,,,,67.37,59.89,61.33,,,68.96,61.56,,10.31,0.0,22.45,7.8,40.56,6.52,1.9,0.0,0.95,6.52,0.67,0.0,3.14,0.07,2.04,0.0,0.0,0.0,0.45,0.0,1.08,11.44,1.42,0.0,1.41,14.81,0.0,2.27,,,,,100.0,0.0,0.0,,0.0,0.0,100.0,100.0,0.0
BE0 4,,0.03,0.0,0.0,0.0,0.0,0.09,0.0,0.0,,,,149.27,119.44,98.51,88.67,,,,,50.03,49.09,91.3,,,,,85.87,,,,66.84,59.69,61.65,,,68.74,61.53,,14.27,0.0,41.2,12.19,67.66,10.29,3.1,0.0,1.5,10.29,1.13,0.0,5.03,0.04,3.63,0.0,0.01,0.0,0.5,0.0,2.01,11.69,2.25,0.0,2.73,23.39,0.0,4.51,,,,,100.0,0.0,0.0,,0.0,0.0,100.0,100.0,0.0
BG0 0,0.0,0.04,0.0,0.0,0.0,0.0,0.12,0.01,0.0,0.0,0.0,,143.97,114.14,90.66,86.5,,,,,46.88,45.74,88.69,,,,,83.26,85.34,,,50.25,44.85,85.34,95.77,94.46,50.63,44.85,83.24,2.78,0.0,5.84,2.16,10.78,11.4,1.24,0.0,0.03,11.4,0.38,0.0,3.19,0.2,1.68,0.34,0.0,0.0,2.76,0.0,1.63,10.93,3.07,0.0,4.18,25.91,0.01,3.13,,0.0,0.39,,3.94,0.0,0.0,0.0,0.0,0.0,8.12,100.0,0.0
BG0 1,,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.01,,,,144.23,114.4,90.54,86.4,,,,,48.68,47.55,88.61,,,,,83.18,,,,50.6,45.19,80.29,,,51.48,45.19,,4.28,0.0,15.29,1.88,21.45,15.94,0.88,0.0,0.05,15.94,0.46,0.0,3.56,0.25,2.18,2.56,0.0,0.0,0.0,0.0,1.73,5.15,4.29,1.21,2.58,36.22,0.01,4.31,,,,,0.0,0.0,0.0,,0.0,0.0,5.19,100.0,0.0
CH0 0,,0.0,0.0,0.0,0.0,0.0,1.65,0.0,0.02,0.02,,,147.72,117.89,96.97,89.55,,,,,54.86,53.67,91.75,,,,,86.32,,,,58.43,53.67,76.29,,,65.05,54.04,69.04,11.06,0.0,-33.6,4.72,-17.81,13.53,0.59,0.0,0.01,13.53,0.53,0.0,4.07,0.29,2.58,8.92,0.0,0.0,0.0,0.0,1.5,46.84,2.75,3.26,1.54,30.74,0.01,4.68,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
CH0 1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,,,148.82,118.99,97.87,89.94,,,,,56.11,54.97,92.22,,,,,86.79,,,,61.46,,77.36,,,65.86,60.42,70.44,11.78,0.0,20.93,4.81,37.52,25.15,0.91,0.0,0.03,25.15,0.88,0.0,6.52,0.46,4.88,10.1,0.0,0.0,0.0,0.0,3.05,0.0,5.11,7.43,2.06,57.15,0.0,10.01,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
CZ0 0,,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,149.5,119.66,99.5,90.81,,,,,53.32,52.11,93.39,,,,,87.95,69.67,,,,,69.67,,,68.22,61.29,,2.43,0.0,-14.23,-0.38,-12.18,13.33,0.47,0.0,0.0,13.33,0.76,0.0,4.83,0.41,6.49,0.51,0.0,0.0,28.22,0.0,2.59,0.01,0.0,0.0,1.13,30.29,0.0,3.1,,,,,75.0,0.0,0.0,,0.0,0.0,0.01,0.12,0.0
CZ0 1,,0.44,0.0,0.0,0.0,0.0,0.04,0.01,0.0,,,,149.57,119.74,99.74,91.19,,,,,53.29,52.07,93.76,,,,,88.32,68.61,,,,60.04,73.64,,,67.46,60.04,,5.4,0.0,11.29,0.98,17.68,9.04,1.0,0.0,0.0,9.04,0.59,0.0,3.97,0.14,3.99,0.65,0.0,0.0,10.85,0.0,1.65,2.37,0.47,0.0,1.04,20.54,0.0,2.48,,,,,100.0,0.0,0.0,,0.0,0.0,7.29,21.35,0.0
CZ0 2,,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,,,151.07,121.24,100.53,91.75,,,,,53.92,52.83,94.35,,,,,88.92,,,,,60.47,72.18,,,69.03,60.47,83.25,3.63,0.0,38.4,5.87,47.9,20.47,0.69,0.0,0.0,20.47,0.92,0.0,7.83,0.95,7.2,0.76,0.0,0.0,0.0,0.0,4.23,12.95,0.0,0.0,1.65,46.53,0.0,5.38,,,,,0.0,0.0,0.0,0.0,0.0,0.0,13.85,0.1,0.0
