,label,source,target,value
0,DAC,co2 atmosphere,co2 stored,0.010373748685806775
1,process emissions,process emissions,co2 atmosphere,1.9283570394398338e-05
2,process emissions CC,process emissions,co2 atmosphere,13.81199807193096
3,process emissions CC,process emissions,co2 stored,124.30798264737865
4,OCGT,gas,co2 atmosphere,1.207880309421353
5,Sabatier,co2 stored,gas,65.82810275530754
6,SMR,gas,co2 atmosphere,7.450801167144034
7,SMR CC,gas,co2 atmosphere,2.724070844968905
8,SMR CC,gas,co2 stored,24.516637604720145
9,residential rural gas boiler,gas,co2 atmosphere,2.256510229414407
10,services rural gas boiler,gas,co2 atmosphere,0.7354056862328909
11,residential urban decentral gas boiler,gas,co2 atmosphere,10.964088986894653
12,services urban decentral gas boiler,gas,co2 atmosphere,4.372282055796529
13,urban central gas boiler,gas,co2 atmosphere,32.12819128507089
14,biogas to gas,co2 atmosphere,biogas,69.1112403119952
15,biogas to gas,biogas,gas,69.1112403119952
16,solid biomass for industry CC,co2 atmosphere,solid biomass,210.71990661828673
17,solid biomass for industry CC,solid biomass,co2 stored,210.71990661828673
18,gas for industry,gas,co2 atmosphere,0.0008288092534897187
19,gas for industry CC,gas,co2 atmosphere,5.886203804165922
20,gas for industry CC,gas,co2 stored,52.97583423749331
21,Fischer-Tropsch,co2 stored,oil,232.05478935440235
22,urban central gas CHP,gas,co2 atmosphere,17.94781953429123
23,urban central gas CHP CC,gas,co2 atmosphere,0.00025500393714821424
24,urban central gas CHP CC,gas,co2 stored,0.0022950354343339286
25,urban central solid biomass CHP CC,co2 atmosphere,solid biomass,85.34986218063551
26,urban central solid biomass CHP CC,solid biomass,co2 stored,85.34986218063551
27,oil emissions,oil,co2 atmosphere,242.31694726453512
28,agriculture machinery oil emissions,oil,co2 atmosphere,23.38899864854384
29,process emissions from feedstocks,oil,process emissions,11.489999999999998
0,fossil gas,fossil gas,gas,28.22884337195566
0,fossil oil,fossil oil,oil,45.14115635426573
0,co2 sequestration,co2 stored,co2 sequestration,199.99999996292456
0,net co2 emissions,co2 atmosphere,net co2 emissions,0.0009181255684893586
