,label,source,target,value
0,BEV charger,electricity grid,battery,873.965550900968
1,gas,fossil gas,gas,141.14421685977823
2,H2 for industry,H2,H2 for industry demand,195.75999999999996
3,hydro,hydro,electricity grid,348.19939366284325
4,offwind-ac,offwind-ac,electricity grid,153.66194616577084
5,H2 for shipping,H2 liquid,H2 for shipping demand,502.844345719181
7,Fischer-Tropsch,H2,oil,859.4621827940828
8,offwind-dc,offwind-dc,electricity grid,899.8691843239061
9,agriculture electricity,electricity grid,agriculture electricity demand,44.861105056391615
10,H2 Electrolysis,electricity grid,H2,2490.8061568587204
11,agriculture heat,heat,agriculture heat demand,189.4575769033617
13,oil,fossil oil,oil,167.18946797876197
14,agriculture machinery oil,oil,agriculture machinery oil demand,86.62592092053184
16,onwind,onwind,electricity grid,4663.633653898446
17,H2 liquefaction,H2,H2 liquid,502.8443457657602
18,electricity,electricity grid,electricity demand,1720.767554222664
19,OCGT,gas,electricity grid,2.476154634313769
20,ror,ror,electricity grid,139.2417196170324
21,SMR,gas,H2,28.31304443514731
23,SMR CC,gas,H2,93.98044415142722
24,industry electricity,electricity grid,industry electricity demand,1702.5200000000004
25,Sabatier,H2,gas,329.1405137765378
26,kerosene for aviation,oil,kerosene for aviation demand,612.245730609382
27,land transport EV,battery,land transport EV demand,779.8986794122219
28,solar,solar,electricity grid,2494.3333240398356
29,V2G,battery,electricity grid,84.66018434462399
30,land transport fuel cell,H2,land transport fuel cell demand,275.2583574396077
31,battery charger,electricity grid,battery,145.98952837671345
32,solar rooftop,solar rooftop,electricity grid,283.1780278677521
33,low-temperature heat for industry,heat,low-temperature heat for industry demand,52.03000000000002
34,battery discharger,battery,electricity grid,143.03995592236578
35,urban central solar thermal,solar thermal,heat,31.92809668144999
37,naphtha for industry,oil,naphtha for industry demand,327.77999999999804
38,biogas to gas,biogas,gas,345.5562015599761
41,gas for industry CC,gas,gas for industry,264.87917118746657
42,residential rural heat,heat,residential rural heat demand,498.6905005004783
43,residential urban decentral heat,heat,residential urban decentral heat demand,628.4028978082292
45,services rural heat,heat,services rural heat demand,188.64718556273084
47,services urban decentral heat,heat,services urban decentral heat demand,251.08738000633363
51,urban central heat,heat,urban central heat demand,1517.1207292301199
52,residential rural gas boiler,gas,heat,11.056900124130593
53,residential rural ground heat pump,ground-sourced ambient,heat,327.58123667907466
54,residential rural resistive heater,electricity grid,heat,22.197436424062236
55,residential rural water tanks charger,heat,water tank,2.324692648316336
56,residential rural water tanks discharger,water tank,heat,1.9508841053918935
57,residential urban decentral air heat pump,air-sourced ambient,heat,303.7442752818031
58,residential urban decentral gas boiler,gas,heat,53.7240360357838
59,residential urban decentral resistive heater,electricity grid,heat,50.77903866664512
60,residential urban decentral water tanks charger,heat,water tank,1.9332730502806073
61,residential urban decentral water tanks discharger,water tank,heat,1.6224202569083082
62,services rural gas boiler,gas,heat,3.6034878625411655
63,services rural ground heat pump,ground-sourced ambient,heat,258.6942184722093
64,services rural resistive heater,electricity grid,heat,10.131819717918404
65,services rural water tanks charger,heat,water tank,2.2636716326806745
66,services rural water tanks discharger,water tank,heat,1.899782798509031
67,services urban decentral air heat pump,air-sourced ambient,heat,120.36778715273707
68,services urban decentral gas boiler,gas,heat,21.424182073402992
69,services urban decentral resistive heater,electricity grid,heat,21.14962285858744
70,services urban decentral water tanks charger,heat,water tank,1.9592906140371606
71,services urban decentral water tanks discharger,water tank,heat,1.6443883134810073
73,solid biomass for industry CC,solid biomass,solid biomass for industry,702.3996887276221
74,urban central air heat pump,air-sourced ambient,heat,459.25207303422326
75,urban central gas CHP,gas,electricity grid,36.79250728722587
77,urban central gas boiler,gas,heat,167.06659468236865
78,urban central resistive heater,electricity grid,heat,101.56479986645982
79,urban central solid biomass CHP,solid biomass,electricity grid,25.833208486313946
80,urban central solid biomass CHP CC,solid biomass,electricity grid,82.1887561739453
81,urban central water tanks charger,heat,water tank,398.53330398389534
82,urban central water tanks discharger,water tank,heat,334.16749346243245
94,urban central gas CHP,gas,heat,36.79250728722586
97,urban central solid biomass CHP,solid biomass,heat,61.465220191574566
98,urban central solid biomass CHP CC,solid biomass,heat,231.3929596897229
99,Fischer-Tropsch,H2,heat,306.95077956931533
107,BEV charger,electricity grid,losses,97.10728343344086
109,Fischer-Tropsch,H2,losses,61.39015591386314
110,H2 Electrolysis,electricity grid,losses,1172.144073815868
112,OCGT,gas,losses,3.5632469127929842
113,SMR,gas,losses,8.940961400572832
114,SMR CC,gas,losses,42.22309809701805
115,Sabatier,H2,losses,82.28512844413446
116,V2G,battery,losses,9.40668714940266
117,battery charger,electricity grid,losses,3.010410086833754
118,battery discharger,battery,losses,2.949587760964574
119,gas for industry CC,gas,losses,29.431019020829638
125,residential rural resistive heater,electricity grid,losses,2.466381824895803
128,residential urban decentral gas boiler,gas,losses,1.0964088986894645
129,residential urban decentral resistive heater,electricity grid,losses,5.642115407405015
133,services rural resistive heater,electricity grid,losses,1.1257577464353778
137,services urban decentral resistive heater,electricity grid,losses,2.349958095398601
140,solid biomass for industry CC,solid biomass,losses,78.04440985862482
141,urban central gas CHP,gas,losses,16.152808077318678
143,urban central resistive heater,electricity grid,losses,1.0259070693581773
144,urban central solid biomass CHP,solid biomass,losses,1.7816005852630377
145,urban central solid biomass CHP CC,solid biomass,losses,2.528884805352159
146,urban central water tanks charger,heat,losses,75.911105520742
147,urban central water tanks discharger,water tank,losses,63.65095113570141
148,residential rural ground heat pump,electricity grid,heat,138.66636451613286
149,residential urban decentral air heat pump,electricity grid,heat,220.80151518725336
150,services rural ground heat pump,electricity grid,heat,106.46554552214562
151,services urban decentral air heat pump,electricity grid,heat,88.8322713693515
152,urban central air heat pump,electricity grid,heat,313.0152150176473
162,urban central gas boiler,fossil gas,gas,6.4256382570142145
