lv,1.0,opt,1.0,opt
h2,H2 grid,H2 grid,no H2 grid,no H2 grid
BEV charger,-97.57943945878422,-94.62912562736403,-98.9717413584566,-97.10728343344128
CO2 sequestration,-199.99999999775102,-199.99999999753732,-199.99999999637583,-199.99999999699514
DAC,-0.03349502805485287,-0.019327139777943377,-62.41345231203712,-0.023548409516781377
H2 for industry,-195.76,-195.76,-195.76,-195.76
H2 for shipping,-502.84434571918166,-502.84434571918166,-502.84434571918166,-502.84434571918166
H2 pipeline,0.0,0.0,0.0,0.0
H2 storage,-5.371196626358099e-15,-2.795034509395222e-15,9.127205657932792e-16,-4.948915943714383e-15
Li ion,-5.948663783783559e-16,-2.661977305251639e-16,1.104297098208917e-15,-9.923724064719864e-16
SMR,-0.00012855196890106823,-0.0002190232896549776,-0.06102855427963339,-1.490160233428822
SMR CC,-0.0007608333011612235,-0.0012226722806195072,-34.39488256084523,-14.982389647328903
V2G,-9.83162757324086,-7.17634512375316,-11.084699282099905,-9.406687149402604
agriculture electricity,-44.861105056391644,-44.861105056391644,-44.861105056391644,-44.861105056391644
agriculture heat,-189.45757690336183,-189.45757690336183,-189.45757690336183,-189.45757690336183
agriculture machinery oil,-86.62592092053282,-86.62592092053282,-86.62592092053282,-86.62592092053282
agriculture machinery oil emissions,23.388998648543858,23.388998648543858,23.388998648543858,23.388998648543858
battery storage,-13.852656110496977,-4.5290393598245196,-16.175072905967088,-5.966983835338662
biogas,276.44496125703233,276.44496124850855,276.44496124872194,276.4449612479809
co2,-2.1711792424321168e-07,-4.7030374407768204e-08,-1.099861226975917e-07,-7.85087496042251e-08
electricity,-1720.767554222664,-1720.767554222664,-1720.767554222664,-1720.767554222664
electricity distribution grid,0.0,0.0,0.0,0.0
fossil oil and gas,366.8499463383393,352.8823120526137,355.67660653867483,308.3336848385403
gas for industry,-264.87989670961707,-264.8798050550313,-264.87993953599926,-264.87983423814933
gas for industry CC,29.431053727200634,29.431002807986268,29.43107751963519,29.43101902082967
gas-to-power/heat,41.5797550810434,53.24706564847501,58.294471892234206,50.17814017053221
heat,-3083.9486931078927,-3083.9486931078927,-3083.9486931078927,-3083.9486931078927
hot water storage,-52.31047426999106,-24.5302535518711,-131.69991040783606,-143.25578340652794
hydroelectricity,468.78360206063894,469.8976565366038,467.2618961226352,467.72129177641114
industry electricity,-1702.52,-1702.52,-1702.52,-1702.52
kerosene for aviation,-612.2457306093856,-612.2457306093856,-612.2457306093856,-612.2457306093856
land transport EV,-779.8986794122219,-779.8986794122219,-779.8986794122219,-779.8986794122219
land transport fuel cell,-275.2583574396077,-275.2583574396077,-275.2583574396077,-275.2583574396077
low-temperature heat for industry,-52.03,-52.03,-52.03,-52.03
naphtha for industry,-327.7800000000001,-327.7800000000001,-327.7800000000001,-327.7800000000001
offshore wind,864.3905666663491,1113.0150717001873,791.3939475425243,1053.5311304896768
oil emissions,242.316947264534,242.316947264534,242.316947264534,242.316947264534
onshore wind,4682.984926716341,4595.279875148522,4556.006981187292,4663.633653898446
power-to-gas,-1336.4145680366037,-1151.5664473876527,-1610.8487436391456,-1320.2573050153076
power-to-heat,1258.6203954854457,1332.8216360710503,1366.8704562487894,1457.0294704765538
power-to-liquid,-350.52815075829636,-336.90258577249404,-339.6284501041496,-293.44494526826634
process emissions,138.11999999999998,138.11999999999998,138.11999999999998,138.11999999999998
process emissions CC,0.0,-2.980232238769531e-14,2.980232238769531e-14,1.4901161193847656e-14
solar PV,2721.6727542516983,2339.8250543236445,3255.9587455948363,2494.3333240398356
solar rooftop,322.4001931075051,263.25659517075263,328.1633609044123,283.17802786775206
solar thermal,57.254380732879405,23.114516076248265,49.6367378778603,31.981573911196676
solid biomass,1185.6350397852284,1185.6350397849785,1185.6350397840683,1185.6350397799663
solid biomass for industry,-702.4,-702.4,-702.4,-702.4
solid biomass for industry CC,-78.04441953448776,-78.04442180010486,-78.04442735745967,-78.04440985862482
transmission lines,0.0,0.0,0.0,0.0
