snapshot,AC,DC,H2 Electrolysis,H2 Fuel Cell,OCGT,PHS,battery charger,battery discharger,electricity distribution grid,hydro,offwind-ac,offwind-dc,onwind,ror,solar,urban central gas CHP,urban central solid biomass CHP,urban central solid biomass CHP CC
2013-01-01 00:00:00,-0.0,-0.0,-714.33,13.85,0.0,-4.02,-6.15,45.87,-652.25,30.07,28.4,109.47,1112.81,12.33,0.0,3.72,0.79,19.43
2013-01-01 03:00:00,-0.0,-0.0,-655.74,15.73,0.0,-0.87,-7.6,55.21,-655.53,31.12,21.82,95.94,1057.4,12.38,0.0,7.49,0.79,21.85
2013-01-01 06:00:00,-0.0,-0.0,-627.91,14.62,0.0,-4.58,-29.9,18.61,-702.12,33.67,23.11,109.93,989.89,12.52,139.26,0.0,0.79,22.1
2013-01-01 09:00:00,-0.0,-0.0,-784.04,8.49,0.0,-37.58,-159.66,0.02,-774.16,14.9,21.09,120.79,842.42,12.69,714.36,0.0,0.78,19.9
2013-01-01 12:00:00,0.0,-0.0,-702.86,14.47,0.0,-17.05,-142.2,2.92,-759.06,24.99,21.16,130.89,839.16,12.97,554.31,0.17,0.79,19.34
2013-01-01 15:00:00,0.0,0.0,-522.27,19.81,0.0,4.53,-0.18,44.36,-660.49,46.14,21.8,137.76,804.74,13.13,56.88,9.48,0.79,23.53
2013-01-01 18:00:00,0.0,-0.0,-489.69,22.25,0.0,10.62,-0.02,66.9,-632.7,49.56,26.08,139.18,761.18,13.13,0.0,9.48,0.79,23.24
2013-01-01 21:00:00,0.0,-0.0,-449.09,19.75,0.0,10.8,-0.1,51.19,-564.08,47.39,26.93,134.7,682.81,13.18,0.0,3.48,0.79,22.24
2013-01-02 00:00:00,0.0,0.0,-406.42,21.23,0.0,8.89,-0.34,38.75,-538.0,45.66,26.88,128.31,635.85,13.19,0.0,2.71,0.79,22.49
2013-01-02 03:00:00,0.0,0.0,-359.02,27.28,0.0,10.42,-0.11,60.74,-584.48,53.44,23.66,115.35,605.25,13.16,0.0,9.18,0.8,24.32
2013-01-02 06:00:00,-0.0,0.0,-353.35,27.35,0.0,10.52,-17.78,29.2,-623.47,57.93,18.64,100.26,598.29,13.1,110.45,3.95,0.8,24.12
2013-01-02 09:00:00,0.0,0.0,-607.52,22.71,0.0,-14.09,-147.95,0.51,-718.21,28.87,14.6,88.35,625.77,13.0,668.95,0.78,0.8,23.42
2013-01-02 12:00:00,0.0,-0.0,-665.08,22.37,0.0,-12.64,-113.03,2.43,-676.5,40.48,18.0,95.8,707.8,12.98,541.28,1.69,0.8,23.59
2013-01-02 15:00:00,-0.0,0.0,-552.53,26.59,0.0,7.05,-0.04,64.31,-652.24,51.76,26.41,127.81,787.94,13.0,65.71,9.36,0.8,24.08
2013-01-02 18:00:00,-0.0,-0.0,-597.56,26.45,0.0,9.8,-1.37,59.25,-655.16,53.75,31.2,139.77,887.01,12.92,0.0,9.55,0.8,23.59
2013-01-02 21:00:00,-0.0,-0.0,-642.58,18.66,0.0,9.33,-2.99,41.11,-633.88,50.42,29.12,138.88,953.87,12.83,0.0,1.95,0.8,22.49
2013-01-03 00:00:00,-0.0,-0.0,-650.11,16.98,0.0,5.98,-1.11,43.09,-637.52,49.09,26.04,135.94,974.09,12.77,0.0,2.09,0.8,21.88
2013-01-03 03:00:00,0.0,-0.0,-611.98,22.0,0.0,5.69,-4.28,64.67,-671.3,46.85,25.79,128.86,947.38,12.68,0.0,10.25,0.8,22.58
2013-01-03 06:00:00,0.0,-0.0,-585.12,19.4,0.0,1.89,-10.51,28.85,-733.11,47.95,24.21,127.44,914.82,12.63,126.23,1.99,0.8,22.52
2013-01-03 09:00:00,-0.0,-0.0,-762.92,12.87,0.0,-35.1,-164.5,0.13,-779.0,16.19,21.95,122.82,810.61,12.62,720.28,1.89,0.5,21.65
2013-01-03 12:00:00,0.0,-0.0,-660.48,8.74,0.0,-24.46,-150.01,0.03,-753.24,26.19,21.66,123.58,784.98,12.58,586.31,1.89,0.29,21.93
2013-01-03 15:00:00,0.0,-0.0,-471.74,21.97,0.42,6.11,-0.03,65.18,-677.61,44.01,18.6,118.89,757.48,12.59,68.56,12.6,0.8,22.16
2013-01-03 18:00:00,-0.0,0.0,-487.67,22.05,0.42,11.51,-0.02,83.76,-640.47,39.46,17.11,106.35,794.83,12.56,0.0,17.3,0.8,22.04
2013-01-03 21:00:00,0.0,0.0,-499.56,18.66,0.42,5.94,-0.03,51.02,-588.98,37.87,18.3,96.54,814.08,12.55,0.0,11.65,0.73,20.82
2013-01-04 00:00:00,0.0,-0.0,-516.87,18.96,0.42,5.21,-0.03,34.66,-575.75,37.84,21.09,115.46,813.25,12.55,0.0,11.82,0.73,20.65
2013-01-04 03:00:00,-0.0,0.0,-522.4,20.56,0.42,6.9,-0.03,41.92,-586.77,38.78,23.97,126.61,796.93,12.55,0.0,18.53,0.73,21.31
2013-01-04 06:00:00,-0.0,0.0,-496.35,21.78,0.42,3.76,-15.87,11.01,-663.48,33.41,22.64,125.39,777.68,12.55,128.13,17.03,0.73,21.17
2013-01-04 09:00:00,0.0,0.0,-729.5,16.72,0.42,-23.22,-143.67,1.52,-757.59,24.21,19.47,121.83,721.62,12.53,701.35,13.81,0.65,19.86
2013-01-04 12:00:00,0.0,0.0,-666.93,18.86,0.42,-21.37,-145.05,0.99,-759.52,30.22,16.99,117.71,768.48,12.56,593.44,13.32,0.24,19.65
2013-01-04 15:00:00,-0.0,0.0,-428.61,22.52,0.42,-2.51,-0.85,51.0,-671.49,47.14,17.79,113.95,724.3,12.6,74.59,16.81,0.7,21.62
2013-01-04 18:00:00,0.0,0.0,-406.31,22.68,0.42,9.54,-1.09,76.23,-634.65,49.11,19.41,104.76,707.18,12.62,0.0,17.66,0.7,21.73
2013-01-04 21:00:00,0.0,-0.0,-394.35,17.61,0.42,6.46,-1.4,62.24,-583.63,49.59,18.94,100.72,674.1,12.74,0.0,14.84,0.63,21.09
2013-01-05 00:00:00,-0.0,0.0,-368.43,19.15,0.42,5.58,-0.35,40.31,-555.1,50.81,15.26,94.88,649.21,12.84,0.0,14.95,0.63,19.84
2013-01-05 03:00:00,-0.0,-0.0,-331.85,23.74,0.42,6.08,-0.17,46.92,-573.77,75.38,10.48,76.15,608.59,12.93,0.0,21.04,0.7,23.38
2013-01-05 06:00:00,-0.0,-0.0,-281.16,19.97,0.42,3.76,-15.89,6.88,-609.26,70.47,7.62,51.37,574.3,12.96,109.09,24.9,0.7,23.87
2013-01-05 09:00:00,-0.0,0.0,-523.35,14.31,0.23,-20.94,-139.35,0.53,-708.83,60.81,6.75,42.31,561.49,13.0,649.44,20.2,0.59,22.78
2013-01-05 12:00:00,-0.0,0.0,-528.65,18.64,0.2,-22.84,-136.4,4.08,-698.92,71.02,7.56,44.01,616.5,13.02,570.13,18.47,0.4,22.76
2013-01-05 15:00:00,-0.0,0.0,-352.11,27.11,0.42,-2.9,-1.52,45.52,-599.16,86.28,6.69,42.93,606.02,13.05,75.03,27.02,0.69,24.91
2013-01-05 18:00:00,0.0,0.0,-263.24,27.61,0.42,6.72,-1.11,64.61,-588.98,85.78,10.08,59.69,533.69,13.07,0.0,25.46,0.69,25.52
2013-01-05 21:00:00,0.0,0.0,-192.81,17.68,0.42,5.58,-0.12,52.23,-532.7,83.17,11.62,70.68,427.19,13.05,0.0,17.94,0.62,25.46
2013-01-06 00:00:00,0.0,-0.0,-166.14,14.05,0.42,5.77,-1.89,53.1,-512.62,80.2,13.69,82.79,374.15,13.04,0.0,16.75,0.68,26.02
2013-01-06 03:00:00,0.0,0.0,-167.28,24.38,0.42,6.45,-1.15,46.2,-543.48,80.63,15.37,86.29,386.96,13.02,0.0,25.38,0.79,26.02
2013-01-06 06:00:00,0.0,0.0,-216.93,22.63,0.42,4.59,-14.39,11.9,-572.6,72.84,16.67,97.1,390.99,13.0,122.87,24.08,0.79,26.02
2013-01-06 09:00:00,0.0,-0.0,-487.51,12.48,0.0,-17.89,-149.11,0.04,-680.91,63.2,12.14,85.94,405.52,12.99,694.45,22.4,0.28,25.95
2013-01-06 12:00:00,0.0,-0.0,-461.93,14.67,0.0,-12.99,-124.25,1.92,-655.52,68.72,9.37,64.81,460.66,12.99,570.69,24.48,0.34,26.02
2013-01-06 15:00:00,0.0,0.0,-216.64,27.33,1.03,-1.62,-1.2,35.61,-600.63,89.7,8.14,51.96,451.47,12.98,73.04,42.02,0.8,26.02
2013-01-06 18:00:00,-0.0,0.0,-151.38,28.91,1.55,10.01,-3.0,57.45,-594.57,85.17,9.4,40.28,429.98,12.96,0.0,46.41,0.8,26.02
2013-01-06 21:00:00,-0.0,0.0,-124.65,28.76,2.39,9.52,-0.99,59.0,-551.73,87.94,7.07,35.6,366.35,12.94,0.0,41.03,0.75,26.02
2013-01-07 00:00:00,-0.0,0.0,-130.82,30.04,2.39,9.0,-0.91,43.48,-519.09,88.53,6.08,38.94,342.69,12.93,0.0,49.94,0.8,26.02
2013-01-07 03:00:00,0.0,0.0,-136.68,32.6,2.39,12.45,-0.17,66.59,-545.91,87.54,6.45,41.73,318.87,12.92,0.0,74.4,0.8,26.02
2013-01-07 06:00:00,0.0,0.0,-169.8,32.6,2.42,10.44,-3.72,24.48,-600.02,89.54,8.58,43.71,317.96,12.92,127.06,77.01,0.8,26.02
2013-01-07 09:00:00,0.0,-0.0,-390.32,26.49,2.65,-14.49,-144.12,0.94,-706.0,79.98,12.12,50.39,300.63,12.91,687.32,55.31,0.31,25.87
2013-01-07 12:00:00,-0.0,0.0,-358.8,26.7,5.17,-8.14,-133.95,2.51,-692.89,92.17,14.44,60.55,313.26,12.9,580.75,59.32,0.23,25.78
2013-01-07 15:00:00,-0.0,0.0,-182.27,32.6,2.51,13.55,-0.88,58.28,-609.09,97.99,16.0,71.13,311.31,12.89,70.67,78.47,0.8,26.02
