snapshot,Fischer-Tropsch,H2,H2 Electrolysis,H2 Fuel Cell,H2 for industry,H2 liquefaction,H2 pipeline,H2 pipeline retrofitted,Sabatier,land transport fuel cell
2013-01-01 00:00:00,-176.57,-162.23,485.74,-27.71,-22.35,-57.4,-0.0,-0.0,-34.38,-5.11
2013-01-01 03:00:00,-176.57,-99.68,445.9,-31.46,-22.35,-57.4,-0.0,-0.0,-34.37,-24.08
2013-01-01 06:00:00,-176.57,-54.75,426.98,-29.24,-22.35,-57.4,-0.0,-0.0,-34.35,-52.32
2013-01-01 09:00:00,-176.57,-180.6,533.14,-16.97,-22.35,-57.4,0.0,0.0,-36.29,-42.96
2013-01-01 12:00:00,-176.57,-108.86,477.94,-28.94,-22.35,-57.4,-0.0,0.0,-34.36,-49.47
2013-01-01 15:00:00,-176.57,31.35,355.15,-39.63,-22.35,-57.4,-0.0,0.0,-34.33,-56.22
2013-01-01 18:00:00,-176.57,29.29,332.99,-44.51,-22.35,-57.4,-0.0,0.0,-34.35,-27.1
2013-01-01 21:00:00,-176.57,35.51,305.38,-39.5,-22.35,-57.4,-0.0,-0.0,-34.35,-10.72
2013-01-02 00:00:00,-176.57,61.9,276.36,-42.47,-22.35,-57.4,0.0,-0.0,-34.35,-5.12
2013-01-02 03:00:00,-176.57,124.78,244.13,-54.57,-22.35,-57.4,-0.0,-0.0,-34.22,-23.8
2013-01-02 06:00:00,-176.57,157.47,240.28,-54.69,-22.35,-57.4,-0.0,-0.0,-34.2,-52.54
2013-01-02 09:00:00,-176.57,-32.56,413.11,-45.42,-22.35,-57.4,-0.0,0.0,-34.35,-44.46
2013-01-02 12:00:00,-176.57,-65.16,452.25,-44.75,-22.35,-57.4,-0.0,-0.0,-34.34,-51.69
2013-01-02 15:00:00,-176.57,25.73,375.72,-53.17,-22.35,-57.4,0.0,0.0,-34.19,-57.77
2013-01-02 18:00:00,-176.57,-34.09,406.34,-52.9,-22.35,-57.4,0.0,-0.0,-34.26,-28.76
2013-01-02 21:00:00,-176.57,-97.43,436.95,-37.32,-22.35,-57.4,-0.0,0.0,-34.34,-11.55
2013-01-03 00:00:00,-176.57,-112.19,442.08,-33.96,-22.35,-57.4,0.0,-0.0,-34.34,-5.26
2013-01-03 03:00:00,-176.57,-58.56,416.14,-44.01,-22.35,-57.4,-0.0,0.0,-34.22,-23.03
2013-01-03 06:00:00,-176.57,-17.48,397.88,-38.79,-22.35,-57.4,0.0,0.0,-34.19,-51.09
2013-01-03 09:00:00,-176.57,-155.82,518.78,-25.75,-22.35,-57.4,0.0,0.0,-36.06,-44.84
2013-01-03 12:00:00,-176.57,-89.41,449.12,-17.49,-22.35,-57.4,0.0,-0.0,-33.94,-51.97
2013-01-03 15:00:00,-160.52,48.96,320.79,-43.95,-22.35,-57.4,-0.0,0.0,-27.88,-57.65
2013-01-03 18:00:00,-162.17,14.89,331.62,-44.1,-22.35,-57.4,-0.0,-0.0,-30.26,-30.24
2013-01-03 21:00:00,-160.22,-20.16,339.7,-37.33,-22.35,-57.4,-0.0,-0.0,-30.03,-12.21
2013-01-04 00:00:00,-164.09,-35.05,351.47,-37.92,-22.35,-57.4,-0.0,0.0,-29.17,-5.48
2013-01-04 03:00:00,-165.8,-18.5,355.23,-41.12,-22.35,-57.4,-0.0,-0.0,-28.32,-21.73
2013-01-04 06:00:00,-166.76,27.21,337.51,-43.55,-22.35,-57.4,0.0,-0.0,-27.09,-47.57
2013-01-04 09:00:00,-165.71,-143.42,496.06,-33.44,-22.35,-57.4,-0.0,-0.0,-23.65,-50.08
2013-01-04 12:00:00,-150.22,-106.84,453.51,-37.72,-22.35,-57.4,-0.0,-0.0,-17.33,-61.66
2013-01-04 15:00:00,-120.21,22.15,291.45,-45.04,-22.35,-57.4,-0.0,0.0,-10.51,-58.09
2013-01-04 18:00:00,-126.16,17.4,276.29,-45.36,-22.35,-57.4,-0.0,-0.0,-9.42,-32.99
2013-01-04 21:00:00,-113.1,-15.82,268.16,-35.23,-22.35,-57.4,0.0,-0.0,-8.8,-15.46
2013-01-05 00:00:00,-111.1,-6.14,250.53,-38.29,-22.35,-57.4,0.0,0.0,-8.16,-7.09
2013-01-05 03:00:00,-115.89,36.04,225.66,-47.47,-22.35,-57.4,-0.0,-0.0,-7.31,-11.27
2013-01-05 06:00:00,-104.58,70.72,191.19,-39.94,-22.35,-57.4,0.0,0.0,-6.95,-30.69
2013-01-05 09:00:00,-94.61,-97.09,355.87,-28.62,-22.35,-57.4,0.0,0.0,-6.91,-48.89
2013-01-05 12:00:00,-82.77,-104.79,359.48,-37.28,-22.35,-57.4,-0.0,-0.0,-6.75,-48.14
2013-01-05 15:00:00,-59.11,0.21,239.43,-54.22,-22.35,-57.4,-0.0,0.0,-5.49,-41.08
2013-01-05 18:00:00,-60.51,41.06,179.0,-55.21,-22.35,-57.4,-0.0,0.0,0.0,-24.59
2013-01-05 21:00:00,-33.86,31.08,131.11,-35.37,-22.35,-57.4,-0.0,0.0,0.0,-13.21
2013-01-06 00:00:00,-28.9,29.47,112.98,-28.1,-22.35,-57.4,-0.0,-0.0,0.0,-5.7
2013-01-06 03:00:00,-62.13,82.47,113.75,-48.75,-22.35,-57.4,0.0,-0.0,0.0,-5.58
2013-01-06 06:00:00,-96.82,90.75,147.51,-45.26,-22.35,-57.4,-0.0,0.0,0.0,-16.43
2013-01-06 09:00:00,-83.34,-102.8,331.51,-24.96,-22.35,-57.4,-0.0,0.0,-0.64,-40.02
2013-01-06 12:00:00,-67.69,-89.86,314.11,-29.33,-22.35,-57.4,-0.0,-0.0,-0.03,-47.44
2013-01-06 15:00:00,-61.43,95.88,147.31,-54.65,-22.35,-57.4,-0.0,-0.0,0.0,-47.36
2013-01-06 18:00:00,-77.87,142.98,102.94,-57.82,-22.35,-57.4,-0.0,0.0,0.0,-30.48
2013-01-06 21:00:00,-41.96,105.98,84.76,-57.52,-22.35,-57.4,-0.0,0.0,0.0,-11.51
2013-01-07 00:00:00,-26.52,83.1,88.96,-60.07,-22.35,-57.4,-0.0,-0.0,0.0,-5.71
2013-01-07 03:00:00,-60.1,139.07,92.94,-65.19,-22.35,-57.4,-0.0,-0.0,0.0,-26.96
2013-01-07 06:00:00,-77.34,159.64,115.46,-65.19,-22.35,-57.4,-0.0,0.0,0.0,-52.81
2013-01-07 09:00:00,-48.08,-39.84,265.41,-52.98,-22.35,-57.4,-0.0,0.0,0.0,-44.77
2013-01-07 12:00:00,-40.23,-21.57,243.99,-53.41,-22.35,-57.4,-0.0,0.0,0.0,-49.03
2013-01-07 15:00:00,-46.99,121.92,123.94,-65.19,-22.35,-57.4,-0.0,0.0,0.0,-53.93
2013-01-07 18:00:00,-51.05,88.01,133.86,-65.19,-22.35,-57.4,-0.0,-0.0,0.0,-25.88
2013-01-07 21:00:00,-26.0,24.91,156.15,-65.19,-22.35,-57.4,-0.0,0.0,0.0,-10.12
2013-01-08 00:00:00,-26.39,-0.36,176.84,-65.19,-22.35,-57.4,-0.0,-0.0,0.0,-5.14
2013-01-08 03:00:00,-65.11,73.31,161.06,-65.19,-22.35,-57.4,-0.0,0.0,0.0,-24.31
2013-01-08 06:00:00,-66.73,105.65,158.59,-65.19,-22.35,-57.4,-0.0,-0.0,0.0,-52.56
2013-01-08 09:00:00,-61.18,-12.45,261.45,-64.81,-22.35,-57.4,-0.0,0.0,0.0,-43.26
2013-01-08 12:00:00,-51.31,21.38,224.77,-65.19,-22.35,-57.4,-0.0,-0.0,0.0,-49.89
2013-01-08 15:00:00,-54.29,185.28,70.29,-65.19,-22.35,-57.4,-0.0,-0.0,0.0,-56.34
2013-01-08 18:00:00,-58.51,177.62,52.89,-65.19,-22.35,-57.4,-0.0,-0.0,0.0,-27.06
2013-01-08 21:00:00,-23.42,128.93,50.14,-65.19,-22.35,-57.4,-0.0,0.0,0.0,-10.7
2013-01-09 00:00:00,-24.33,129.39,45.02,-65.19,-22.35,-57.4,0.0,-0.0,0.0,-5.12
2013-01-09 03:00:00,-90.94,214.34,45.44,-65.2,-22.35,-57.4,-0.0,0.0,0.0,-23.89
