snapshot,DAC,OCGT,SMR,agriculture machinery oil emissions,biogas to gas,co2,gas for industry CC,oil emissions,process emissions CC,residential rural gas boiler,residential urban decentral gas boiler,services rural gas boiler,services urban decentral gas boiler,solid biomass for industry CC,urban central gas CHP,urban central gas CHP CC,urban central gas boiler,urban central solid biomass CHP CC
2013-01-01 00:00:00,-0.0,0.0,0.0,2.67,-7.89,16.19,0.67,27.66,1.58,0.0,0.56,0.04,0.67,-24.05,1.82,0.0,0.26,-20.17
2013-01-01 03:00:00,-0.0,0.0,0.0,2.67,-7.89,7.73,0.67,27.66,1.58,0.92,3.53,0.34,1.17,-24.05,3.65,0.0,4.71,-22.69
2013-01-01 06:00:00,-0.0,0.0,0.0,2.67,-7.89,10.22,0.67,27.66,1.58,1.05,3.62,0.33,1.16,-24.05,0.0,0.0,5.95,-22.95
2013-01-01 09:00:00,-0.0,0.0,0.0,2.67,-7.89,12.52,0.67,27.66,1.58,0.55,2.64,0.17,0.83,-24.05,0.0,0.0,3.33,-20.67
2013-01-01 12:00:00,-0.0,0.0,0.0,2.67,-7.89,12.93,0.67,27.66,1.58,0.48,2.3,0.1,0.65,-24.05,0.08,0.0,2.91,-20.08
2013-01-01 15:00:00,-0.0,0.0,0.0,2.67,-7.89,10.05,0.67,27.66,1.58,0.97,3.41,0.1,0.79,-24.05,4.62,0.0,3.86,-24.44
2013-01-01 18:00:00,-0.0,0.0,0.0,2.67,-7.89,10.08,0.67,27.66,1.58,0.88,3.47,0.01,0.64,-24.05,4.62,0.0,3.81,-24.14
2013-01-01 21:00:00,-0.0,0.0,0.0,2.67,-7.89,19.42,0.67,27.66,1.58,0.0,0.8,0.0,0.31,-24.05,1.7,0.0,0.24,-23.1
2013-01-02 00:00:00,-0.0,0.0,0.0,2.67,-7.89,20.25,0.67,27.66,1.58,0.0,0.43,0.03,0.53,-24.05,1.32,0.0,0.16,-23.35
2013-01-02 03:00:00,-0.0,0.0,0.0,2.67,-7.89,9.8,0.67,27.66,1.58,0.68,3.99,0.39,1.85,-24.05,4.48,0.0,3.44,-25.26
2013-01-02 06:00:00,-0.0,0.0,0.0,2.67,-7.89,9.82,0.67,27.66,1.58,0.82,4.34,0.37,1.78,-24.05,1.93,0.0,5.35,-25.04
2013-01-02 09:00:00,-0.0,0.0,0.0,2.67,-7.89,15.91,0.67,27.66,1.58,0.34,2.73,0.13,0.98,-24.05,0.38,0.0,3.23,-24.32
2013-01-02 12:00:00,-0.0,0.0,0.0,2.67,-7.89,17.0,0.67,27.66,1.58,0.3,2.35,0.07,0.7,-24.05,0.83,0.0,2.62,-24.5
2013-01-02 15:00:00,-0.0,0.0,0.0,2.67,-7.89,11.23,0.67,27.66,1.58,0.66,3.58,0.07,0.8,-24.05,4.57,0.0,3.47,-25.0
2013-01-02 18:00:00,-0.0,0.0,0.0,2.67,-7.89,10.91,0.67,27.66,1.58,0.55,3.78,0.01,0.61,-24.05,4.66,0.0,3.35,-24.5
2013-01-02 21:00:00,-0.0,0.0,0.0,2.67,-7.89,20.7,0.67,27.66,1.58,0.0,0.66,0.0,0.27,-24.05,0.95,0.0,0.14,-23.36
2013-01-03 00:00:00,-0.0,0.0,0.0,2.67,-7.89,20.11,0.67,27.66,1.58,0.0,0.32,0.0,0.52,-24.05,1.02,0.0,0.11,-22.72
2013-01-03 03:00:00,-0.0,0.0,0.0,2.67,-7.89,9.24,0.67,27.66,1.58,0.48,3.48,0.35,1.57,-24.05,5.0,0.0,2.7,-23.45
2013-01-03 06:00:00,-0.0,0.0,0.0,2.67,-7.89,11.3,0.67,27.66,1.58,0.47,3.63,0.29,1.46,-24.05,0.97,0.0,4.63,-23.38
2013-01-03 09:00:00,-0.0,0.0,0.0,2.67,-7.89,16.87,0.67,27.66,1.58,0.09,1.76,0.03,0.6,-24.05,0.92,0.0,1.57,-22.49
2013-01-03 12:00:00,-0.0,0.0,0.0,2.67,-7.89,18.18,0.67,27.66,1.58,0.09,1.42,0.01,0.4,-24.05,0.92,0.0,1.13,-22.77
2013-01-03 15:00:00,-0.0,0.2,0.0,2.67,-7.89,10.01,0.67,27.66,1.58,0.34,2.33,0.01,0.47,-24.05,6.15,0.0,2.88,-23.01
2013-01-03 18:00:00,-0.0,0.2,0.0,2.67,-7.89,7.48,0.67,27.66,1.58,0.2,2.45,0.0,0.33,-24.05,8.44,0.0,3.15,-22.89
2013-01-03 21:00:00,-0.0,0.2,0.0,2.67,-7.89,14.06,0.67,27.66,1.58,0.0,0.21,0.0,0.11,-24.05,5.68,0.0,0.72,-21.62
2013-01-04 00:00:00,-0.0,0.2,0.0,2.67,-7.89,13.13,0.67,27.66,1.58,0.0,0.07,0.0,0.19,-24.05,5.77,0.0,1.44,-21.44
2013-01-04 03:00:00,-0.0,0.2,0.0,2.67,-7.89,4.68,0.67,27.66,1.58,0.07,1.84,0.09,0.83,-24.05,9.04,0.0,4.73,-22.13
2013-01-04 06:00:00,-0.0,0.2,0.0,2.67,-7.89,5.78,0.67,27.66,1.58,0.01,1.65,0.03,0.63,-24.05,8.31,0.0,4.74,-21.99
2013-01-04 09:00:00,-0.0,0.2,0.0,2.67,-7.89,11.53,0.67,27.66,1.58,0.0,0.69,0.0,0.22,-24.05,6.73,0.0,0.61,-20.63
2013-01-04 12:00:00,-0.0,0.2,0.0,2.67,-7.89,12.16,0.67,27.66,1.58,0.0,0.46,0.0,0.1,-24.05,6.5,0.0,0.35,-20.4
2013-01-04 15:00:00,-0.0,0.2,0.0,2.67,-7.89,10.59,0.67,27.66,1.58,0.0,1.02,0.0,0.14,-24.05,8.2,0.0,1.67,-22.46
2013-01-04 18:00:00,-0.0,0.2,0.0,2.67,-7.89,9.46,0.67,27.66,1.58,0.0,1.17,0.0,0.11,-24.05,8.62,0.0,2.38,-22.57
2013-01-04 21:00:00,-0.0,0.2,0.0,2.67,-7.89,12.79,0.67,27.66,1.58,0.0,0.07,0.0,0.06,-24.05,7.24,0.0,0.9,-21.9
2013-01-05 00:00:00,-0.0,0.2,0.0,2.67,-7.89,10.93,0.67,27.66,1.58,0.0,0.12,0.0,0.19,-24.05,7.3,0.0,1.24,-20.61
