snapshot,Fischer-Tropsch,agriculture machinery oil,kerosene for aviation,naphtha for industry,oil
2013-01-01 00:00:00,123.6,-9.89,-69.89,-37.42,-6.4
2013-01-01 03:00:00,123.6,-9.89,-69.89,-37.42,-6.4
2013-01-01 06:00:00,123.6,-9.89,-69.89,-37.42,-6.4
2013-01-01 09:00:00,123.6,-9.89,-69.89,-37.42,-6.4
2013-01-01 12:00:00,123.6,-9.89,-69.89,-37.42,-6.4
2013-01-01 15:00:00,123.6,-9.89,-69.89,-37.42,-6.4
2013-01-01 18:00:00,123.6,-9.89,-69.89,-37.42,-6.4
2013-01-01 21:00:00,123.6,-9.89,-69.89,-37.42,-6.4
2013-01-02 00:00:00,123.6,-9.89,-69.89,-37.42,-6.4
2013-01-02 03:00:00,123.6,-9.89,-69.89,-37.42,-6.4
2013-01-02 06:00:00,123.6,-9.89,-69.89,-37.42,-6.4
2013-01-02 09:00:00,123.6,-9.89,-69.89,-37.42,-6.4
2013-01-02 12:00:00,123.6,-9.89,-69.89,-37.42,-6.4
2013-01-02 15:00:00,123.6,-9.89,-69.89,-37.42,-6.4
2013-01-02 18:00:00,123.6,-9.89,-69.89,-37.42,-6.4
2013-01-02 21:00:00,123.6,-9.89,-69.89,-37.42,-6.4
2013-01-03 00:00:00,123.6,-9.89,-69.89,-37.42,-6.4
2013-01-03 03:00:00,123.6,-9.89,-69.89,-37.42,-6.4
2013-01-03 06:00:00,123.6,-9.89,-69.89,-37.42,-6.4
2013-01-03 09:00:00,123.6,-9.89,-69.89,-37.42,-6.4
2013-01-03 12:00:00,123.6,-9.89,-69.89,-37.42,-6.4
2013-01-03 15:00:00,112.36,-9.89,-69.89,-37.42,4.84
2013-01-03 18:00:00,113.52,-9.89,-69.89,-37.42,3.68
2013-01-03 21:00:00,112.15,-9.89,-69.89,-37.42,5.04
2013-01-04 00:00:00,114.87,-9.89,-69.89,-37.42,2.33
2013-01-04 03:00:00,116.06,-9.89,-69.89,-37.42,1.14
2013-01-04 06:00:00,116.73,-9.89,-69.89,-37.42,0.47
2013-01-04 09:00:00,116.0,-9.89,-69.89,-37.42,1.2
