snapshot,AC,BEV charger,DC,H2 Electrolysis,H2 Fuel Cell,OCGT,PHS,V2G,agriculture electricity,battery charger,battery discharger,electricity,home battery charger,home battery discharger,hydro,industry electricity,offwind-ac,offwind-dc,onwind,residential rural ground heat pump,residential rural resistive heater,residential urban decentral air heat pump,residential urban decentral resistive heater,ror,services rural ground heat pump,services rural resistive heater,services urban decentral air heat pump,services urban decentral resistive heater,solar,solar rooftop,urban central air heat pump,urban central gas CHP,urban central resistive heater,urban central solid biomass CHP,urban central solid biomass CHP CC
2013-01-01 00:00:00,-0.0,-147.28,-0.0,-714.33,13.85,0.0,-4.02,1.03,-5.12,-6.15,45.87,-152.86,-0.01,0.01,30.07,-194.35,28.4,109.47,1112.81,-18.85,0.0,-32.55,-0.19,12.33,-15.73,0.0,-15.57,-0.99,0.0,0.0,-43.12,3.72,-26.64,0.79,19.43
2013-01-01 03:00:00,-0.0,-102.42,-0.0,-655.74,15.73,0.0,-0.87,1.21,-5.12,-7.6,55.21,-118.17,-0.01,0.01,31.12,-194.35,21.82,95.94,1057.4,-29.93,-2.69,-43.22,-12.84,12.38,-18.39,-3.81,-18.22,-10.31,0.0,0.0,-43.91,7.49,-53.35,0.79,21.85
2013-01-01 06:00:00,-0.0,-147.79,-0.0,-627.91,14.62,0.0,-4.58,0.43,-5.12,-29.9,18.61,-119.28,-0.01,0.01,33.67,-194.35,23.11,109.93,989.89,-31.12,-4.56,-44.7,-19.01,12.52,-18.37,-3.53,-18.25,-10.52,139.26,17.42,-44.22,0.0,-59.13,0.79,22.1
2013-01-01 09:00:00,-0.0,-277.21,-0.0,-784.04,8.49,0.0,-37.58,0.0,-5.12,-159.66,0.02,-149.54,-0.02,0.01,14.9,-194.35,21.09,120.79,842.42,-29.46,-1.06,-43.7,-8.2,12.69,-17.41,-0.58,-17.59,-3.44,714.36,76.45,-44.29,0.0,-58.67,0.78,19.9
2013-01-01 12:00:00,0.0,-251.19,-0.0,-702.86,14.47,0.0,-17.05,0.0,-5.12,-142.2,2.92,-157.28,-0.02,0.01,24.99,-194.35,21.16,130.89,839.16,-28.92,-0.4,-42.76,-5.47,12.97,-16.87,-0.1,-16.79,-1.69,554.31,57.64,-44.19,0.17,-51.55,0.79,19.34
2013-01-01 15:00:00,0.0,-91.85,0.0,-522.27,19.81,0.0,4.53,3.99,-5.12,-0.18,44.36,-177.33,-0.01,0.01,46.14,-194.35,21.8,137.76,804.74,-30.32,-2.15,-44.33,-9.21,13.13,-16.86,-0.08,-16.98,-1.44,56.88,5.19,-43.65,9.48,-36.02,0.79,23.53
2013-01-01 18:00:00,0.0,-53.64,-0.0,-489.69,22.25,0.0,10.62,1.13,-5.12,-0.02,66.9,-182.1,-0.01,0.01,49.56,-194.35,26.08,139.18,761.18,-30.54,-2.76,-44.92,-12.77,13.13,-16.19,-0.01,-16.59,-0.92,0.0,0.0,-42.82,9.48,-31.09,0.79,23.24
2013-01-01 21:00:00,0.0,-49.61,-0.0,-449.09,19.75,0.0,10.8,1.04,-5.12,-0.1,51.19,-170.06,-0.01,0.01,47.39,-194.35,26.93,134.7,682.81,-21.51,0.0,-37.37,-0.66,13.18,-14.57,0.0,-14.74,-0.31,0.0,0.0,-41.35,3.48,-15.46,0.79,22.24
2013-01-02 00:00:00,0.0,-51.03,0.0,-406.42,21.23,0.0,8.89,0.91,-5.12,-0.34,38.75,-144.59,-0.01,0.01,45.66,-194.35,26.88,128.31,635.85,-18.68,0.0,-33.81,-0.3,13.19,-15.83,-0.02,-16.6,-1.56,0.0,0.0,-38.62,2.71,-18.38,0.79,22.49
2013-01-02 03:00:00,0.0,-26.71,0.0,-359.02,27.28,0.0,10.42,1.88,-5.12,-0.11,60.74,-134.41,-0.01,0.01,53.44,-194.35,23.66,115.35,605.25,-30.3,-1.67,-43.2,-15.19,13.16,-18.67,-2.89,-17.99,-10.65,0.0,0.0,-43.06,9.18,-42.14,0.8,24.32
