snapshot,Fischer-Tropsch,H2 Fuel Cell,low-temperature heat for industry,urban central air heat pump,urban central gas CHP,urban central gas boiler,urban central heat,urban central resistive heater,urban central solar thermal,urban central solid biomass CHP,urban central solid biomass CHP CC,urban central water tanks charger,urban central water tanks discharger
2013-01-01 00:00:00,44.14,12.47,-5.94,102.76,3.72,1.37,-198.93,26.38,0.0,1.87,54.69,-42.74,0.2
2013-01-01 03:00:00,44.14,14.16,-5.94,103.2,7.49,24.51,-315.66,52.82,0.0,1.88,61.52,-3.86,15.75
2013-01-01 06:00:00,44.14,13.16,-5.94,103.11,0.0,30.91,-331.58,58.54,0.04,1.88,62.22,-1.53,25.05
2013-01-01 09:00:00,44.14,7.64,-5.94,106.16,0.0,17.32,-294.51,58.08,7.3,1.85,56.03,-5.81,7.72
2013-01-01 12:00:00,44.14,13.02,-5.94,108.5,0.17,15.12,-282.65,51.04,11.04,1.87,54.45,-11.92,1.16
2013-01-01 15:00:00,44.14,17.83,-5.94,104.54,9.48,20.05,-299.51,35.66,2.42,1.89,66.26,-4.93,8.12
2013-01-01 18:00:00,44.14,20.03,-5.94,99.32,9.48,19.79,-296.79,30.78,0.0,1.89,65.44,-0.81,12.66
2013-01-01 21:00:00,44.14,17.77,-5.94,94.42,3.48,1.23,-210.68,15.3,0.0,1.88,62.62,-24.74,0.51
2013-01-02 00:00:00,44.14,19.11,-5.94,87.41,2.71,0.82,-201.93,18.19,0.0,1.88,63.31,-29.76,0.05
2013-01-02 03:00:00,44.14,24.55,-5.94,96.64,9.18,17.88,-321.67,41.72,0.0,1.9,68.48,-0.29,23.38
2013-01-02 06:00:00,44.14,24.61,-5.94,98.18,3.95,27.82,-336.04,40.4,0.02,1.9,67.9,-0.01,33.05
2013-01-02 09:00:00,44.14,20.44,-5.94,103.01,0.78,16.81,-298.4,37.56,7.63,1.9,65.95,-2.62,8.74
2013-01-02 12:00:00,44.14,20.13,-5.94,105.93,1.69,13.62,-286.54,34.42,16.63,1.9,66.42,-15.52,3.09
2013-01-02 15:00:00,44.14,23.93,-5.94,106.29,9.36,18.03,-303.83,31.12,5.06,1.9,67.79,-5.01,7.15
2013-01-02 18:00:00,44.14,23.81,-5.94,103.79,9.55,17.39,-300.55,35.06,0.0,1.9,66.41,-2.11,6.52
2013-01-02 21:00:00,44.14,16.79,-5.94,96.81,1.95,0.75,-212.63,17.87,0.0,1.9,63.33,-25.11,0.12
2013-01-03 00:00:00,44.14,15.28,-5.94,93.2,2.09,0.58,-177.53,13.12,0.0,1.9,61.59,-49.24,0.8
2013-01-03 03:00:00,44.14,19.8,-5.94,99.96,10.25,14.04,-279.52,32.05,0.0,1.9,63.57,-13.34,13.08
2013-01-03 06:00:00,44.14,17.46,-5.94,100.64,1.99,24.07,-289.89,34.67,0.0,1.9,63.4,-7.86,15.43
2013-01-03 09:00:00,44.14,11.59,-5.94,104.36,1.89,8.18,-258.34,36.18,13.98,1.19,60.96,-19.81,1.6
2013-01-03 12:00:00,44.14,7.87,-5.94,101.53,1.89,5.87,-248.65,34.53,26.52,0.69,61.73,-31.93,1.73
2013-01-03 15:00:00,40.13,19.78,-5.94,79.53,12.6,14.96,-263.48,29.68,7.51,1.9,62.38,-8.79,9.71
2013-01-03 18:00:00,40.54,19.84,-5.94,76.53,17.3,16.39,-260.03,27.14,0.0,1.9,62.05,-6.02,10.29
2013-01-03 21:00:00,40.06,16.8,-5.94,63.77,11.65,3.73,-185.4,17.83,0.0,1.73,58.6,-25.84,2.99
2013-01-04 00:00:00,41.02,17.06,-5.94,59.47,11.82,7.48,-165.59,16.59,0.0,1.73,58.13,-43.31,1.52
2013-01-04 03:00:00,41.45,18.5,-5.94,70.13,18.53,24.61,-257.75,23.68,0.0,1.73,59.99,-6.3,11.35
2013-01-04 06:00:00,41.69,19.6,-5.94,72.5,17.03,24.62,-268.38,29.48,0.04,1.73,59.62,-4.52,12.51
2013-01-04 09:00:00,41.43,15.05,-5.94,82.24,13.81,3.18,-239.54,29.6,13.03,1.54,55.92,-11.63,1.3
2013-01-04 12:00:00,37.55,16.97,-5.94,85.99,13.32,1.8,-230.55,27.85,25.5,0.57,55.31,-28.69,0.32
2013-01-04 15:00:00,30.05,20.27,-5.94,85.43,16.81,8.66,-243.9,24.67,7.73,1.68,60.88,-9.83,3.5
2013-01-04 18:00:00,31.54,20.41,-5.94,82.14,17.66,12.36,-241.01,22.42,0.0,1.68,61.19,-8.56,6.12
2013-01-04 21:00:00,28.27,15.85,-5.94,69.63,14.84,4.7,-174.09,12.63,0.0,1.5,59.38,-27.96,1.16
