,bus0,bus1,length,s_nom,s_nom_max,carrier,s_nom_opt
1,AL0 0,GR0 1,316,1.698,11.698,AC,1.698
2,AL0 0,ME0 0,187,2.267,12.267,AC,2.267
3,AL0 0,MK0 0,176,0.0,10.0,AC,0.0
4,AL0 0,RS0 0,272,2.267,12.267,AC,2.267
5,AT0 0,AT0 2,214,11.346,21.346,AC,11.346
6,AT0 0,CZ0 0,274,4.535,14.535,AC,4.535
7,AT0 0,HU0 0,254,4.535,14.535,AC,4.535
8,AT0 1,AT0 2,310,1.138,11.138,AC,1.138
9,AT0 1,CH0 1,151,6.792,16.792,AC,6.792
10,AT0 1,DE0 16,123,10.189,20.189,AC,10.189
11,AT0 1,DE0 9,193,3.396,13.396,AC,3.396
12,AT0 2,DE0 6,183,2.846,12.846,AC,2.846
13,AT0 2,IT0 16,220,0.569,10.569,AC,0.569
14,AT0 2,SI0 0,214,0.569,10.569,AC,0.569
15,BA0 0,HR0 0,274,5.673,15.673,AC,5.673
16,BA0 0,ME0 0,173,2.836,12.836,AC,2.836
17,BA0 0,RS0 1,242,2.267,12.267,AC,2.267
18,BE0 0,BE0 4,81,3.396,13.396,AC,3.396
19,BE0 0,FR0 8,123,6.792,16.792,AC,6.792
20,BE0 1,BE0 2,111,3.396,13.396,AC,3.396
21,BE0 1,BE0 3,94,6.792,16.792,AC,6.792
22,BE0 1,FR0 15,150,3.396,13.396,AC,3.396
23,BE0 1,FR0 4,210,1.138,11.138,AC,1.138
24,BE0 1,LU0 0,104,1.138,11.138,AC,1.138
25,BE0 2,BE0 4,81,3.396,13.396,AC,3.396
26,BE0 3,BE0 4,93,3.396,13.396,AC,3.396
27,BE0 3,NL0 2,79,3.396,13.396,AC,3.396
28,BE0 4,NL0 0,88,3.396,13.396,AC,3.396
29,BG0 0,BG0 1,284,5.673,15.673,AC,5.673
30,BG0 0,RO0 2,402,3.396,13.396,AC,3.396
31,BG0 1,GR0 1,415,1.698,11.698,AC,1.698
32,BG0 1,MK0 0,272,1.698,11.698,AC,1.698
33,BG0 1,RO0 0,460,3.396,13.396,AC,3.396
34,BG0 1,RS0 0,250,1.698,11.698,AC,1.698
35,CH0 0,CH0 1,144,15.88,25.88,AC,15.88
36,CH0 0,DE0 2,175,3.396,13.396,AC,3.396
37,CH0 0,FR0 2,171,1.138,11.138,AC,1.138
38,CH0 0,FR0 21,186,3.396,13.396,AC,3.396
39,CH0 0,FR0 25,163,9.069,19.069,AC,9.069
40,CH0 0,IT0 11,225,0.569,10.569,AC,0.569
41,CH0 0,IT0 12,227,1.138,11.138,AC,1.138
42,CH0 1,DE0 2,148,16.981,26.981,AC,16.981
43,CH0 1,IT0 11,181,3.396,13.396,AC,3.396
44,CH0 1,IT0 5,206,3.396,13.396,AC,3.396
45,CZ0 0,CZ0 1,177,7.931,17.931,AC,7.931
46,CZ0 0,CZ0 2,184,12.465,22.465,AC,12.465
47,CZ0 0,SK0 0,329,3.965,13.965,AC,3.965
48,CZ0 1,CZ0 2,361,1.698,11.698,AC,1.698
49,CZ0 1,PL0 5,146,4.535,14.535,AC,4.535
50,CZ0 1,SK0 0,178,2.267,12.267,AC,2.267
51,CZ0 2,DE0 20,190,3.396,13.396,AC,3.396
52,CZ0 2,DE0 25,170,3.396,13.396,AC,3.396
53,DE0 0,DE0 10,138,8.491,18.491,AC,8.491
54,DE0 0,DE0 21,126,3.396,13.396,AC,3.396
55,DE0 0,DE0 26,157,5.094,15.094,AC,5.094
56,DE0 0,DE0 7,204,0.0,10.0,AC,0.0
57,DE0 0,NL0 1,92,3.396,13.396,AC,3.396
58,DE0 1,DE0 19,131,5.094,15.094,AC,5.094
59,DE0 1,DE0 25,99,1.138,11.138,AC,1.138
60,DE0 1,DE0 27,109,9.629,19.629,AC,9.629
61,DE0 1,DE0 9,197,6.233,16.233,AC,6.233
62,DE0 10,DE0 21,125,5.663,15.663,AC,5.663
