,bus0,bus1,length,max_retro,p_nom_opt,p_nom_opt_new,p_nom_opt_retro
AL0 0 - GR0 1,AL0 0,GR0 1,357.0,7.192,9.711,2.52,7.191
AL0 0 - IT0 10,AL0 0,IT0 10,254.0,7.192,7.19,0.0,7.19
AL0 0 - ME0 0,AL0 0,ME0 0,187.0,0.0,0.833,0.833,0.0
AL0 0 - MK0 0,AL0 0,MK0 0,176.0,0.0,0.096,0.096,0.0
AL0 0 - RS0 0,AL0 0,RS0 0,272.0,0.0,2.212,2.212,0.0
AT0 0 - AT0 2,AT0 0,AT0 2,225.2,11.437000000000001,7.363,0.001,7.362
AT0 0 - CZ0 0,AT0 0,CZ0 0,274.0,0.0,0.197,0.197,0.0
AT0 0 - HU0 0,AT0 0,HU0 0,267.3333333333333,5.336,5.331,0.002,5.329000000000001
AT0 0 - SI0 0,AT0 0,SI0 0,246.0,19.994,0.196,0.0,0.196
AT0 0 - SK0 0,AT0 0,SK0 0,372.0,4.094,0.041999999999999996,0.0,0.041999999999999996
AT0 1 - AT0 2,AT0 1,AT0 2,292.0,1.8,0.016,0.001,0.015
AT0 1 - CH0 1,AT0 1,CH0 1,152.0,0.9,0.89,0.002,0.888
AT0 1 - DE0 16,AT0 1,DE0 16,134.0,0.587,0.581,0.003,0.578
AT0 1 - DE0 9,AT0 1,DE0 9,193.0,0.0,0.001,0.001,0.0
AT0 2 - DE0 6,AT0 2,DE0 6,175.0,27.338,22.923000000000002,0.001,22.922
AT0 2 - DE0 9,AT0 2,DE0 9,217.0,5.094,2.949,0.0,2.949
AT0 2 - IT0 16,AT0 2,IT0 16,208.5,26.53,22.865000000000002,0.001,22.864
AT0 2 - SI0 0,AT0 2,SI0 0,214.0,0.0,0.007,0.007,0.0
BA0 0 - HR0 0,BA0 0,HR0 0,274.0,0.0,0.354,0.354,0.0
BA0 0 - ME0 0,BA0 0,ME0 0,173.0,0.0,0.724,0.724,0.0
BA0 0 - RS0 1,BA0 0,RS0 1,243.33333333333334,1.425,0.044,0.001,0.043
BE0 0 - BE0 2,BE0 0,BE0 2,132.0,17.299999999999997,13.951999999999998,0.0,13.951999999999998
BE0 0 - BE0 4,BE0 0,BE0 4,104.33333333333333,1.8,8.291,6.498,1.7930000000000001
BE0 0 - FR0 19,BE0 0,FR0 19,124.0,7.135000000000001,7.109,0.0,7.109
BE0 0 - FR0 8,BE0 0,FR0 8,143.5,0.9,0.919,0.021,0.898
BE0 0 - GB5 17,BE0 0,GB5 17,334.0,18.339,18.339,0.0,18.339
BE0 0 - GB5 9,BE0 0,GB5 9,250.0,0.0,1.905,1.905,0.0
BE0 0 - NL0 0,BE0 0,NL0 0,148.0,31.594,4.755,0.0,4.755
BE0 0 - NO3 4,BE0 0,NO3 4,1445.0,11.27,0.002,0.0,0.002
BE0 1 - BE0 2,BE0 1,BE0 2,109.66666666666667,1.8,9.081,7.284,1.7970000000000002
BE0 1 - BE0 3,BE0 1,BE0 3,104.0,2.7,0.498,0.003,0.495
BE0 1 - DE0 7,BE0 1,DE0 7,145.0,5.247,5.249,0.005,5.244
BE0 1 - FR0 15,BE0 1,FR0 15,150.0,0.0,3.029,3.029,0.0
BE0 1 - FR0 4,BE0 1,FR0 4,210.0,0.0,0.006,0.006,0.0
BE0 1 - LU0 0,BE0 1,LU0 0,96.0,2.254,3.5679999999999996,1.317,2.251
BE0 1 - NL0 2,BE0 1,NL0 2,184.0,7.87,1.004,0.0,1.004
BE0 2 - BE0 4,BE0 2,BE0 4,79.66666666666667,2.7,2.696,0.006,2.69
BE0 2 - FR0 15,BE0 2,FR0 15,164.0,0.9,0.898,0.0,0.898
BE0 2 - FR0 8,BE0 2,FR0 8,122.0,15.68,6.451,0.0,6.451
BE0 3 - BE0 4,BE0 3,BE0 4,73.0,5.4,5.375,0.002,5.372999999999999
BE0 3 - NL0 0,BE0 3,NL0 0,186.0,1.8,0.099,0.0,0.099
BE0 3 - NL0 2,BE0 3,NL0 2,79.0,0.0,2.836,2.836,0.0
BE0 4 - NL0 0,BE0 4,NL0 0,116.5,1.085,1.0639999999999998,0.007,1.057
BG0 0 - BG0 1,BG0 0,BG0 1,345.3333333333333,2.7,0.027,0.001,0.026000000000000002
BG0 0 - GR0 1,BG0 0,GR0 1,898.0,2.187,1.885,0.0,1.885
BG0 0 - RO0 1,BG0 0,RO0 1,344.0,0.525,0.524,0.0,0.524
BG0 0 - RO0 2,BG0 0,RO0 2,392.0,0.9,0.828,0.001,0.827
BG0 1 - GR0 1,BG0 1,GR0 1,528.5,2.704,1.1099999999999999,0.001,1.109
BG0 1 - MK0 0,BG0 1,MK0 0,271.5,0.525,0.074,0.001,0.073
BG0 1 - RO0 0,BG0 1,RO0 0,460.0,0.0,0.103,0.103,0.0
BG0 1 - RS0 0,BG0 1,RS0 0,250.0,0.0,0.039,0.039,0.0
CH0 0 - CH0 1,CH0 0,CH0 1,155.25,15.647,10.164,0.002,10.161999999999999
CH0 0 - DE0 2,CH0 0,DE0 2,197.0,1.05,0.34099999999999997,0.002,0.33899999999999997
CH0 0 - FR0 2,CH0 0,FR0 2,171.0,0.0,2.554,2.554,0.0
CH0 0 - FR0 21,CH0 0,FR0 21,189.33333333333334,10.3,8.716,0.001,8.715
CH0 0 - FR0 25,CH0 0,FR0 25,156.5,0.864,5.605,4.743,0.862
CH0 0 - IT0 11,CH0 0,IT0 11,225.0,0.0,0.002,0.002,0.0
CH0 0 - IT0 12,CH0 0,IT0 12,227.0,0.0,0.027,0.027,0.0
CH0 1 - DE0 2,CH0 1,DE0 2,159.33333333333334,8.766,8.759,0.003,8.756
CH0 1 - IT0 11,CH0 1,IT0 11,176.5,14.674,14.103,0.001,14.102
CH0 1 - IT0 5,CH0 1,IT0 5,206.0,0.0,0.547,0.547,0.0
CZ0 0 - CZ0 1,CZ0 0,CZ0 1,165.0,2.208,1.605,0.001,1.604
CZ0 0 - CZ0 2,CZ0 0,CZ0 2,186.0,15.5,5.193,0.001,5.192
CZ0 0 - PL0 2,CZ0 0,PL0 2,283.0,0.9,0.899,0.0,0.899
CZ0 0 - SK0 0,CZ0 0,SK0 0,338.3333333333333,23.308999999999997,1.702,0.001,1.701
CZ0 1 - CZ0 2,CZ0 1,CZ0 2,361.0,0.0,0.001,0.001,0.0
CZ0 1 - PL0 2,CZ0 1,PL0 2,312.0,1.8,1.799,0.0,1.799
CZ0 1 - PL0 5,CZ0 1,PL0 5,176.0,3.3470000000000004,2.7079999999999997,0.002,2.7059999999999995
CZ0 1 - SK0 0,CZ0 1,SK0 0,178.0,0.0,2.249,2.249,0.0
CZ0 2 - DE0 1,CZ0 2,DE0 1,271.0,23.832,0.218,0.0,0.218
CZ0 2 - DE0 18,CZ0 2,DE0 18,243.0,2.194,2.19,0.0,2.19
CZ0 2 - DE0 20,CZ0 2,DE0 20,197.33333333333334,9.676,9.309,0.001,9.308
CZ0 2 - DE0 25,CZ0 2,DE0 25,170.0,40.916,4.134,0.001,4.133
DE0 0 - DE0 10,DE0 0,DE0 10,126.66666666666667,26.532,6.447,0.002,6.444999999999999
DE0 0 - DE0 11,DE0 0,DE0 11,247.0,33.123999999999995,16.246000000000002,0.0,16.246000000000002
DE0 0 - DE0 21,DE0 0,DE0 21,126.0,0.0,0.001,0.001,0.0
DE0 0 - DE0 26,DE0 0,DE0 26,159.66666666666666,15.047,15.03,0.002,15.027999999999999
DE0 0 - DE0 7,DE0 0,DE0 7,204.0,0.0,0.002,0.002,0.0
DE0 0 - NL0 1,DE0 0,NL0 1,78.0,6.687,2.575,0.002,2.573
DE0 0 - NL0 3,DE0 0,NL0 3,104.0,26.636,2.723,0.0,2.723
DE0 1 - DE0 16,DE0 1,DE0 16,206.0,18.477,2.623,0.0,2.623
DE0 1 - DE0 19,DE0 1,DE0 19,131.0,0.0,0.651,0.651,0.0
DE0 1 - DE0 25,DE0 1,DE0 25,103.5,36.084,20.616,0.003,20.613
DE0 1 - DE0 27,DE0 1,DE0 27,112.0,59.916,25.154,0.002,25.152
DE0 1 - DE0 9,DE0 1,DE0 9,197.0,0.0,0.003,0.003,0.0
DE0 10 - DE0 11,DE0 10,DE0 11,359.0,17.012,13.603,0.0,13.603
DE0 10 - DE0 21,DE0 10,DE0 21,132.33333333333334,35.737,9.458,0.002,9.456
DE0 10 - DE0 24,DE0 10,DE0 24,116.0,3.323,3.2920000000000003,0.003,3.289
DE0 10 - DE0 26,DE0 10,DE0 26,76.66666666666667,28.044,13.093,0.003,13.09
DE0 10 - DE0 27,DE0 10,DE0 27,282.0,8.142,8.13,0.0,8.13
DE0 10 - DE0 5,DE0 10,DE0 5,203.0,0.0,0.004,0.004,0.0
DE0 10 - DE0 7,DE0 10,DE0 7,155.0,9.109,0.621,0.0,0.621
DE0 11 - DE0 15,DE0 11,DE0 15,168.5,1.011,3.3040000000000003,2.298,1.006
DE0 11 - DE0 21,DE0 11,DE0 21,243.66666666666666,68.375,9.437,4.673,4.763999999999999
DE0 11 - GB5 9,DE0 11,GB5 9,718.0,0.0,0.001,0.001,0.0
DE0 11 - NL0 3,DE0 11,NL0 3,152.0,79.007,1.877,0.0,1.877
DE0 11 - NO3 4,DE0 11,NO3 4,1043.0,24.56,22.593,0.0,22.593
DE0 11 - NO3 5,DE0 11,NO3 5,535.0,7.3,7.297,0.0,7.297
DE0 12 - DE0 18,DE0 12,DE0 18,152.0,60.97,1.699,0.002,1.697
DE0 12 - DE0 23,DE0 12,DE0 23,177.0,2.7,0.074,0.0,0.074
DE0 12 - DE0 3,DE0 12,DE0 3,213.0,33.120999999999995,4.763,0.002,4.760999999999999
DE0 12 - DE0 4,DE0 12,DE0 4,240.0,23.832,1.125,0.0,1.125
DE0 12 - DE0 8,DE0 12,DE0 8,151.0,31.848,3.065,0.001,3.064
DE0 12 - PL0 3,DE0 12,PL0 3,184.0,23.733,3.535,0.0,3.535
DE0 13 - DE0 15,DE0 13,DE0 15,710.0,0.0,0.001,0.001,0.0
DE0 13 - DE0 16,DE0 13,DE0 16,109.66666666666667,7.881,3.593,0.002,3.5909999999999997
