,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,lcoe,lcoe,lcoe,lcoe,lcoe,market_value,market_value,market_value,market_value,market_value,market_value,io,io,io,io,io,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,storage,storage,storage,storage,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used
,offwind-ac,onwind,residential rural solar thermal,residential urban decentral solar thermal,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal,ror,offwind-dc,CO2 sequestration,H2 liquid,H2 storage,Li ion,battery storage,biogas,co2,fossil gas,gas for industry,heat,hot water storage,low voltage,oil,process emissions,solid biomass,solid biomass for industry,transmission lines,onwind,offwind-ac,offwind-dc,solar rooftop,solar,onwind,offwind-ac,offwind-dc,solar rooftop,solar,ror,oil,hydrogen,electricity,gas,total,BEV charger,H2 Electrolysis,H2 Fuel Cell,H2 liquefaction,H2 pipeline retrofitted,V2G,air heat pump,battery storage,electricity distribution grid,ground heat pump,hot water storage,hydroelectricity,methanation,offshore wind,onshore wind,power-to-liquid,resistive heater,solar PV,solar rooftop,solar thermal,H2 storage,Li ion,battery storage,hot water storage,gas,offwind-ac,offwind-dc,oil,onwind,residential rural solar thermal,residential urban decentral solar thermal,ror,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal
AL0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.02,0.04,,,,114.75,84.92,96.65,94.76,,,,,48.07,46.81,96.49,,,,,91.05,,,,48.28,43.09,121.46,116.83,,56.27,43.09,,-0.12,-7.18,-11.92,0.08,-19.14,12.18,6.48,0.0,0.02,7.19,12.18,0.09,8.64,0.93,0.13,0.64,0.0,0.0,0.0,0.0,0.08,0.42,25.51,2.64,0.39,0.0,27.68,32.56,0.57,,0.0,,,0.0,0.0,0.0,,0.0,0.0,47.79,100.0,0.0
AT0 0,,0.49,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,,,116.39,86.56,118.37,109.72,,,,,58.47,57.21,111.62,,,,,106.18,82.75,,,61.66,54.82,82.75,,,64.28,54.82,86.24,-2.66,29.17,15.14,6.46,48.11,24.42,0.25,1.57,0.02,10.5,24.42,0.79,0.01,9.11,0.64,17.65,2.3,0.0,0.0,19.07,1.76,3.69,4.66,4.64,0.0,0.0,55.51,0.03,8.41,,,,,39.42,0.0,0.0,0.0,0.0,0.0,6.17,100.0,0.0
AT0 1,,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.04,0.0,,,116.24,86.41,125.38,115.12,,,,,64.93,63.83,117.0,,,,,111.56,,,,,55.54,85.08,,,75.13,62.75,92.35,-0.59,2.6,-16.39,0.36,-14.02,2.94,0.0,0.08,0.0,0.58,2.94,0.03,0.77,1.11,0.15,0.97,4.27,0.0,0.0,0.0,0.23,0.35,20.17,0.56,0.38,0.0,6.69,2.25,0.8,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
AT0 2,,0.0,0.0,0.0,0.0,0.0,1.78,0.02,0.0,0.02,,,116.11,86.28,116.69,107.41,,,,,60.48,59.52,109.26,,,,,103.82,,,,61.45,56.4,86.46,,,68.75,56.4,84.09,-3.01,13.14,-14.64,3.4,-1.1,14.83,4.16,0.03,0.01,34.3,14.83,0.23,6.35,5.93,0.76,6.75,8.29,0.0,0.0,0.0,1.71,1.72,48.19,2.82,0.0,0.0,33.71,18.47,2.37,,,,,0.0,0.0,0.0,0.0,0.0,0.0,70.17,100.0,0.0
BA0 0,,0.0,0.0,0.0,0.0,0.0,0.29,0.02,0.0,,,,115.7,85.87,108.41,106.64,,,,,54.35,53.08,108.57,,,,,103.14,,,,55.52,50.16,110.5,,,58.32,50.16,,-1.08,2.92,0.55,1.16,3.55,16.3,0.08,0.0,0.0,0.02,16.3,0.08,2.72,2.1,0.26,1.11,0.0,0.0,0.0,0.0,0.24,0.74,12.38,3.83,0.01,0.0,37.03,10.66,0.68,,,,,0.0,0.0,0.0,,0.0,0.0,14.1,100.0,0.0
BE0 0,0.12,0.37,0.0,0.0,0.0,0.0,0.02,0.0,0.0,,0.23,,114.77,84.94,106.91,98.33,,,,,51.56,50.5,100.3,,,,,94.86,39.27,54.49,52.92,65.74,58.28,60.75,66.16,69.82,65.74,58.28,,-1.84,23.14,10.67,4.55,36.53,11.29,3.57,0.0,1.64,10.03,11.29,1.01,0.02,5.75,0.08,4.27,0.0,0.0,4.33,3.34,1.49,2.39,12.08,2.33,0.0,0.0,25.66,0.06,6.89,,100.0,100.0,,100.0,0.0,0.0,,0.0,0.0,40.63,94.67,0.0
BE0 1,,0.66,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,,,115.24,85.41,121.93,111.61,,,,,56.97,56.04,113.7,,,,,108.27,47.17,,,69.29,61.8,71.63,,,72.02,61.8,126.08,0.32,26.89,-6.26,3.13,24.09,9.01,0.24,0.89,1.31,2.62,9.01,0.48,2.83,3.69,0.19,10.11,1.23,0.0,0.0,8.45,1.29,1.42,10.88,1.97,0.0,0.0,20.47,11.88,6.45,,,,,100.0,0.0,0.0,0.0,0.0,0.0,38.33,100.0,0.0
BE0 2,,0.07,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,,,114.95,85.12,125.24,114.58,,,,,56.58,55.87,116.65,,,,,111.21,44.19,,,66.92,59.9,77.07,,,71.69,59.9,131.61,-10.65,52.04,9.17,5.41,55.96,13.45,0.0,2.63,1.95,11.76,13.45,0.84,3.99,4.92,0.06,21.41,0.0,0.0,0.0,1.3,2.64,2.14,17.23,2.94,0.0,0.0,30.56,12.99,11.22,,,,,100.0,0.0,0.0,0.0,0.0,0.0,80.53,100.0,0.0
BE0 3,,0.03,0.0,0.0,0.0,0.0,0.24,0.0,0.0,,,,115.11,85.28,121.89,111.69,,,,,55.72,54.77,113.7,,,,,108.27,,,,67.4,61.34,71.03,,,71.38,61.34,,5.47,19.7,9.17,4.48,38.82,6.52,0.0,0.67,0.95,2.75,6.52,0.43,0.09,2.97,0.07,9.23,0.0,0.0,0.0,0.45,0.84,1.03,10.28,1.42,0.0,0.0,14.81,0.27,4.43,,,,,100.0,0.0,0.0,,0.0,0.0,89.87,100.0,0.0
