,label,source,target,value
0,DAC,co2 atmosphere,co2 stored,0.01475551896689554
1,process emissions,process emissions,co2 atmosphere,7.891270334148431e-06
2,process emissions CC,process emissions,co2 atmosphere,13.811999211160964
3,process emissions CC,process emissions,co2 stored,124.30799290044868
4,OCGT,gas,co2 atmosphere,2.1047658320864637
5,Sabatier,co2 stored,gas,18.3471474905589
6,SMR,gas,co2 atmosphere,0.000642759844505338
7,SMR CC,gas,co2 atmosphere,0.0001383333274838585
8,SMR CC,gas,co2 stored,0.0012449999473547267
9,residential rural gas boiler,gas,co2 atmosphere,3.0872551672347552
10,services rural gas boiler,gas,co2 atmosphere,1.0142970828883833
11,residential urban decentral gas boiler,gas,co2 atmosphere,18.519564276710184
12,services urban decentral gas boiler,gas,co2 atmosphere,7.18146110495446
13,urban central gas boiler,gas,co2 atmosphere,22.75498165950752
14,biogas to gas,co2 atmosphere,biogas,69.11124031425805
15,biogas to gas,biogas,gas,69.11124031425805
16,solid biomass for industry CC,co2 atmosphere,solid biomass,210.71993274311686
17,solid biomass for industry CC,solid biomass,co2 stored,210.71993274311686
18,gas for industry,gas,co2 atmosphere,0.0005164519147210157
19,gas for industry CC,gas,co2 atmosphere,5.886210745440116
20,gas for industry CC,gas,co2 stored,52.97589670896104
21,Fischer-Tropsch,co2 stored,oil,277.19590164568126
22,urban central gas CHP,gas,co2 atmosphere,47.29877124700773
23,urban central gas CHP CC,gas,co2 atmosphere,0.0003345948127964913
24,urban central gas CHP CC,gas,co2 stored,0.003011353315168422
25,urban central solid biomass CHP CC,co2 atmosphere,solid biomass,107.52021572573007
26,urban central solid biomass CHP CC,solid biomass,co2 stored,107.52021572573007
27,oil emissions,oil,co2 atmosphere,242.31694726453512
28,agriculture machinery oil emissions,oil,co2 atmosphere,23.38899864854384
29,process emissions from feedstocks,oil,process emissions,11.489999999999998
0,fossil gas,fossil gas,gas,73.3699564803745
0,fossil oil,fossil oil,oil,4.426284603477251e-05
0,co2 sequestration,co2 stored,co2 sequestration,200.00000081424594
0,net co2 emissions,co2 atmosphere,net co2 emissions,0.0007479691675484901
