,label,source,target,value
0,BEV charger,electricity grid,battery,878.2149551290619
1,H2 for industry,H2,H2 for industry demand,195.75999999999996
2,gas,fossil gas,gas,366.84978240187263
4,H2 for shipping,H2 liquid,H2 for shipping demand,502.844345719181
5,hydro,hydro,electricity grid,348.20211728817
6,offwind-ac,offwind-ac,electricity grid,148.62436424213732
7,Fischer-Tropsch,H2,oil,1026.6514875765972
8,agriculture electricity,electricity grid,agriculture electricity demand,44.861105056391615
9,offwind-dc,offwind-dc,electricity grid,715.7662024242118
10,agriculture heat,heat,agriculture heat demand,189.4575769033617
12,H2 Electrolysis,electricity grid,H2,2752.1586581385504
13,H2 Fuel Cell,H2,electricity grid,98.49425351008627
14,onwind,onwind,electricity grid,4682.984926716341
15,agriculture machinery oil,oil,agriculture machinery oil demand,86.62592092053184
16,H2 liquefaction,H2,H2 liquid,502.8443457657602
17,electricity,electricity grid,electricity demand,1720.767554222664
18,OCGT,gas,electricity grid,4.314769955777249
19,ror,ror,electricity grid,139.29309708284927
23,industry electricity,electricity grid,industry electricity demand,1702.5200000000004
24,Sabatier,H2,gas,91.7357374527945
25,kerosene for aviation,oil,kerosene for aviation demand,612.245730609382
26,solar,solar,electricity grid,2721.6727542516983
27,V2G,battery,electricity grid,88.48464815916823
28,land transport EV,battery,land transport EV demand,779.8986794122219
29,battery charger,electricity grid,battery,339.1677656910812
30,land transport fuel cell,H2,land transport fuel cell demand,275.2583574396077
31,solar rooftop,solar rooftop,electricity grid,322.4001931075051
32,battery discharger,battery,electricity grid,332.3152200814779
33,urban central solar thermal,solar thermal,heat,57.15390273583736
34,low-temperature heat for industry,heat,low-temperature heat for industry demand,52.03000000000002
36,biogas to gas,biogas,gas,345.5562015712903
37,naphtha for industry,oil,naphtha for industry demand,327.77999999999804
40,residential rural heat,heat,residential rural heat demand,498.6905005004783
41,gas for industry CC,gas,gas for industry,264.87948354480534
43,residential urban decentral heat,heat,residential urban decentral heat demand,628.4028978082292
44,services rural heat,heat,services rural heat demand,188.64718556273084
46,services urban decentral heat,heat,services urban decentral heat demand,251.08738000633363
50,urban central heat,heat,urban central heat demand,1517.1207292301199
51,residential rural gas boiler,gas,heat,15.127550319450295
52,residential rural ground heat pump,ground-sourced ambient,heat,328.970736837675
53,residential rural resistive heater,electricity grid,heat,16.024530859548264
54,residential rural water tanks charger,heat,water tank,1.9596646346981197
55,residential rural water tanks discharger,water tank,heat,1.6445374373063366
56,residential urban decentral air heat pump,air-sourced ambient,heat,291.3409167342911
57,residential urban decentral gas boiler,gas,heat,90.74586495587991
58,residential urban decentral resistive heater,electricity grid,heat,37.79726752347733
59,residential urban decentral water tanks charger,heat,water tank,1.6925146350919047
60,residential urban decentral water tanks discharger,water tank,heat,1.4204069155587302
61,services rural gas boiler,gas,heat,4.970055706153077
62,services rural ground heat pump,ground-sourced ambient,heat,259.17335479832354
63,services rural resistive heater,electricity grid,heat,7.96729013923011
64,services rural water tanks charger,heat,water tank,1.9220689009355219
65,services rural water tanks discharger,water tank,heat,1.6130783136148925
66,services urban decentral air heat pump,air-sourced ambient,heat,115.47274913757899
67,services urban decentral gas boiler,gas,heat,35.18915941427685
68,services urban decentral resistive heater,electricity grid,heat,16.87738228462865
69,services urban decentral water tanks charger,heat,water tank,1.762007278953881
70,services urban decentral water tanks discharger,water tank,heat,1.4788548101977017
72,solid biomass for industry CC,solid biomass,solid biomass for industry,702.39977581039
73,urban central air heat pump,air-sourced ambient,heat,273.7045995750201
74,urban central gas CHP,gas,electricity grid,96.96179513699958
76,urban central gas boiler,gas,heat,118.32590462943912
77,urban central resistive heater,electricity grid,heat,128.82301927116723
78,urban central solid biomass CHP,solid biomass,electricity grid,2.0206037637015366
79,urban central solid biomass CHP CC,solid biomass,electricity grid,103.53798551366602
80,urban central water tanks charger,heat,water tank,139.65310673400515
81,urban central water tanks discharger,water tank,heat,116.51998432068437
82,H2 Fuel Cell,H2,heat,88.64482815907765
93,urban central gas CHP,gas,heat,96.9617951369996
96,urban central solid biomass CHP,solid biomass,heat,4.807643437772618
97,urban central solid biomass CHP CC,solid biomass,heat,291.4992515230905
98,Fischer-Tropsch,H2,heat,366.6612455630704
106,BEV charger,electricity grid,losses,97.5794394587846
108,Fischer-Tropsch,H2,losses,73.33224911261418
109,H2 Electrolysis,electricity grid,losses,1295.1334861828473
110,H2 Fuel Cell,H2,losses,9.84942535100862
111,OCGT,gas,losses,6.209059204655065
114,Sabatier,H2,losses,22.933934363198638
115,V2G,battery,losses,9.831627573240914
116,battery charger,electricity grid,losses,6.993885618498681
117,battery discharger,battery,losses,6.852581151986485
118,gas for industry CC,gas,losses,29.43105372720055
124,residential rural resistive heater,electricity grid,losses,1.7805034288386945
127,residential urban decentral gas boiler,gas,losses,1.8519564276710239
128,residential urban decentral resistive heater,electricity grid,losses,4.199696391497481
132,services rural resistive heater,electricity grid,losses,0.8852544599144561
135,services urban decentral gas boiler,gas,losses,0.7181461104954479
136,services urban decentral resistive heater,electricity grid,losses,1.8752646982920724
139,solid biomass for industry CC,solid biomass,losses,78.04441953448702
140,urban central gas CHP,gas,losses,42.56859298697545
142,urban central resistive heater,electricity grid,losses,1.3012426189006863
144,urban central solid biomass CHP CC,solid biomass,losses,3.18578416965122
145,urban central water tanks charger,heat,losses,26.600591758858126
146,urban central water tanks discharger,water tank,losses,22.194282727749414
147,residential rural ground heat pump,electricity grid,heat,139.25161267395634
148,residential urban decentral air heat pump,electricity grid,heat,209.0500780986463
149,services rural ground heat pump,electricity grid,heat,106.66494282096036
150,services urban decentral air heat pump,electricity grid,heat,84.15144771133542
151,urban central air heat pump,electricity grid,heat,192.30837178945666
163,urban central gas boiler,fossil gas,gas,4.550996331901511
