snapshot,AC,DAC,DC,H2 Electrolysis,H2 Fuel Cell,OCGT,PHS,battery charger,battery discharger,electricity distribution grid,hydro,offwind-ac,offwind-dc,onwind,ror,solar,urban central gas CHP,urban central gas CHP CC,urban central solid biomass CHP CC
2013-01-01 00:00:00,0.0,-1.57,0.0,-695.56,0.0,0.0,-2.73,-9.19,41.3,-658.89,32.62,36.72,96.78,1115.05,12.32,0.0,8.93,0.0,24.23
2013-01-01 03:00:00,0.0,-1.57,-0.0,-634.01,0.0,0.0,0.69,-10.31,50.47,-663.92,34.58,30.1,87.48,1055.76,12.35,0.0,14.02,0.0,24.35
2013-01-01 06:00:00,-0.0,-1.57,-0.0,-615.15,0.0,0.0,-3.03,-34.1,13.96,-711.36,35.85,30.3,99.08,988.68,12.49,158.08,2.35,0.0,24.4
2013-01-01 09:00:00,0.0,-1.57,0.0,-907.03,0.0,0.0,-23.72,-157.15,0.27,-770.23,24.62,27.25,106.1,832.98,12.64,831.85,0.0,0.0,24.0
2013-01-01 12:00:00,-0.0,-1.57,-0.0,-806.84,0.0,0.0,-5.72,-144.35,1.93,-748.68,42.92,27.1,111.84,832.75,12.97,652.76,0.67,0.0,24.19
2013-01-01 15:00:00,0.0,-1.57,-0.0,-519.33,0.0,0.0,6.17,-0.18,48.48,-653.55,57.1,28.0,115.71,797.5,13.12,67.09,17.0,0.0,24.44
2013-01-01 18:00:00,0.0,-1.44,-0.0,-460.93,0.0,0.0,7.04,-0.03,73.46,-641.25,59.45,32.38,116.75,759.97,13.13,0.0,17.02,0.0,24.44
2013-01-01 21:00:00,-0.0,-1.44,-0.0,-412.6,0.0,0.0,6.72,-0.25,55.1,-579.61,58.65,32.44,112.97,679.51,13.18,0.0,11.02,0.0,24.31
2013-01-02 00:00:00,0.0,-1.44,0.0,-377.22,0.0,0.0,6.49,-0.18,46.11,-544.0,59.2,31.81,108.11,626.09,13.19,0.0,7.42,0.0,24.41
2013-01-02 03:00:00,0.0,-1.44,-0.0,-327.84,0.0,0.0,7.17,-0.11,67.6,-579.14,62.57,27.23,98.08,591.19,13.16,0.0,16.99,0.0,24.56
2013-01-02 06:00:00,0.0,-1.44,0.0,-320.03,0.0,0.0,6.01,-17.17,35.23,-632.83,62.25,21.43,81.42,584.92,13.1,128.29,14.23,0.0,24.58
2013-01-02 09:00:00,-0.0,-1.57,-0.0,-688.52,0.0,0.0,-5.88,-170.43,0.63,-723.49,51.09,17.89,69.43,608.72,13.0,800.45,4.23,0.0,24.43
2013-01-02 12:00:00,0.0,-1.57,0.0,-716.14,0.0,0.0,-10.31,-115.77,0.89,-691.83,51.12,23.08,77.98,695.85,13.0,636.86,12.35,0.0,24.49
2013-01-02 15:00:00,0.0,-1.57,-0.0,-543.42,0.0,0.0,7.43,-0.72,87.94,-654.13,60.96,33.16,105.85,771.37,13.0,78.0,17.61,0.0,24.52
2013-01-02 18:00:00,0.0,-1.57,-0.0,-548.33,0.0,0.0,6.29,-0.45,69.63,-662.44,57.76,37.87,117.04,869.21,12.89,0.0,17.58,0.0,24.51
2013-01-02 21:00:00,-0.0,-1.57,0.0,-596.9,0.0,0.0,4.1,-3.82,46.36,-634.73,52.91,35.42,116.38,938.31,12.82,0.0,6.39,0.0,24.31
2013-01-03 00:00:00,0.0,-1.57,-0.0,-622.58,0.0,0.0,4.2,-5.86,46.25,-626.31,52.26,32.3,112.6,967.09,12.76,0.0,4.66,0.0,24.19
2013-01-03 03:00:00,0.0,-1.57,0.0,-586.87,0.0,0.0,2.25,-5.55,57.07,-671.0,52.43,31.43,109.09,956.97,12.64,0.0,18.9,0.0,24.2
2013-01-03 06:00:00,0.0,-1.57,-0.0,-556.86,0.0,0.0,-0.58,-12.8,30.31,-757.21,49.89,29.65,104.13,926.44,12.6,140.33,11.45,0.0,24.21
2013-01-03 09:00:00,0.0,-1.57,0.0,-857.04,0.0,0.0,-13.96,-185.57,0.11,-766.85,31.91,26.9,98.21,810.73,12.6,818.71,2.44,0.0,23.36
2013-01-03 12:00:00,0.0,-1.57,0.0,-706.68,0.0,0.0,-20.78,-157.87,0.37,-762.54,28.03,25.84,99.11,783.16,12.58,674.67,2.44,0.0,23.23
2013-01-03 15:00:00,0.0,-1.57,-0.0,-449.08,0.0,0.21,1.14,-0.98,66.42,-690.51,44.74,22.19,94.54,763.15,12.56,82.5,31.27,0.0,23.4
2013-01-03 18:00:00,0.0,-1.44,0.0,-450.34,0.0,0.21,6.2,-0.94,82.59,-654.94,40.55,21.34,86.44,802.4,12.54,0.0,32.0,0.0,23.37
2013-01-03 21:00:00,0.0,-1.44,0.0,-472.71,0.0,0.21,5.67,-0.23,62.02,-608.69,38.62,23.07,81.94,817.3,12.52,0.0,19.6,0.0,22.12
2013-01-04 00:00:00,0.0,-1.44,0.0,-488.57,0.0,0.21,6.45,-0.91,43.42,-587.58,37.58,25.95,97.28,814.42,12.53,0.0,19.55,0.0,21.1
2013-01-04 03:00:00,0.0,-1.44,0.0,-482.41,0.0,0.21,5.55,-0.87,43.86,-606.76,39.2,27.95,107.18,799.73,12.53,0.0,33.08,0.0,22.19
2013-01-04 06:00:00,0.0,-1.44,0.0,-466.78,0.0,0.68,4.55,-21.8,12.75,-676.5,31.65,25.99,106.61,778.83,12.49,145.15,25.55,0.0,22.27
2013-01-04 09:00:00,0.0,-1.57,0.0,-803.32,0.0,1.47,-20.43,-158.56,1.19,-753.74,25.9,22.63,102.79,717.76,12.5,810.44,22.34,0.0,20.59
