snapshot,Fischer-Tropsch,H2,H2 Electrolysis,H2 Fuel Cell,H2 for industry,H2 liquefaction,SMR,SMR CC,Sabatier,land transport fuel cell
2013-01-01 00:00:00,-153.33,-51.8,472.98,0.0,-22.35,-57.4,0.04,18.7,-201.74,-5.11
2013-01-01 03:00:00,-162.31,3.49,431.13,0.0,-22.35,-57.4,0.04,18.7,-187.22,-24.08
2013-01-01 06:00:00,-164.62,40.25,418.3,0.0,-22.35,-57.4,0.05,18.63,-180.54,-52.32
2013-01-01 09:00:00,-159.2,-176.37,616.78,0.0,-22.35,-57.4,0.04,17.69,-176.24,-42.96
2013-01-01 12:00:00,-157.76,-119.26,548.65,0.0,-22.35,-57.4,0.04,20.2,-162.65,-49.47
2013-01-01 15:00:00,-156.29,46.58,353.15,0.0,-22.35,-57.4,0.2,38.49,-146.16,-56.22
2013-01-01 18:00:00,-152.03,34.11,313.43,0.0,-22.35,-57.4,0.2,38.9,-127.77,-27.1
2013-01-01 21:00:00,-141.38,23.7,280.57,0.0,-22.35,-57.4,0.2,39.16,-111.77,-10.72
2013-01-02 00:00:00,-140.75,30.55,256.51,0.0,-22.35,-57.4,0.2,39.48,-101.12,-5.12
2013-01-02 03:00:00,-154.07,84.83,222.93,0.0,-22.35,-57.4,0.21,41.02,-91.37,-23.8
2013-01-02 06:00:00,-155.28,120.38,217.62,0.0,-22.35,-57.4,0.28,41.37,-92.07,-52.54
2013-01-02 09:00:00,-157.08,-106.02,468.19,0.0,-22.35,-57.4,0.28,41.24,-122.4,-44.46
2013-01-02 12:00:00,-161.01,-100.37,486.98,0.0,-22.35,-57.4,0.28,41.25,-135.69,-51.69
2013-01-02 15:00:00,-157.5,24.11,369.53,0.0,-22.35,-57.4,0.33,41.43,-140.38,-57.77
2013-01-02 18:00:00,-157.36,-4.52,372.86,0.0,-22.35,-57.4,0.33,41.28,-144.08,-28.76
2013-01-02 21:00:00,-150.1,-61.01,405.89,0.0,-22.35,-57.4,0.33,40.92,-144.73,-11.55
2013-01-03 00:00:00,-149.84,-91.81,423.35,0.0,-22.35,-57.4,0.32,40.5,-137.52,-5.26
2013-01-03 03:00:00,-156.5,-52.12,399.07,0.0,-22.35,-57.4,0.32,39.98,-127.96,-23.03
2013-01-03 06:00:00,-155.78,-9.85,378.66,0.0,-22.35,-57.4,0.32,38.78,-121.3,-51.09
2013-01-03 09:00:00,-152.98,-227.23,582.79,0.0,-22.35,-57.4,0.29,36.24,-114.53,-44.84
2013-01-03 12:00:00,-151.56,-138.55,480.54,0.0,-22.35,-57.4,0.29,36.33,-95.34,-51.97
2013-01-03 15:00:00,-145.95,21.46,305.37,0.0,-22.35,-57.4,0.29,36.34,-80.11,-57.65
2013-01-03 18:00:00,-147.34,3.13,306.23,0.0,-22.35,-57.4,0.29,36.26,-88.59,-30.24
2013-01-03 21:00:00,-144.34,-16.51,321.45,0.0,-22.35,-57.4,0.29,35.84,-104.76,-12.21
2013-01-04 00:00:00,-143.53,-30.53,332.23,0.0,-22.35,-57.4,0.29,35.7,-108.92,-5.48
2013-01-04 03:00:00,-149.56,-6.71,328.04,0.0,-22.35,-57.4,0.29,35.56,-106.13,-21.73
2013-01-04 06:00:00,-145.97,19.27,317.41,0.0,-22.35,-57.4,0.32,36.68,-100.38,-47.57
2013-01-04 09:00:00,-147.17,-210.49,546.26,0.0,-22.35,-57.4,0.31,38.92,-98.0,-50.08
2013-01-04 12:00:00,-142.78,-145.28,488.0,0.0,-22.35,-57.4,0.32,40.68,-99.53,-61.66
2013-01-04 15:00:00,-140.25,39.21,281.34,0.0,-22.35,-57.4,0.31,40.87,-83.65,-58.09
2013-01-04 18:00:00,-144.07,37.62,256.66,0.0,-22.35,-57.4,0.28,40.51,-78.26,-32.99
2013-01-04 21:00:00,-134.13,11.92,256.81,0.0,-22.35,-57.4,0.28,40.39,-80.07,-15.46
2013-01-05 00:00:00,-130.57,26.9,229.42,0.0,-22.35,-57.4,0.28,40.28,-79.48,-7.09
2013-01-05 03:00:00,-144.13,75.89,190.16,0.0,-22.35,-57.4,0.28,41.03,-72.21,-11.27
2013-01-05 06:00:00,-144.28,117.92,158.69,0.0,-22.35,-57.4,0.79,44.23,-66.91,-30.69
2013-01-05 09:00:00,-128.92,-79.01,368.68,-0.0,-22.35,-57.4,0.79,46.9,-79.8,-48.89
2013-01-05 12:00:00,-132.49,-55.66,356.35,-1.11,-22.35,-57.4,0.8,47.82,-87.82,-48.14
2013-01-05 15:00:00,-135.74,88.57,201.44,-1.11,-22.35,-57.4,0.8,48.5,-81.62,-41.08
2013-01-05 18:00:00,-142.6,109.42,150.57,-1.11,-22.35,-57.4,0.8,48.72,-61.46,-24.59
2013-01-05 21:00:00,-118.5,85.57,106.85,-1.11,-22.35,-57.4,0.8,52.16,-32.8,-13.21
2013-01-06 00:00:00,-114.05,75.28,86.63,-1.11,-22.35,-57.4,0.8,52.7,-14.81,-5.7
2013-01-06 03:00:00,-137.97,94.1,89.43,-1.11,-22.35,-57.4,0.8,53.87,-13.79,-5.58
2013-01-06 06:00:00,-135.76,86.17,120.15,-0.87,-22.35,-57.4,0.8,55.53,-29.83,-16.43
2013-01-06 09:00:00,-132.61,-112.73,348.4,-0.87,-22.35,-57.4,0.81,56.41,-39.63,-40.02
2013-01-06 12:00:00,-130.65,-70.8,327.36,0.0,-22.35,-57.4,0.81,57.09,-56.62,-47.44
2013-01-06 15:00:00,-122.66,112.26,126.0,-1.11,-22.35,-57.4,0.81,57.48,-45.66,-47.36
2013-01-06 18:00:00,-124.95,129.2,83.37,-1.11,-22.35,-57.4,0.81,57.16,-34.26,-30.48
2013-01-06 21:00:00,-110.56,102.23,67.14,-1.11,-22.35,-57.4,0.81,57.14,-24.39,-11.51
2013-01-07 00:00:00,-107.33,89.8,70.29,-1.11,-22.35,-57.4,0.81,57.33,-24.32,-5.71
2013-01-07 03:00:00,-127.91,133.71,66.89,-1.11,-22.35,-57.4,0.81,58.66,-24.34,-26.96
2013-01-07 06:00:00,-141.74,159.86,86.95,-1.11,-22.35,-57.4,0.83,58.69,-30.93,-52.81
2013-01-07 09:00:00,-141.04,-36.46,278.07,-1.11,-22.35,-57.4,0.83,58.1,-33.88,-44.77
2013-01-07 12:00:00,-135.81,-14.94,252.64,-1.11,-22.35,-57.4,0.86,58.55,-31.42,-49.03
2013-01-07 15:00:00,-121.99,112.76,108.83,-1.11,-22.35,-57.4,0.97,59.08,-24.87,-53.93
2013-01-07 18:00:00,-131.79,91.88,113.93,-1.11,-22.35,-57.4,0.97,58.84,-27.1,-25.88
2013-01-07 21:00:00,-116.37,50.25,130.6,-1.11,-22.35,-57.4,0.97,58.46,-32.93,-10.12
2013-01-08 00:00:00,-117.1,30.87,147.53,-1.11,-22.35,-57.4,0.97,58.29,-34.57,-5.14
2013-01-08 03:00:00,-138.0,78.96,134.45,-1.11,-22.35,-57.4,0.97,58.35,-29.56,-24.31
2013-01-08 06:00:00,-145.03,103.61,140.92,-1.11,-22.35,-57.4,1.02,58.58,-25.67,-52.56
2013-01-08 09:00:00,-136.43,-60.21,286.71,-1.11,-22.35,-57.4,1.02,58.78,-25.75,-43.26
2013-01-08 12:00:00,-127.63,-19.1,242.67,-1.11,-22.35,-57.4,1.02,59.33,-25.55,-49.89
2013-01-08 15:00:00,-106.79,135.66,65.35,-1.11,-22.35,-57.4,1.02,59.86,-17.91,-56.34
2013-01-08 18:00:00,-109.32,122.94,47.45,-1.11,-22.35,-57.4,1.02,60.12,-14.29,-27.06
2013-01-08 21:00:00,-98.82,93.35,48.84,-1.11,-22.35,-57.4,1.02,60.21,-13.03,-10.7
2013-01-09 00:00:00,-95.99,87.27,43.52,-1.11,-22.35,-57.4,1.02,60.28,-10.12,-5.12
2013-01-09 03:00:00,-117.12,132.73,36.35,-1.11,-22.35,-57.4,1.26,61.98,-10.43,-23.89
2013-01-09 06:00:00,-119.36,156.23,42.08,-1.11,-22.35,-57.4,1.36,62.17,-8.98,-52.65
2013-01-09 09:00:00,-109.93,13.52,167.85,-1.11,-22.35,-57.4,1.02,61.86,-8.71,-44.76
2013-01-09 12:00:00,-107.19,20.07,167.74,-1.11,-22.35,-57.4,1.02,61.76,-10.31,-52.23
2013-01-09 15:00:00,-108.96,106.76,85.53,-1.11,-22.35,-57.4,1.02,61.75,-6.87,-58.37
2013-01-09 18:00:00,-106.62,76.29,84.6,-1.11,-22.35,-57.4,1.01,61.13,-6.41,-29.15
2013-01-09 21:00:00,-93.74,34.08,100.93,-1.11,-22.35,-57.4,0.84,57.26,-6.81,-11.71
2013-01-10 00:00:00,-94.42,6.98,123.93,-1.11,-22.35,-57.4,0.84,54.94,-6.08,-5.33
2013-01-10 03:00:00,-111.98,41.56,128.21,-1.11,-22.35,-57.4,0.84,54.36,-8.86,-23.26
2013-01-10 06:00:00,-113.75,66.26,137.96,-1.11,-22.35,-57.4,0.85,53.51,-12.22,-51.75
2013-01-10 09:00:00,-120.68,-91.68,303.7,0.0,-22.35,-57.4,0.85,53.15,-19.84,-45.75
2013-01-10 12:00:00,-120.35,-59.98,283.42,-1.11,-22.35,-57.4,0.85,53.74,-23.56,-53.26
2013-01-10 15:00:00,-126.39,87.62,146.79,-1.11,-22.35,-57.4,0.86,55.29,-24.17,-59.14
2013-01-10 18:00:00,-130.07,81.78,132.94,-1.11,-22.35,-57.4,0.84,55.3,-28.9,-31.03
2013-01-10 21:00:00,-112.43,56.5,117.73,-1.11,-22.35,-57.4,0.82,56.02,-25.23,-12.55
2013-01-11 00:00:00,-113.9,65.52,97.95,-1.11,-22.35,-57.4,0.82,56.61,-20.5,-5.64
2013-01-11 03:00:00,-135.99,116.42,75.55,-1.11,-22.35,-57.4,0.82,57.09,-10.65,-22.38
2013-01-11 06:00:00,-138.61,150.77,69.31,-1.11,-22.35,-57.4,0.84,58.34,-10.6,-49.21
2013-01-11 09:00:00,-128.57,-29.04,246.12,-1.11,-22.35,-57.4,0.84,58.44,-14.83,-52.1
2013-01-11 12:00:00,-125.0,-7.49,239.17,-1.11,-22.35,-57.4,0.84,58.96,-21.32,-64.3
2013-01-11 15:00:00,-125.01,127.85,95.63,-1.11,-22.35,-57.4,0.88,59.38,-17.24,-60.64
2013-01-11 18:00:00,-129.18,123.61,73.83,-1.11,-22.35,-57.4,0.86,59.83,-13.65,-34.44
2013-01-11 21:00:00,-121.72,96.9,74.95,-1.11,-22.35,-57.4,0.83,60.09,-14.06,-16.14
2013-01-12 00:00:00,-129.23,82.13,91.42,-1.11,-22.35,-57.4,0.83,60.25,-17.14,-7.41
2013-01-12 03:00:00,-155.57,98.43,108.49,-1.11,-22.35,-57.4,0.7,60.11,-19.48,-11.8
2013-01-12 06:00:00,-162.6,99.58,135.49,-1.11,-22.35,-57.4,0.6,58.98,-19.01,-32.17
2013-01-12 09:00:00,-157.75,-114.08,362.04,-1.11,-22.35,-57.4,1.11,60.48,-19.67,-51.27
2013-01-12 12:00:00,-153.23,-47.39,290.38,-1.11,-22.35,-57.4,1.12,60.5,-20.04,-50.48
2013-01-12 15:00:00,-144.95,97.7,123.38,-1.11,-22.35,-57.4,1.12,60.57,-13.86,-43.1
2013-01-12 18:00:00,-143.55,129.48,68.78,-1.11,-22.35,-57.4,1.12,60.52,-9.73,-25.76
2013-01-12 21:00:00,-121.1,108.16,52.19,-1.11,-22.35,-57.4,1.12,60.46,-6.14,-13.83
2013-01-13 00:00:00,-114.24,108.96,34.35,-1.11,-22.35,-57.4,1.16,62.03,-5.45,-5.97
2013-01-13 03:00:00,-129.27,132.52,27.14,-1.11,-22.35,-57.4,1.19,62.04,-6.92,-5.84
2013-01-13 06:00:00,-130.79,135.72,38.85,-1.11,-22.35,-57.4,1.21,62.1,-9.04,-17.19
2013-01-13 09:00:00,-139.04,-20.94,227.92,-1.11,-22.35,-57.4,1.22,62.18,-8.45,-42.02
2013-01-13 12:00:00,-143.62,22.22,192.64,-1.11,-22.35,-57.4,1.3,62.17,-3.93,-49.93
2013-01-13 15:00:00,-141.94,126.23,84.93,-1.11,-22.35,-57.4,1.3,62.16,-1.99,-49.83
2013-01-13 18:00:00,-140.38,149.2,41.62,-1.11,-22.35,-57.4,1.3,62.11,-1.0,-31.98
2013-01-13 21:00:00,-129.81,122.86,37.86,-1.11,-22.35,-57.4,1.3,62.0,-1.29,-12.06
2013-01-14 00:00:00,-129.25,112.88,48.1,-1.11,-22.35,-57.4,1.3,61.84,-8.05,-5.96
2013-01-14 03:00:00,-140.99,141.25,63.28,-1.11,-22.35,-57.4,1.3,61.53,-17.45,-28.06
2013-01-14 06:00:00,-148.55,150.35,90.31,-1.11,-22.35,-57.4,1.35,60.53,-18.08,-55.05
2013-01-14 09:00:00,-153.25,-43.85,286.08,-1.11,-22.35,-57.4,1.34,59.58,-22.27,-46.77
2013-01-14 12:00:00,-160.35,-41.85,306.26,-1.11,-22.35,-57.4,1.25,59.64,-32.8,-51.29
2013-01-14 15:00:00,-164.09,60.84,219.97,-1.11,-22.35,-57.4,1.26,60.13,-40.94,-56.31
2013-01-14 18:00:00,-164.47,40.22,221.68,-1.11,-22.35,-57.4,1.14,58.2,-48.99,-26.92
2013-01-14 21:00:00,-154.96,41.48,192.2,-1.11,-22.35,-57.4,1.14,59.03,-47.52,-10.51
2013-01-15 00:00:00,-147.98,52.18,151.73,-1.11,-22.35,-57.4,1.14,59.66,-30.55,-5.32
2013-01-15 03:00:00,-147.18,105.11,107.55,-1.11,-22.35,-57.4,1.17,60.69,-21.46,-25.04
2013-01-15 06:00:00,-134.44,153.2,71.59,-1.11,-22.35,-57.4,1.32,62.02,-18.41,-54.44
2013-01-15 09:00:00,-131.23,-7.28,218.42,-1.11,-22.35,-57.4,1.25,61.96,-17.44,-44.83
2013-01-15 12:00:00,-130.62,-2.73,213.14,-1.11,-22.35,-57.4,1.36,61.97,-10.57,-51.68
