snapshot,DAC,Fischer-Tropsch,SMR CC,Sabatier,co2 stored,gas for industry CC,process emissions CC,solid biomass for industry CC,urban central gas CHP CC,urban central solid biomass CHP CC
2013-01-01 00:00:00,3.34,-28.98,4.88,-32.28,-16.41,6.05,14.19,24.05,0.0,25.16
2013-01-01 03:00:00,3.34,-30.68,4.88,-29.96,-17.16,6.05,14.19,24.05,0.0,25.28
2013-01-01 06:00:00,3.34,-31.11,4.86,-28.89,-17.83,6.05,14.19,24.05,0.0,25.33
2013-01-01 09:00:00,3.34,-30.09,4.62,-28.2,-18.88,6.05,14.19,24.05,0.0,24.92
2013-01-01 12:00:00,3.34,-29.82,5.27,-26.02,-22.19,6.05,14.19,24.05,0.0,25.13
2013-01-01 15:00:00,3.34,-29.54,10.04,-23.39,-30.13,6.05,14.19,24.05,0.0,25.38
2013-01-01 18:00:00,3.08,-28.73,10.15,-20.44,-33.72,6.05,14.19,24.05,0.0,25.38
2013-01-01 21:00:00,3.08,-26.72,10.22,-17.88,-38.23,6.05,14.19,24.05,0.0,25.25
2013-01-02 00:00:00,3.08,-26.6,10.3,-16.18,-40.24,6.05,14.19,24.05,0.0,25.35
2013-01-02 03:00:00,3.08,-29.12,10.7,-14.62,-39.83,6.05,14.19,24.05,0.0,25.5
2013-01-02 06:00:00,3.08,-29.35,10.79,-14.73,-39.6,6.05,14.19,24.05,0.0,25.52
2013-01-02 09:00:00,3.34,-29.69,10.76,-19.58,-34.49,6.05,14.19,24.05,0.0,25.37
2013-01-02 12:00:00,3.34,-30.43,10.76,-21.71,-31.68,6.05,14.19,24.05,0.0,25.43
2013-01-02 15:00:00,3.34,-29.77,10.81,-22.46,-31.67,6.05,14.19,24.05,0.0,25.46
2013-01-02 18:00:00,3.34,-29.74,10.77,-23.05,-31.06,6.05,14.19,24.05,0.0,25.46
2013-01-02 21:00:00,3.34,-28.37,10.68,-23.16,-32.03,6.05,14.19,24.05,0.0,25.25
2013-01-03 00:00:00,3.34,-28.32,10.57,-22.0,-33.0,6.05,14.19,24.05,0.0,25.12
2013-01-03 03:00:00,3.34,-29.58,10.43,-20.47,-33.14,6.05,14.19,24.05,0.0,25.13
2013-01-03 06:00:00,3.34,-29.44,10.12,-19.41,-34.04,6.05,14.19,24.05,0.0,25.14
2013-01-03 09:00:00,3.34,-28.91,9.45,-18.32,-34.11,6.05,14.19,24.05,0.0,24.26
2013-01-03 12:00:00,3.34,-28.65,9.48,-15.25,-37.33,6.05,14.19,24.05,0.0,24.12
2013-01-03 15:00:00,3.34,-27.59,9.48,-12.82,-41.01,6.05,14.19,24.05,0.0,24.31
2013-01-03 18:00:00,3.07,-27.85,9.46,-14.17,-39.08,6.05,14.19,24.05,0.0,24.27
2013-01-03 21:00:00,3.07,-27.28,9.35,-16.76,-35.64,6.05,14.19,24.05,0.0,22.97
2013-01-04 00:00:00,3.07,-27.13,9.31,-17.43,-34.04,6.05,14.19,24.05,0.0,21.91
2013-01-04 03:00:00,3.07,-28.27,9.28,-16.98,-34.44,6.05,14.19,24.05,0.0,23.04
2013-01-04 06:00:00,3.07,-27.59,9.57,-16.06,-36.41,6.05,14.19,24.05,0.0,23.13
2013-01-04 09:00:00,3.34,-27.82,10.15,-15.68,-35.67,6.05,14.19,24.05,0.0,21.38
2013-01-04 12:00:00,3.34,-26.99,10.61,-15.92,-36.69,6.05,14.19,24.05,0.0,21.35
2013-01-04 15:00:00,3.08,-26.51,10.66,-13.38,-40.28,6.05,14.19,24.05,0.0,22.14
2013-01-04 18:00:00,3.07,-27.23,10.57,-12.52,-40.37,6.05,14.19,24.05,0.0,22.18
2013-01-04 21:00:00,3.07,-25.35,10.54,-12.81,-41.29,6.05,14.19,24.05,0.0,21.55
2013-01-05 00:00:00,3.07,-24.68,10.51,-12.72,-41.87,6.05,14.19,24.05,0.0,21.38
2013-01-05 03:00:00,3.07,-27.24,10.7,-11.55,-41.64,6.05,14.19,24.05,0.0,22.36
