snapshot,DAC,OCGT,SMR,SMR CC,agriculture machinery oil emissions,biogas to gas,co2,gas for industry CC,oil emissions,process emissions CC,residential rural gas boiler,residential urban decentral gas boiler,services rural gas boiler,services urban decentral gas boiler,solid biomass for industry CC,urban central gas CHP,urban central gas CHP CC,urban central gas boiler,urban central solid biomass CHP CC
2013-01-01 00:00:00,-3.34,0.0,0.01,0.54,2.67,-7.89,20.84,0.67,27.66,1.58,0.0,0.59,0.04,0.73,-24.05,4.36,0.0,0.75,-25.16
2013-01-01 03:00:00,-3.34,0.0,0.01,0.54,2.67,-7.89,7.32,0.67,27.66,1.58,0.86,3.72,0.38,1.3,-24.05,6.84,0.0,7.01,-25.28
2013-01-01 06:00:00,-3.34,0.0,0.01,0.54,2.67,-7.89,12.02,0.67,27.66,1.58,1.03,3.82,0.36,1.28,-24.05,1.15,0.0,7.82,-25.33
2013-01-01 09:00:00,-3.34,0.0,0.01,0.51,2.67,-7.89,17.44,0.67,27.66,1.58,0.51,2.82,0.17,0.92,-24.05,0.0,0.0,5.25,-24.92
2013-01-01 12:00:00,-3.34,0.0,0.01,0.59,2.67,-7.89,18.6,0.67,27.66,1.58,0.45,2.44,0.09,0.71,-24.05,0.33,0.0,4.61,-25.13
2013-01-01 15:00:00,-3.34,0.0,0.05,1.12,2.67,-7.89,8.4,0.67,27.66,1.58,0.89,3.64,0.09,0.81,-24.05,8.29,0.0,4.8,-25.38
2013-01-01 18:00:00,-3.08,0.0,0.05,1.13,2.67,-7.89,8.3,0.67,27.66,1.58,0.82,3.81,0.01,0.66,-24.05,8.3,0.0,4.74,-25.38
2013-01-01 21:00:00,-3.08,0.0,0.05,1.14,2.67,-7.89,19.52,0.67,27.66,1.58,0.0,0.81,0.0,0.32,-24.05,5.38,0.0,0.46,-25.25
2013-01-02 00:00:00,-3.08,0.0,0.05,1.14,2.67,-7.89,21.6,0.67,27.66,1.58,0.0,0.41,0.02,0.57,-24.05,3.62,0.0,0.36,-25.35
2013-01-02 03:00:00,-3.08,0.0,0.05,1.19,2.67,-7.89,4.25,0.67,27.66,1.58,0.62,4.7,0.43,2.33,-24.05,8.29,0.0,6.09,-25.5
2013-01-02 06:00:00,-3.08,0.0,0.07,1.2,2.67,-7.89,4.29,0.67,27.66,1.58,0.8,5.28,0.4,2.27,-24.05,6.94,0.0,6.7,-25.52
2013-01-02 09:00:00,-3.34,0.0,0.07,1.2,2.67,-7.89,14.45,0.67,27.66,1.58,0.3,3.28,0.11,1.2,-24.05,2.06,0.0,5.38,-25.37
2013-01-02 12:00:00,-3.34,0.0,0.07,1.2,2.67,-7.89,13.58,0.67,27.66,1.58,0.27,2.68,0.06,0.79,-24.05,6.03,0.0,3.45,-25.43
2013-01-02 15:00:00,-3.34,0.0,0.09,1.2,2.67,-7.89,7.53,0.67,27.66,1.58,0.61,4.01,0.05,0.88,-24.05,8.59,0.0,5.2,-25.46
2013-01-02 18:00:00,-3.34,0.0,0.09,1.2,2.67,-7.89,8.03,0.67,27.66,1.58,0.51,4.25,0.0,0.64,-24.05,8.58,0.0,4.86,-25.46
2013-01-02 21:00:00,-3.34,0.0,0.09,1.19,2.67,-7.89,22.13,0.67,27.66,1.58,0.0,0.65,0.0,0.26,-24.05,3.12,0.0,0.52,-25.25
2013-01-03 00:00:00,-3.34,0.0,0.09,1.17,2.67,-7.89,23.06,0.67,27.66,1.58,0.0,0.31,0.0,0.52,-24.05,2.27,0.0,0.39,-25.12
2013-01-03 03:00:00,-3.34,0.0,0.09,1.16,2.67,-7.89,6.39,0.67,27.66,1.58,0.45,3.58,0.33,1.64,-24.05,9.22,0.0,4.98,-25.13
2013-01-03 06:00:00,-3.34,0.0,0.09,1.12,2.67,-7.89,8.22,0.67,27.66,1.58,0.46,3.77,0.28,1.52,-24.05,5.59,0.0,6.8,-25.14
2013-01-03 09:00:00,-3.34,0.0,0.08,1.05,2.67,-7.89,18.85,0.67,27.66,1.58,0.08,1.88,0.03,0.65,-24.05,1.19,0.0,3.15,-24.26
2013-01-03 12:00:00,-3.34,0.0,0.08,1.05,2.67,-7.89,20.36,0.67,27.66,1.58,0.08,1.53,0.01,0.43,-24.05,1.19,0.0,2.1,-24.12
2013-01-03 15:00:00,-3.34,0.1,0.08,1.05,2.67,-7.89,3.66,0.67,27.66,1.58,0.32,2.37,0.01,0.47,-24.05,15.25,0.0,3.68,-24.31
2013-01-03 18:00:00,-3.07,0.1,0.08,1.05,2.67,-7.89,2.43,0.67,27.66,1.58,0.19,2.48,0.0,0.33,-24.05,15.61,0.0,4.44,-24.27
2013-01-03 21:00:00,-3.07,0.1,0.08,1.04,2.67,-7.89,13.45,0.67,27.66,1.58,0.0,0.23,0.0,0.11,-24.05,9.56,0.0,0.84,-22.97
2013-01-04 00:00:00,-3.07,0.1,0.08,1.03,2.67,-7.89,12.61,0.67,27.66,1.58,0.0,0.06,0.0,0.18,-24.05,9.53,0.0,0.75,-21.91
2013-01-04 03:00:00,-3.07,0.1,0.08,1.03,2.67,-7.89,0.24,0.67,27.66,1.58,0.06,1.83,0.09,0.81,-24.05,16.14,0.0,5.1,-23.04
2013-01-04 06:00:00,-3.07,0.33,0.08,1.06,2.67,-7.89,3.09,0.67,27.66,1.58,0.01,1.83,0.03,0.67,-24.05,12.46,0.0,5.99,-23.13
2013-01-04 09:00:00,-3.34,0.72,0.08,1.13,2.67,-7.89,8.26,0.67,27.66,1.58,0.0,0.77,0.0,0.24,-24.05,10.9,0.0,1.98,-21.38
2013-01-04 12:00:00,-3.34,0.74,0.08,1.18,2.67,-7.89,9.56,0.67,27.66,1.58,0.0,0.51,0.0,0.12,-24.05,10.8,0.0,1.07,-21.35
2013-01-04 15:00:00,-3.08,0.77,0.08,1.18,2.67,-7.89,4.96,0.67,27.66,1.58,0.0,1.07,0.0,0.14,-24.05,13.57,0.0,2.81,-22.14
2013-01-04 18:00:00,-3.07,0.77,0.07,1.17,2.67,-7.89,3.83,0.67,27.66,1.58,0.0,1.21,0.0,0.09,-24.05,14.19,0.0,3.28,-22.18
2013-01-04 21:00:00,-3.07,0.77,0.07,1.17,2.67,-7.89,8.9,0.67,27.66,1.58,0.0,0.02,0.0,0.03,-24.05,12.23,0.0,0.78,-21.55
2013-01-05 00:00:00,-3.07,0.77,0.08,1.17,2.67,-7.89,9.24,0.67,27.66,1.58,0.0,0.07,0.0,0.19,-24.05,11.43,0.0,0.88,-21.38
2013-01-05 03:00:00,-3.07,0.2,0.08,1.19,2.67,-7.89,0.63,0.67,27.66,1.58,0.08,1.33,0.05,0.63,-24.05,15.15,0.0,5.46,-22.36
2013-01-05 06:00:00,-3.07,0.4,0.21,1.28,2.67,-7.89,1.38,0.67,27.66,1.58,0.03,1.78,0.01,0.57,-24.05,15.44,0.0,5.17,-23.83
2013-01-05 09:00:00,-3.34,0.1,0.21,1.36,2.67,-7.89,7.3,0.67,27.66,1.58,0.01,0.95,0.0,0.25,-24.05,12.98,0.0,1.7,-22.16
2013-01-05 12:00:00,-3.34,0.1,0.21,1.39,2.67,-7.89,8.17,0.67,27.66,1.58,0.03,0.8,0.01,0.2,-24.05,12.4,0.0,2.17,-22.78
2013-01-05 15:00:00,-3.32,0.1,0.21,1.41,2.67,-7.89,3.56,0.67,27.66,1.58,0.07,1.37,0.02,0.27,-24.05,15.73,0.0,4.13,-24.18
2013-01-05 18:00:00,-3.06,0.1,0.21,1.41,2.67,-7.89,2.97,0.67,27.66,1.58,0.06,1.48,0.02,0.23,-24.05,15.73,0.0,4.8,-24.59
2013-01-05 21:00:00,-3.06,0.1,0.21,1.51,2.67,-7.89,11.66,0.67,27.66,1.58,0.02,0.12,0.01,0.14,-24.05,12.68,0.0,1.23,-25.26
2013-01-06 00:00:00,-3.06,0.1,0.21,1.53,2.67,-7.89,12.36,0.67,27.66,1.58,0.02,0.33,0.06,0.56,-24.05,12.1,0.0,2.01,-26.85
2013-01-06 03:00:00,-2.88,0.1,0.21,1.56,2.67,-7.89,-1.43,0.67,27.66,1.58,0.55,3.25,0.29,1.6,-24.05,14.73,0.0,8.39,-27.01
2013-01-06 06:00:00,-2.87,0.1,0.21,1.61,2.67,-7.89,-2.31,0.67,27.66,1.58,0.55,3.92,0.15,1.3,-24.05,13.89,0.0,9.82,-27.02
2013-01-06 09:00:00,-3.18,0.1,0.21,1.64,2.67,-7.89,4.29,0.67,27.66,1.58,0.06,2.48,0.01,0.7,-24.05,13.3,0.0,5.88,-26.13
2013-01-06 12:00:00,-2.78,0.14,0.21,1.65,2.67,-7.89,2.36,0.67,27.66,1.58,0.05,2.23,0.01,0.59,-24.05,15.94,0.0,5.91,-26.94
2013-01-06 15:00:00,-2.78,0.78,0.21,1.67,2.67,-7.89,-15.16,0.67,27.66,1.58,0.4,3.85,0.02,1.12,-24.05,28.73,0.0,7.55,-27.03
2013-01-06 18:00:00,-2.53,0.78,0.21,1.66,2.67,-7.89,-21.1,0.67,27.66,1.58,0.29,4.42,0.01,1.24,-24.05,31.77,0.0,9.63,-27.03
2013-01-06 21:00:00,-2.53,1.11,0.21,1.66,2.67,-7.89,-7.19,0.67,27.66,1.58,0.02,2.09,0.01,1.08,-24.05,25.26,0.0,4.24,-26.61
2013-01-07 00:00:00,-2.43,1.11,0.21,1.66,2.67,-7.89,-10.88,0.67,27.66,1.58,0.02,2.41,0.09,1.53,-24.05,28.23,0.0,4.44,-27.03
2013-01-07 03:00:00,-1.78,1.11,0.21,1.7,2.67,-7.89,-41.11,0.67,27.66,1.58,1.16,6.67,0.55,3.03,-24.05,43.04,0.0,11.8,-27.03
2013-01-07 06:00:00,-2.34,1.11,0.22,1.7,2.67,-7.89,-46.69,0.67,27.66,1.58,1.4,7.8,0.53,3.17,-24.05,46.58,0.0,12.91,-27.03
2013-01-07 09:00:00,-2.92,1.54,0.22,1.68,2.67,-7.89,-27.88,0.67,27.66,1.58,0.82,6.04,0.24,2.31,-24.05,35.88,0.0,7.49,-26.06
2013-01-07 12:00:00,-2.92,1.94,0.23,1.7,2.67,-7.89,-26.38,0.67,27.66,1.58,0.72,5.78,0.14,2.06,-24.05,35.59,0.0,6.37,-25.87
2013-01-07 15:00:00,-2.18,1.12,0.26,1.71,2.67,-7.89,-50.01,0.67,27.66,1.58,1.16,9.08,0.14,3.26,-24.05,52.42,0.0,9.42,-27.03
2013-01-07 18:00:00,-2.22,0.86,0.26,1.71,2.67,-7.89,-48.56,0.67,27.66,1.58,1.14,9.56,0.02,3.28,-24.05,49.92,0.0,10.42,-27.03
2013-01-07 21:00:00,-2.66,0.8,0.26,1.69,2.67,-7.89,-34.07,0.67,27.66,1.58,0.0,7.74,0.0,3.16,-24.05,44.81,0.0,4.66,-27.03
2013-01-08 00:00:00,-3.06,0.8,0.26,1.69,2.67,-7.89,-35.64,0.67,27.66,1.58,0.0,8.25,0.15,3.66,-24.05,44.45,0.0,5.84,-27.03
2013-01-08 03:00:00,-3.04,0.8,0.26,1.69,2.67,-7.89,-54.75,0.67,27.66,1.58,1.36,10.7,0.64,4.12,-24.05,49.59,0.0,15.03,-27.03
2013-01-08 06:00:00,-2.91,0.8,0.27,1.7,2.67,-7.89,-54.86,0.67,27.66,1.58,1.59,10.58,0.61,4.0,-24.05,48.85,0.0,15.75,-27.03
2013-01-08 09:00:00,-3.23,0.79,0.27,1.7,2.67,-7.89,-37.24,0.67,27.66,1.58,1.06,9.64,0.31,3.62,-24.05,38.47,0.0,11.0,-27.03
2013-01-08 12:00:00,-2.92,1.11,0.27,1.72,2.67,-7.89,-36.78,0.67,27.66,1.58,0.96,8.94,0.24,3.28,-24.05,40.08,0.0,9.49,-27.03
2013-01-08 15:00:00,-2.51,1.22,0.27,1.74,2.67,-7.89,-53.12,0.67,27.66,1.58,1.37,9.71,0.24,3.43,-24.05,50.66,0.0,13.4,-27.03
2013-01-08 18:00:00,-2.5,1.23,0.27,1.74,2.67,-7.89,-52.24,0.67,27.66,1.58,1.41,9.67,0.14,3.31,-24.05,48.59,0.0,14.76,-27.03
2013-01-08 21:00:00,-2.42,1.23,0.27,1.75,2.67,-7.89,-42.55,0.67,27.66,1.58,0.26,8.5,0.07,3.31,-24.05,46.76,0.0,9.22,-27.03
2013-01-09 00:00:00,-2.0,1.23,0.27,1.75,2.67,-7.89,-40.81,0.67,27.66,1.58,0.32,8.04,0.13,3.52,-24.05,44.86,0.0,9.09,-27.03
2013-01-09 03:00:00,-2.0,1.23,0.33,1.8,2.67,-7.89,-57.55,0.67,27.66,1.58,1.09,10.23,0.55,4.01,-24.05,51.0,0.0,15.69,-27.03
2013-01-09 06:00:00,-2.5,0.79,0.36,1.8,2.67,-7.89,-60.55,0.67,27.66,1.58,1.31,10.68,0.53,4.12,-24.05,51.13,0.0,18.72,-27.03
2013-01-09 09:00:00,-2.89,0.78,0.27,1.79,2.67,-7.89,-31.13,0.67,27.66,1.58,0.83,7.92,0.27,3.0,-24.05,32.06,0.0,13.49,-27.03
