snapshot,OCGT,SMR,SMR CC,Sabatier,biogas to gas,gas,gas for industry CC,residential rural gas boiler,residential urban decentral gas boiler,services rural gas boiler,services urban decentral gas boiler,urban central gas CHP,urban central gas CHP CC,urban central gas boiler
2013-01-01 00:00:00,-0.0,-0.06,-27.1,161.39,39.45,-107.76,-33.6,-0.0,-2.95,-0.2,-3.64,-21.78,-0.01,-3.75
2013-01-01 03:00:00,-0.0,-0.06,-27.11,149.78,39.45,-27.89,-33.6,-4.3,-18.62,-1.89,-6.52,-34.21,-0.01,-35.04
2013-01-01 06:00:00,-0.0,-0.06,-27.0,144.43,39.45,-45.89,-33.6,-5.16,-19.09,-1.82,-6.4,-5.74,-0.01,-39.12
2013-01-01 09:00:00,-0.0,-0.06,-25.64,141.0,39.45,-72.85,-33.6,-2.57,-14.08,-0.83,-4.58,-0.0,-0.0,-26.23
2013-01-01 12:00:00,-0.0,-0.06,-29.28,130.12,39.45,-63.49,-33.6,-2.24,-12.2,-0.45,-3.56,-1.65,-0.01,-23.04
2013-01-01 15:00:00,-0.0,-0.27,-55.79,116.93,39.45,25.87,-33.6,-4.43,-18.19,-0.45,-4.03,-41.47,-0.01,-24.0
2013-01-01 18:00:00,-0.0,-0.27,-56.38,102.21,39.45,40.29,-33.6,-4.1,-19.07,-0.03,-3.28,-41.51,-0.01,-23.69
2013-01-01 21:00:00,-0.0,-0.27,-56.76,89.42,39.45,-3.36,-33.6,-0.0,-4.07,-0.0,-1.6,-26.88,-0.01,-2.32
2013-01-02 00:00:00,-0.0,-0.27,-57.22,80.9,39.45,-4.32,-33.6,-0.0,-2.04,-0.12,-2.87,-18.1,-0.01,-1.79
2013-01-02 03:00:00,-0.0,-0.27,-59.45,73.09,39.45,93.05,-33.6,-3.12,-23.48,-2.16,-11.65,-41.43,-0.01,-30.43
2013-01-02 06:00:00,-0.0,-0.37,-59.96,73.66,39.45,92.8,-33.6,-4.0,-26.41,-2.01,-11.35,-34.7,-0.01,-33.5
2013-01-02 09:00:00,-0.0,-0.37,-59.78,97.92,39.45,18.11,-33.6,-1.52,-16.41,-0.57,-6.0,-10.31,-0.01,-26.92
