snapshot,BEV charger,V2G,agriculture electricity,electricity,electricity distribution grid,home battery charger,home battery discharger,industry electricity,residential rural ground heat pump,residential rural resistive heater,residential urban decentral air heat pump,residential urban decentral resistive heater,services rural ground heat pump,services rural resistive heater,services urban decentral air heat pump,services urban decentral resistive heater,solar rooftop,urban central air heat pump,urban central resistive heater
2013-01-01 00:00:00,-157.22,1.79,-5.12,-152.86,658.89,-0.02,0.01,-194.35,-18.85,0.0,-32.55,-0.03,-15.74,0.0,-15.63,-0.53,0.0,-51.61,-16.18
2013-01-01 03:00:00,-113.15,2.47,-5.12,-118.17,663.92,-0.02,0.02,-194.35,-30.02,-2.64,-43.35,-11.48,-18.42,-3.48,-18.33,-9.35,0.0,-52.7,-45.82
2013-01-01 06:00:00,-153.11,0.54,-5.12,-119.28,711.36,-0.02,0.02,-194.35,-31.15,-4.49,-44.87,-17.52,-18.39,-3.29,-18.34,-9.65,17.37,-53.39,-56.31
2013-01-01 09:00:00,-275.86,0.35,-5.12,-149.54,770.23,-0.02,0.01,-194.35,-29.51,-1.07,-43.8,-7.0,-17.43,-0.53,-17.64,-2.83,77.02,-53.39,-49.52
2013-01-01 12:00:00,-246.28,0.32,-5.12,-157.28,748.68,-0.03,0.01,-194.35,-28.95,-0.46,-42.89,-4.4,-16.89,-0.1,-16.84,-1.23,58.0,-53.39,-38.82
2013-01-01 15:00:00,-79.01,2.28,-5.12,-177.33,653.55,-0.01,0.02,-194.35,-30.37,-2.4,-44.43,-7.74,-16.88,-0.08,-17.04,-1.22,5.18,-53.39,-31.66
2013-01-01 18:00:00,-53.93,1.49,-5.12,-182.1,641.25,-0.01,0.02,-194.35,-30.59,-2.87,-45.11,-10.45,-16.2,-0.01,-16.62,-0.79,0.0,-53.06,-31.53
2013-01-01 21:00:00,-52.17,0.76,-5.12,-170.06,579.61,-0.01,0.01,-194.35,-21.51,0.0,-37.4,-0.53,-14.57,0.0,-14.76,-0.24,0.0,-51.32,-18.32
2013-01-02 00:00:00,-44.05,0.67,-5.12,-144.59,544.0,-0.01,0.01,-194.35,-18.68,0.0,-33.91,-0.21,-15.84,-0.01,-16.7,-1.12,0.0,-49.51,-20.57
2013-01-02 03:00:00,-28.81,2.7,-5.12,-134.41,579.14,-0.01,0.02,-194.35,-30.36,-1.72,-43.52,-10.63,-18.73,-2.47,-18.11,-7.77,0.0,-52.86,-32.97
2013-01-02 06:00:00,-53.39,13.69,-5.12,-185.25,632.83,-0.01,0.02,-194.35,-31.74,-1.96,-45.01,-12.8,-18.75,-2.0,-18.33,-7.19,15.07,-53.39,-32.32
2013-01-02 09:00:00,-206.63,16.87,-5.12,-215.23,723.49,-0.02,0.01,-194.35,-29.62,-0.5,-43.81,-7.3,-17.62,-0.36,-17.78,-3.09,84.63,-53.21,-30.37
2013-01-02 12:00:00,-173.42,21.57,-5.12,-214.62,691.83,-0.02,0.01,-194.35,-28.92,-0.28,-42.81,-5.47,-17.02,-0.1,-17.14,-1.65,64.43,-52.69,-24.23
2013-01-02 15:00:00,-45.88,16.08,-5.12,-228.75,654.13,-0.01,0.02,-194.35,-30.75,-1.19,-43.59,-8.62,-17.01,-0.09,-17.12,-1.66,6.75,-52.58,-30.25
2013-01-02 18:00:00,-40.32,2.96,-5.12,-218.26,662.44,-0.01,0.01,-194.35,-31.04,-1.42,-43.95,-10.07,-16.26,-0.03,-16.7,-1.13,0.0,-52.99,-33.75
2013-01-02 21:00:00,-90.91,1.06,-5.12,-193.09,634.73,-0.02,0.01,-194.35,-21.21,-0.0,-37.1,-0.62,-14.63,-0.0,-14.98,-0.27,0.0,-50.74,-12.76
2013-01-03 00:00:00,-128.74,0.51,-5.12,-165.15,626.31,-0.01,0.01,-194.35,-17.16,-0.0,-29.78,-0.09,-15.0,-0.02,-14.32,-0.75,0.0,-48.61,-7.73
2013-01-03 03:00:00,-118.51,0.44,-5.12,-154.83,671.0,-0.01,0.01,-194.35,-27.91,-0.98,-38.92,-7.72,-17.78,-1.54,-16.3,-5.77,0.0,-51.7,-30.0
2013-01-03 06:00:00,-165.4,0.55,-5.12,-204.87,757.21,-0.01,0.02,-194.35,-29.2,-1.34,-40.22,-9.27,-17.76,-1.31,-16.4,-5.29,16.13,-51.41,-31.96
2013-01-03 09:00:00,-227.84,2.48,-5.12,-228.83,766.85,-0.02,0.01,-194.35,-27.1,-0.88,-38.38,-7.69,-16.62,-0.66,-15.34,-3.42,84.5,-50.76,-36.82
2013-01-03 12:00:00,-218.83,0.41,-5.12,-225.37,762.54,-0.02,0.01,-194.35,-26.47,-0.71,-37.37,-5.59,-16.05,-0.44,-14.64,-2.01,67.76,-51.47,-32.28
2013-01-03 15:00:00,-86.64,7.85,-5.12,-237.53,690.51,-0.01,0.02,-194.35,-28.21,-1.4,-38.68,-7.77,-16.05,-0.44,-14.65,-1.95,7.44,-41.37,-31.64
2013-01-03 18:00:00,-59.16,8.14,-5.12,-225.43,654.94,-0.01,0.01,-194.35,-28.48,-1.62,-39.34,-8.77,-15.32,-0.33,-14.31,-1.33,0.0,-41.41,-28.11
2013-01-03 21:00:00,-80.57,4.59,-5.12,-196.57,608.69,-0.01,0.01,-194.35,-19.33,-0.29,-32.0,-0.7,-13.89,-0.28,-12.76,-0.5,0.0,-36.9,-20.01
2013-01-04 00:00:00,-98.57,2.77,-5.12,-165.94,587.58,-0.01,0.01,-194.35,-15.67,-0.28,-27.01,-0.32,-14.15,-0.29,-13.34,-0.73,0.0,-35.27,-19.28
2013-01-04 03:00:00,-76.69,2.5,-5.12,-157.32,606.76,-0.01,0.01,-194.35,-25.62,-1.07,-38.25,-5.46,-16.99,-1.25,-16.28,-4.29,0.0,-39.93,-26.61
2013-01-04 06:00:00,-105.43,8.81,-5.12,-207.6,676.5,-0.01,0.01,-194.35,-26.94,-1.3,-40.15,-6.83,-16.98,-1.16,-16.47,-4.19,15.14,-41.8,-32.12
2013-01-04 09:00:00,-229.63,2.84,-5.12,-231.05,753.74,-0.02,0.01,-194.35,-24.6,-0.68,-37.88,-3.2,-15.66,-0.51,-15.08,-1.47,75.98,-39.86,-33.46
2013-01-04 12:00:00,-240.73,0.98,-5.12,-224.94,762.69,-0.02,0.01,-194.35,-24.02,-0.55,-36.65,-1.97,-15.11,-0.34,-14.13,-0.73,63.48,-39.39,-29.11
2013-01-04 15:00:00,-86.39,1.86,-5.12,-235.33,678.03,-0.01,0.01,-194.35,-25.92,-0.88,-38.54,-3.88,-15.1,-0.25,-14.27,-0.64,7.44,-40.07,-26.59
2013-01-04 18:00:00,-71.28,6.68,-5.12,-222.42,652.12,-0.01,0.01,-194.35,-26.03,-0.95,-39.43,-5.06,-14.46,-0.16,-13.82,-0.45,0.0,-39.95,-25.3
2013-01-04 21:00:00,-70.69,7.73,-5.12,-195.99,580.54,-0.01,0.01,-194.35,-17.61,-0.07,-30.3,-0.25,-13.31,-0.07,-12.2,-0.21,0.0,-35.02,-13.07
2013-01-05 00:00:00,-69.84,3.53,-5.12,-160.89,555.5,-0.01,0.01,-194.35,-16.14,-0.04,-27.73,-0.32,-15.08,-0.17,-14.65,-1.64,0.0,-33.94,-19.12
