snapshot,Fischer-Tropsch,agriculture machinery oil,kerosene for aviation,naphtha for industry,oil
2013-01-01 00:00:00,107.33,-9.89,-69.89,-37.42,9.87
2013-01-01 03:00:00,113.62,-9.89,-69.89,-37.42,3.58
2013-01-01 06:00:00,115.24,-9.89,-69.89,-37.42,1.96
2013-01-01 09:00:00,111.44,-9.89,-69.89,-37.42,5.76
2013-01-01 12:00:00,110.44,-9.89,-69.89,-37.42,6.76
2013-01-01 15:00:00,109.41,-9.89,-69.89,-37.42,7.79
2013-01-01 18:00:00,106.42,-9.89,-69.89,-37.42,10.78
2013-01-01 21:00:00,98.97,-9.89,-69.89,-37.42,18.23
2013-01-02 00:00:00,98.52,-9.89,-69.89,-37.42,18.67
2013-01-02 03:00:00,107.85,-9.89,-69.89,-37.42,9.35
2013-01-02 06:00:00,108.7,-9.89,-69.89,-37.42,8.5
2013-01-02 09:00:00,109.96,-9.89,-69.89,-37.42,7.24
2013-01-02 12:00:00,112.71,-9.89,-69.89,-37.42,4.49
2013-01-02 15:00:00,110.25,-9.89,-69.89,-37.42,6.95
2013-01-02 18:00:00,110.15,-9.89,-69.89,-37.42,7.05
2013-01-02 21:00:00,105.07,-9.89,-69.89,-37.42,12.13
2013-01-03 00:00:00,104.89,-9.89,-69.89,-37.42,12.31
2013-01-03 03:00:00,109.55,-9.89,-69.89,-37.42,7.64
2013-01-03 06:00:00,109.05,-9.89,-69.89,-37.42,8.15
2013-01-03 09:00:00,107.09,-9.89,-69.89,-37.42,10.11
2013-01-03 12:00:00,106.1,-9.89,-69.89,-37.42,11.1
2013-01-03 15:00:00,102.17,-9.89,-69.89,-37.42,15.03
2013-01-03 18:00:00,103.14,-9.89,-69.89,-37.42,14.06
2013-01-03 21:00:00,101.04,-9.89,-69.89,-37.42,16.16
2013-01-04 00:00:00,100.47,-9.89,-69.89,-37.42,16.72
2013-01-04 03:00:00,104.69,-9.89,-69.89,-37.42,12.5
2013-01-04 06:00:00,102.18,-9.89,-69.89,-37.42,15.02
2013-01-04 09:00:00,103.02,-9.89,-69.89,-37.42,14.18
2013-01-04 12:00:00,99.95,-9.89,-69.89,-37.42,17.25
2013-01-04 15:00:00,98.18,-9.89,-69.89,-37.42,19.02
2013-01-04 18:00:00,100.85,-9.89,-69.89,-37.42,16.35
2013-01-04 21:00:00,93.89,-9.89,-69.89,-37.42,23.31
2013-01-05 00:00:00,91.4,-9.89,-69.89,-37.42,25.8
2013-01-05 03:00:00,100.89,-9.89,-69.89,-37.42,16.3
2013-01-05 06:00:00,101.0,-9.89,-69.89,-37.42,16.2
2013-01-05 09:00:00,90.25,-9.89,-69.89,-37.42,26.95
2013-01-05 12:00:00,92.75,-9.89,-69.89,-37.42,24.45
2013-01-05 15:00:00,95.02,-9.89,-69.89,-37.42,22.18
2013-01-05 18:00:00,99.82,-9.89,-69.89,-37.42,17.38
2013-01-05 21:00:00,82.95,-9.89,-69.89,-37.42,34.25
2013-01-06 00:00:00,79.84,-9.89,-69.89,-37.42,37.36
2013-01-06 03:00:00,96.58,-9.89,-69.89,-37.42,20.62
2013-01-06 06:00:00,95.03,-9.89,-69.89,-37.42,22.17
2013-01-06 09:00:00,92.83,-9.89,-69.89,-37.42,24.37
2013-01-06 12:00:00,91.45,-9.89,-69.89,-37.42,25.74
2013-01-06 15:00:00,85.86,-9.89,-69.89,-37.42,31.33
2013-01-06 18:00:00,87.47,-9.89,-69.89,-37.42,29.73
2013-01-06 21:00:00,77.39,-9.89,-69.89,-37.42,39.8
2013-01-07 00:00:00,75.13,-9.89,-69.89,-37.42,42.07
2013-01-07 03:00:00,89.54,-9.89,-69.89,-37.42,27.66
2013-01-07 06:00:00,99.22,-9.89,-69.89,-37.42,17.98
2013-01-07 09:00:00,98.73,-9.89,-69.89,-37.42,18.47
2013-01-07 12:00:00,95.07,-9.89,-69.89,-37.42,22.13
2013-01-07 15:00:00,85.39,-9.89,-69.89,-37.42,31.81
2013-01-07 18:00:00,92.25,-9.89,-69.89,-37.42,24.95
2013-01-07 21:00:00,81.46,-9.89,-69.89,-37.42,35.74
2013-01-08 00:00:00,81.97,-9.89,-69.89,-37.42,35.23
2013-01-08 03:00:00,96.6,-9.89,-69.89,-37.42,20.6
2013-01-08 06:00:00,101.52,-9.89,-69.89,-37.42,15.67
2013-01-08 09:00:00,95.5,-9.89,-69.89,-37.42,21.7
2013-01-08 12:00:00,89.34,-9.89,-69.89,-37.42,27.86
2013-01-08 15:00:00,74.75,-9.89,-69.89,-37.42,42.45
2013-01-08 18:00:00,76.52,-9.89,-69.89,-37.42,40.67
2013-01-08 21:00:00,69.18,-9.89,-69.89,-37.42,48.02
2013-01-09 00:00:00,67.19,-9.89,-69.89,-37.42,50.0
2013-01-09 03:00:00,81.98,-9.89,-69.89,-37.42,35.22
2013-01-09 06:00:00,83.55,-9.89,-69.89,-37.42,33.64
2013-01-09 09:00:00,76.95,-9.89,-69.89,-37.42,40.25
2013-01-09 12:00:00,75.03,-9.89,-69.89,-37.42,42.17
2013-01-09 15:00:00,76.27,-9.89,-69.89,-37.42,40.93
2013-01-09 18:00:00,74.64,-9.89,-69.89,-37.42,42.56
2013-01-09 21:00:00,65.62,-9.89,-69.89,-37.42,51.58
2013-01-10 00:00:00,66.09,-9.89,-69.89,-37.42,51.1
2013-01-10 03:00:00,78.39,-9.89,-69.89,-37.42,38.81
2013-01-10 06:00:00,79.63,-9.89,-69.89,-37.42,37.57
2013-01-10 09:00:00,84.47,-9.89,-69.89,-37.42,32.72
2013-01-10 12:00:00,84.25,-9.89,-69.89,-37.42,32.95
2013-01-10 15:00:00,88.47,-9.89,-69.89,-37.42,28.72
2013-01-10 18:00:00,91.05,-9.89,-69.89,-37.42,26.15
