snapshot,residential rural gas boiler,residential rural ground heat pump,residential rural heat,residential rural resistive heater,residential rural water tanks charger,residential rural water tanks discharger
2013-01-01 00:00:00,0.0,63.86,-63.85,0.0,-0.02,0.01
2013-01-01 03:00:00,4.21,101.68,-108.26,2.37,-0.02,0.01
2013-01-01 06:00:00,5.05,105.44,-114.53,4.04,-0.02,0.01
2013-01-01 09:00:00,2.51,99.92,-103.39,0.97,-0.03,0.02
2013-01-01 12:00:00,2.19,98.01,-100.6,0.41,-0.03,0.02
2013-01-01 15:00:00,4.35,102.78,-109.29,2.16,-0.03,0.02
2013-01-01 18:00:00,4.01,103.49,-110.08,2.58,-0.02,0.01
2013-01-01 21:00:00,0.0,72.73,-72.72,0.0,-0.02,0.01
2013-01-02 00:00:00,0.0,63.07,-63.06,0.0,-0.02,0.01
2013-01-02 03:00:00,3.05,102.51,-107.11,1.55,-0.02,0.01
2013-01-02 06:00:00,3.91,107.11,-112.78,1.76,-0.02,0.01
2013-01-02 09:00:00,1.49,99.93,-101.86,0.45,-0.02,0.01
2013-01-02 12:00:00,1.34,97.58,-99.17,0.25,-0.02,0.01
2013-01-02 15:00:00,3.01,103.72,-107.79,1.07,-0.02,0.01
2013-01-02 18:00:00,2.5,104.68,-108.46,1.28,-0.02,0.01
2013-01-02 21:00:00,0.0,71.47,-71.46,0.0,-0.02,0.01
2013-01-03 00:00:00,0.0,57.8,-57.79,0.0,-0.02,0.01
2013-01-03 03:00:00,2.21,94.09,-97.17,0.88,-0.02,0.02
2013-01-03 06:00:00,2.23,98.42,-101.85,1.2,-0.02,0.02
2013-01-03 09:00:00,0.4,91.28,-92.18,0.79,-0.95,0.67
2013-01-03 12:00:00,0.37,89.13,-89.85,0.64,-0.95,0.67
2013-01-03 15:00:00,1.57,95.01,-97.56,1.26,-0.95,0.67
2013-01-03 18:00:00,0.92,95.89,-98.0,1.45,-0.89,0.63
2013-01-03 21:00:00,0.0,64.99,-64.98,0.26,-0.91,0.64
2013-01-04 00:00:00,0.0,52.84,-52.84,0.26,-0.89,0.63
2013-01-04 03:00:00,0.29,86.47,-87.47,0.96,-0.87,0.61
2013-01-04 06:00:00,0.05,90.88,-91.9,1.17,-0.72,0.51
2013-01-04 09:00:00,0.0,82.95,-83.32,0.61,-0.84,0.59
2013-01-04 12:00:00,0.0,80.98,-81.22,0.49,-0.84,0.59
2013-01-04 15:00:00,0.01,87.37,-88.0,0.79,-0.58,0.41
2013-01-04 18:00:00,0.02,87.73,-88.45,0.85,-0.51,0.36
2013-01-04 21:00:00,0.0,59.28,-59.27,0.06,-0.24,0.17
2013-01-05 00:00:00,0.0,54.11,-54.1,0.03,-0.13,0.09
2013-01-05 03:00:00,0.41,89.14,-90.64,1.11,-0.06,0.04
2013-01-05 06:00:00,0.12,94.06,-95.26,1.1,-0.06,0.04
2013-01-05 09:00:00,0.07,85.61,-86.13,0.48,-0.09,0.06
2013-01-05 12:00:00,0.16,83.5,-83.9,0.27,-0.09,0.06
2013-01-05 15:00:00,0.34,89.98,-90.97,0.67,-0.07,0.05
2013-01-05 18:00:00,0.29,90.66,-91.65,0.7,-0.01,0.01
2013-01-05 21:00:00,0.11,60.99,-61.1,0.0,-0.01,0.01
2013-01-06 00:00:00,0.1,58.35,-58.44,0.0,-0.01,0.01
2013-01-06 03:00:00,2.69,94.74,-98.99,1.55,-0.01,0.0
2013-01-06 06:00:00,2.7,99.75,-104.03,1.58,-0.0,0.0
2013-01-06 09:00:00,0.29,93.02,-93.92,0.63,-0.05,0.03
2013-01-06 12:00:00,0.26,90.68,-91.47,0.54,-0.05,0.03
2013-01-06 15:00:00,1.98,96.02,-99.31,1.31,-0.0,0.0
2013-01-06 18:00:00,1.42,97.5,-99.99,1.07,-0.0,0.0
2013-01-06 21:00:00,0.1,66.16,-66.25,0.0,-0.0,0.0
2013-01-07 00:00:00,0.1,63.43,-63.52,0.0,-0.0,0.0
2013-01-07 03:00:00,5.69,98.31,-108.05,4.04,-0.0,0.0
2013-01-07 06:00:00,6.85,102.68,-113.11,3.58,-0.0,0.0
2013-01-07 09:00:00,4.03,97.04,-102.22,1.15,-0.0,0.0
2013-01-07 12:00:00,3.52,95.13,-99.65,1.01,-0.0,0.0
2013-01-07 15:00:00,5.69,99.67,-108.38,3.02,-0.0,0.0
2013-01-07 18:00:00,5.59,100.93,-108.66,2.14,-0.0,0.0
2013-01-07 21:00:00,0.0,71.39,-71.39,0.0,-0.01,0.0
2013-01-08 00:00:00,0.0,68.05,-68.13,0.09,-0.0,0.0
2013-01-08 03:00:00,6.64,101.73,-116.95,8.57,-0.0,0.0
2013-01-08 06:00:00,7.81,105.7,-122.21,8.7,-0.0,0.0
2013-01-08 09:00:00,5.21,100.56,-110.33,4.56,-0.0,0.0
2013-01-08 12:00:00,4.7,98.74,-107.57,4.13,-0.0,0.0
2013-01-08 15:00:00,6.7,102.95,-117.15,7.5,-0.0,0.0
