snapshot,residential urban decentral air heat pump,residential urban decentral gas boiler,residential urban decentral heat,residential urban decentral resistive heater,residential urban decentral solar thermal,residential urban decentral water tanks charger,residential urban decentral water tanks discharger
2013-01-01 00:00:00,72.79,2.89,-75.7,0.02,0.0,-0.02,0.01
2013-01-01 03:00:00,97.76,18.24,-126.33,10.33,0.0,-0.01,0.01
2013-01-01 06:00:00,101.07,18.71,-135.55,15.77,0.0,-0.01,0.0
2013-01-01 09:00:00,102.28,13.79,-122.38,6.3,0.0,-0.01,0.01
2013-01-01 12:00:00,102.92,11.95,-118.83,3.96,0.0,-0.01,0.01
2013-01-01 15:00:00,103.9,17.83,-128.69,6.97,0.0,-0.01,0.01
2013-01-01 18:00:00,102.32,18.69,-130.41,9.4,0.0,-0.01,0.0
2013-01-01 21:00:00,83.06,3.98,-87.51,0.48,0.0,-0.01,0.01
2013-01-02 00:00:00,74.21,1.99,-76.39,0.19,0.0,-0.01,0.01
2013-01-02 03:00:00,95.58,23.01,-128.17,9.57,0.0,-0.01,0.0
2013-01-02 06:00:00,99.33,25.88,-136.73,11.52,0.0,-0.0,0.0
2013-01-02 09:00:00,100.81,16.08,-123.47,6.57,0.01,-0.01,0.0
2013-01-02 12:00:00,101.88,13.14,-119.96,4.92,0.02,-0.01,0.0
2013-01-02 15:00:00,102.64,19.65,-130.06,7.76,0.0,-0.01,0.0
2013-01-02 18:00:00,101.72,20.83,-131.62,9.07,0.0,-0.01,0.0
2013-01-02 21:00:00,84.12,3.16,-87.84,0.56,0.0,-0.01,0.01
2013-01-03 00:00:00,66.1,1.51,-67.68,0.08,0.0,-0.02,0.01
2013-01-03 03:00:00,87.49,17.53,-111.96,6.95,0.0,-0.01,0.01
2013-01-03 06:00:00,91.6,18.46,-118.4,8.34,0.0,-0.01,0.01
2013-01-03 09:00:00,91.36,9.2,-107.25,6.92,0.02,-0.83,0.59
2013-01-03 12:00:00,92.1,7.49,-104.41,5.03,0.04,-0.85,0.6
2013-01-03 15:00:00,94.69,11.62,-113.07,6.99,0.01,-0.83,0.59
2013-01-03 18:00:00,94.22,12.17,-114.05,7.89,0.0,-0.78,0.55
2013-01-03 21:00:00,75.25,1.12,-76.74,0.63,0.0,-0.88,0.62
2013-01-04 00:00:00,63.03,0.3,-63.35,0.28,0.0,-0.86,0.61
2013-01-04 03:00:00,89.65,8.97,-103.33,4.92,0.0,-0.75,0.53
2013-01-04 06:00:00,94.77,8.96,-109.7,6.15,0.0,-0.61,0.43
2013-01-04 09:00:00,93.05,3.79,-99.51,2.88,0.01,-0.72,0.51
2013-01-04 12:00:00,92.78,2.51,-96.87,1.78,0.02,-0.73,0.51
2013-01-04 15:00:00,96.08,5.25,-104.67,3.49,0.0,-0.5,0.35
2013-01-04 18:00:00,95.33,5.92,-105.67,4.55,0.0,-0.46,0.32
2013-01-04 21:00:00,71.56,0.11,-71.82,0.22,0.0,-0.23,0.16
2013-01-05 00:00:00,64.87,0.36,-65.47,0.29,0.0,-0.12,0.08
2013-01-05 03:00:00,93.93,6.52,-108.29,7.86,0.0,-0.05,0.03
2013-01-05 06:00:00,99.17,8.73,-114.96,7.07,0.0,-0.04,0.03
2013-01-05 09:00:00,96.01,4.63,-103.97,3.34,0.01,-0.07,0.05
2013-01-05 12:00:00,94.7,3.91,-101.14,2.52,0.03,-0.07,0.05
2013-01-05 15:00:00,98.59,6.73,-109.39,4.08,0.01,-0.05,0.03
2013-01-05 18:00:00,98.33,7.24,-110.67,5.09,0.0,-0.01,0.0
2013-01-05 21:00:00,73.92,0.58,-74.71,0.22,0.0,-0.01,0.0
2013-01-06 00:00:00,68.31,1.63,-69.98,0.05,0.0,-0.01,0.0
2013-01-06 03:00:00,95.18,15.91,-116.77,5.69,0.0,-0.0,0.0
2013-01-06 06:00:00,100.24,19.2,-124.13,4.69,0.0,-0.0,0.0
2013-01-06 09:00:00,97.59,12.17,-112.1,2.34,0.02,-0.04,0.03
2013-01-06 12:00:00,96.5,10.91,-109.01,1.58,0.03,-0.04,0.03
2013-01-06 15:00:00,96.28,18.86,-118.03,2.88,0.0,-0.0,0.0
2013-01-06 18:00:00,94.67,21.65,-119.35,3.04,0.0,-0.0,0.0
2013-01-06 21:00:00,69.84,10.23,-80.22,0.15,0.0,-0.0,0.0
2013-01-07 00:00:00,63.05,11.79,-74.97,0.14,0.0,-0.0,0.0
2013-01-07 03:00:00,86.48,32.7,-125.57,6.38,0.0,-0.0,0.0
2013-01-07 06:00:00,88.82,38.24,-132.96,5.91,0.0,-0.0,0.0
2013-01-07 09:00:00,88.15,29.61,-120.21,2.43,0.02,-0.0,0.0
2013-01-07 12:00:00,86.85,28.32,-117.0,1.78,0.04,-0.0,0.0
2013-01-07 15:00:00,78.39,44.49,-126.89,4.0,0.01,-0.0,0.0
2013-01-07 18:00:00,77.06,46.86,-127.84,3.92,0.0,-0.0,0.0
2013-01-07 21:00:00,47.21,37.93,-85.26,0.12,0.0,-0.0,0.0
2013-01-08 00:00:00,38.24,40.42,-79.35,0.7,0.0,-0.0,0.0
2013-01-08 03:00:00,69.62,52.42,-134.24,12.2,0.0,-0.0,0.0
2013-01-08 06:00:00,76.61,51.85,-141.51,13.04,0.0,-0.0,0.0
2013-01-08 09:00:00,73.63,47.21,-127.85,6.99,0.02,-0.0,0.0
2013-01-08 12:00:00,74.75,43.82,-124.49,5.87,0.05,-0.0,0.0
2013-01-08 15:00:00,78.31,47.56,-135.24,9.35,0.01,-0.0,0.0
2013-01-08 18:00:00,79.17,47.39,-136.01,9.44,0.0,-0.0,0.0
2013-01-08 21:00:00,47.57,41.63,-89.91,0.71,0.0,-0.0,0.0
2013-01-09 00:00:00,41.64,39.4,-82.09,1.05,0.0,-0.0,0.0
2013-01-09 03:00:00,75.92,50.13,-138.55,12.5,0.0,-0.0,0.0
2013-01-09 06:00:00,81.82,52.32,-147.62,13.47,0.0,-0.0,0.0
2013-01-09 09:00:00,86.43,38.8,-133.19,7.94,0.02,-0.0,0.0
2013-01-09 12:00:00,86.54,36.27,-129.5,6.64,0.04,-0.0,0.0
2013-01-09 15:00:00,86.24,44.07,-140.53,10.22,0.0,-0.0,0.0
2013-01-09 18:00:00,85.53,45.76,-141.74,10.45,0.0,-0.0,0.0
2013-01-09 21:00:00,56.84,36.37,-94.15,0.94,0.0,-0.0,0.0
2013-01-10 00:00:00,46.49,35.05,-81.9,0.36,0.0,-0.0,0.0
2013-01-10 03:00:00,77.57,50.15,-137.56,9.84,0.0,0.0,0.0
2013-01-10 06:00:00,82.37,52.03,-147.97,13.56,0.0,0.0,0.0
2013-01-10 09:00:00,92.69,32.49,-133.42,8.22,0.01,-0.0,0.0
2013-01-10 12:00:00,92.95,30.24,-129.52,6.33,0.01,-0.0,0.0
2013-01-10 15:00:00,95.13,35.72,-140.36,9.52,0.0,0.0,0.0
2013-01-10 18:00:00,94.67,36.81,-142.09,10.61,0.0,-0.0,0.0
2013-01-10 21:00:00,73.99,19.63,-94.98,1.36,0.0,-0.0,0.0
2013-01-11 00:00:00,65.25,20.19,-86.61,1.17,0.0,-0.0,0.0
2013-01-11 03:00:00,89.52,49.75,-146.97,7.7,0.0,-0.0,0.0
2013-01-11 06:00:00,93.05,55.47,-158.15,9.63,0.0,0.0,0.0
2013-01-11 09:00:00,95.2,42.44,-142.42,4.77,0.0,0.0,0.0
2013-01-11 12:00:00,97.39,36.84,-138.14,3.9,0.01,-0.0,0.0
2013-01-11 15:00:00,97.2,47.06,-149.89,5.63,0.0,0.0,0.0
2013-01-11 18:00:00,93.56,51.28,-152.07,7.22,0.0,0.0,0.0
2013-01-11 21:00:00,77.03,21.68,-100.72,2.01,0.0,-0.0,0.0
2013-01-12 00:00:00,69.01,22.92,-93.57,1.64,0.0,-0.0,0.0
