snapshot,agriculture heat,services rural gas boiler,services rural ground heat pump,services rural heat,services rural resistive heater,services rural water tanks charger,services rural water tanks discharger
2013-01-01 00:00:00,-21.63,0.2,53.17,-31.74,0.0,-0.03,0.01
2013-01-01 03:00:00,-21.63,1.85,62.19,-45.54,3.13,-0.02,0.01
2013-01-01 06:00:00,-21.63,1.78,62.08,-45.19,2.96,-0.02,0.01
2013-01-01 09:00:00,-21.63,0.82,58.86,-38.52,0.48,-0.03,0.02
2013-01-01 12:00:00,-21.63,0.44,57.03,-35.92,0.09,-0.03,0.02
2013-01-01 15:00:00,-21.63,0.44,56.98,-35.86,0.07,-0.03,0.02
2013-01-01 18:00:00,-21.63,0.03,54.68,-33.08,0.01,-0.02,0.01
2013-01-01 21:00:00,-21.63,0.0,49.17,-27.54,0.0,-0.02,0.01
2013-01-02 00:00:00,-21.63,0.12,53.4,-31.89,0.01,-0.02,0.01
2013-01-02 03:00:00,-21.63,2.11,63.12,-45.83,2.22,-0.02,0.01
2013-01-02 06:00:00,-21.63,1.97,63.2,-45.33,1.8,-0.02,0.01
2013-01-02 09:00:00,-21.63,0.55,59.39,-38.64,0.33,-0.02,0.01
2013-01-02 12:00:00,-21.63,0.27,57.33,-36.06,0.09,-0.02,0.01
2013-01-02 15:00:00,-21.63,0.27,57.29,-36.01,0.08,-0.02,0.01
2013-01-02 18:00:00,-21.63,0.01,54.77,-33.17,0.02,-0.02,0.01
2013-01-02 21:00:00,-21.63,0.0,49.26,-27.63,0.0,-0.02,0.01
2013-01-03 00:00:00,-21.63,0.01,50.47,-28.86,0.02,-0.02,0.01
2013-01-03 03:00:00,-21.63,1.64,59.85,-41.24,1.38,-0.02,0.02
2013-01-03 06:00:00,-21.63,1.38,59.77,-40.7,1.18,-0.02,0.02
2013-01-03 09:00:00,-21.63,0.16,55.93,-34.77,0.6,-0.96,0.68
2013-01-03 12:00:00,-21.63,0.03,53.99,-32.5,0.4,-0.97,0.68
2013-01-03 15:00:00,-21.63,0.03,53.95,-32.46,0.4,-0.97,0.68
2013-01-03 18:00:00,-21.63,0.0,51.51,-29.92,0.3,-0.91,0.64
2013-01-03 21:00:00,-21.63,0.0,46.68,-25.03,0.25,-0.91,0.64
2013-01-04 00:00:00,-21.63,0.0,47.62,-25.99,0.26,-0.89,0.63
2013-01-04 03:00:00,-21.63,0.43,57.19,-36.86,1.13,-0.88,0.62
2013-01-04 06:00:00,-21.63,0.14,57.13,-36.48,1.05,-0.74,0.52
2013-01-04 09:00:00,-21.63,0.0,52.67,-31.25,0.46,-0.86,0.6
2013-01-04 12:00:00,-21.63,0.0,50.8,-29.23,0.31,-0.86,0.61
2013-01-04 15:00:00,-21.63,0.0,50.77,-29.19,0.22,-0.6,0.42
2013-01-04 18:00:00,-21.63,0.0,48.6,-26.96,0.15,-0.53,0.37
2013-01-04 21:00:00,-21.63,0.0,44.7,-23.06,0.06,-0.25,0.18
2013-01-05 00:00:00,-21.63,0.02,50.57,-29.07,0.15,-0.13,0.09
2013-01-05 03:00:00,-21.63,0.22,58.81,-38.4,1.01,-0.06,0.04
2013-01-05 06:00:00,-21.63,0.05,56.42,-35.36,0.55,-0.06,0.04
2013-01-05 09:00:00,-21.63,0.02,52.3,-30.81,0.15,-0.09,0.06
2013-01-05 12:00:00,-21.63,0.05,50.82,-29.26,0.04,-0.09,0.06
2013-01-05 15:00:00,-21.63,0.12,52.01,-30.56,0.08,-0.07,0.05
2013-01-05 18:00:00,-21.63,0.09,50.96,-29.46,0.03,-0.01,0.01
2013-01-05 21:00:00,-21.63,0.07,46.71,-25.15,0.0,-0.01,0.01
2013-01-06 00:00:00,-21.63,0.28,52.78,-31.52,0.1,-0.01,0.01
2013-01-06 03:00:00,-21.63,1.41,60.6,-41.77,1.38,-0.01,0.0
2013-01-06 06:00:00,-21.63,0.73,58.73,-38.43,0.6,-0.01,0.0
2013-01-06 09:00:00,-21.63,0.03,54.88,-33.42,0.14,-0.05,0.03
2013-01-06 12:00:00,-21.63,0.03,53.26,-31.72,0.07,-0.05,0.03
2013-01-06 15:00:00,-21.63,0.12,54.54,-33.14,0.11,-0.0,0.0
2013-01-06 18:00:00,-21.63,0.06,53.45,-31.93,0.05,-0.0,0.0
2013-01-06 21:00:00,-21.63,0.06,48.29,-26.72,0.0,-0.0,0.0
2013-01-07 00:00:00,-21.63,0.42,52.89,-31.72,0.04,-0.0,0.0
2013-01-07 03:00:00,-21.63,2.7,61.4,-45.51,3.03,-0.0,0.0
2013-01-07 06:00:00,-21.63,2.59,61.54,-44.86,2.36,-0.0,0.0
2013-01-07 09:00:00,-21.63,1.16,58.25,-38.26,0.48,-0.0,0.0
2013-01-07 12:00:00,-21.63,0.71,56.48,-35.74,0.19,-0.0,0.0
2013-01-07 15:00:00,-21.63,0.7,56.44,-35.7,0.18,-0.0,0.0
2013-01-07 18:00:00,-21.63,0.08,54.34,-32.82,0.03,-0.0,0.0
2013-01-07 21:00:00,-21.63,0.0,49.04,-27.41,0.0,-0.0,0.0
2013-01-08 00:00:00,-21.63,0.74,54.52,-33.94,0.32,-0.0,0.0
2013-01-08 03:00:00,-21.63,3.15,62.19,-48.86,5.15,-0.0,0.0
2013-01-08 06:00:00,-21.63,3.0,62.42,-48.1,4.3,-0.0,0.0
2013-01-08 09:00:00,-21.63,1.54,59.56,-40.97,1.5,-0.0,0.0
2013-01-08 12:00:00,-21.63,1.17,57.87,-38.26,0.85,-0.0,0.0
2013-01-08 15:00:00,-21.63,1.17,57.83,-38.21,0.84,-0.0,0.0
2013-01-08 18:00:00,-21.63,0.68,55.82,-35.08,0.21,-0.0,0.0
2013-01-08 21:00:00,-21.63,0.33,50.52,-29.25,0.03,-0.0,0.0
2013-01-09 00:00:00,-21.63,0.62,54.44,-33.86,0.43,-0.0,0.0
2013-01-09 03:00:00,-21.63,2.69,62.77,-48.67,4.84,-0.0,0.0
2013-01-09 06:00:00,-21.63,2.57,62.78,-48.14,4.41,-0.0,0.0
2013-01-09 09:00:00,-21.63,1.31,59.77,-41.0,1.55,-0.0,0.0
2013-01-09 12:00:00,-21.63,0.9,58.02,-38.25,0.95,-0.0,0.0
2013-01-09 15:00:00,-21.63,1.03,57.85,-38.18,0.93,-0.0,0.0
2013-01-09 18:00:00,-21.63,0.81,55.65,-35.12,0.28,-0.0,0.0
2013-01-09 21:00:00,-21.63,0.71,50.14,-29.25,0.04,-0.0,0.0
2013-01-10 00:00:00,-21.63,0.73,53.67,-32.91,0.14,-0.0,0.0
2013-01-10 03:00:00,-21.63,2.34,63.38,-47.25,3.15,-0.0,0.0
2013-01-10 06:00:00,-21.63,2.12,63.29,-46.83,3.04,-0.0,0.0
2013-01-10 09:00:00,-21.63,0.88,59.72,-39.9,0.93,-0.0,0.0
2013-01-10 12:00:00,-21.63,0.68,57.71,-37.21,0.45,-0.0,0.0
2013-01-10 15:00:00,-21.63,0.67,57.68,-37.15,0.42,-0.0,0.0
2013-01-10 18:00:00,-21.63,0.24,55.42,-34.21,0.17,-0.0,0.0
2013-01-10 21:00:00,-21.63,0.05,50.06,-28.49,0.01,-0.0,0.0
2013-01-11 00:00:00,-21.63,0.1,56.5,-35.19,0.21,-0.0,0.0
2013-01-11 03:00:00,-21.63,4.29,63.97,-50.77,4.13,-0.0,0.0
2013-01-11 06:00:00,-21.63,4.24,63.96,-50.35,3.78,-0.0,0.0
2013-01-11 09:00:00,-21.63,1.4,62.07,-42.83,0.99,-0.0,0.0
2013-01-11 12:00:00,-21.63,0.46,60.6,-39.9,0.47,-0.0,0.0
2013-01-11 15:00:00,-21.63,0.46,60.56,-39.84,0.45,-0.0,0.0
2013-01-11 18:00:00,-21.63,0.01,58.04,-36.7,0.28,-0.0,0.0
2013-01-11 21:00:00,-21.63,0.0,52.6,-31.04,0.07,-0.0,0.0
2013-01-12 00:00:00,-21.63,1.5,61.46,-42.2,0.87,-0.0,0.0
2013-01-12 03:00:00,-21.63,5.19,64.64,-56.69,8.48,-0.0,0.0
2013-01-12 06:00:00,-21.63,4.97,64.23,-52.06,4.49,-0.0,0.0
2013-01-12 09:00:00,-21.63,2.76,62.79,-45.01,1.1,-0.0,0.0
2013-01-12 12:00:00,-21.63,1.8,61.85,-42.58,0.56,-0.0,0.0
2013-01-12 15:00:00,-21.63,2.78,62.57,-44.59,0.86,-0.0,0.0
2013-01-12 18:00:00,-21.63,1.88,62.09,-42.94,0.6,-0.0,0.0
2013-01-12 21:00:00,-21.63,0.15,57.59,-36.25,0.14,-0.0,0.0
2013-01-13 00:00:00,-21.63,2.61,62.22,-44.04,0.84,-0.0,0.0
2013-01-13 03:00:00,-21.63,5.76,64.52,-59.27,10.62,0.0,0.0
2013-01-13 06:00:00,-21.63,5.47,64.19,-54.48,6.45,-0.0,0.0
2013-01-13 09:00:00,-21.63,3.78,63.1,-47.07,1.83,-0.0,0.0
2013-01-13 12:00:00,-21.63,2.73,62.45,-44.48,0.93,-0.0,0.0
2013-01-13 15:00:00,-21.63,3.72,63.01,-46.59,1.49,-0.0,0.0
2013-01-13 18:00:00,-21.63,2.85,62.55,-44.89,1.12,-0.0,0.0
2013-01-13 21:00:00,-21.63,0.19,58.43,-37.16,0.17,-0.0,0.0
2013-01-14 00:00:00,-21.63,0.95,60.64,-40.3,0.34,-0.0,0.0
2013-01-14 03:00:00,-21.63,5.75,63.89,-58.55,10.54,-0.0,0.0
2013-01-14 06:00:00,-21.63,5.66,63.81,-58.14,10.3,-0.0,0.0
2013-01-14 09:00:00,-21.63,4.89,63.14,-49.32,2.92,-0.0,0.0
2013-01-14 12:00:00,-21.63,3.56,62.67,-45.88,1.28,-0.0,0.0
2013-01-14 15:00:00,-21.63,3.56,62.65,-45.81,1.22,-0.0,0.0
2013-01-14 18:00:00,-21.63,1.73,61.47,-42.17,0.59,-0.0,0.0
2013-01-14 21:00:00,-21.63,0.05,56.3,-34.81,0.09,-0.0,0.0
2013-01-15 00:00:00,-21.63,0.97,60.66,-40.41,0.41,-0.0,0.0
2013-01-15 03:00:00,-21.63,5.45,64.38,-58.74,10.53,0.0,0.0
2013-01-15 06:00:00,-21.63,5.27,64.28,-58.46,10.53,-0.0,0.0
2013-01-15 09:00:00,-21.63,4.3,63.47,-49.57,3.43,-0.0,0.0
2013-01-15 12:00:00,-21.63,3.19,62.79,-46.08,1.73,-0.0,0.0
2013-01-15 15:00:00,-21.63,3.19,62.78,-46.01,1.67,-0.0,0.0
2013-01-15 18:00:00,-21.63,1.6,61.53,-42.4,0.9,-0.0,0.0
2013-01-15 21:00:00,-21.63,0.04,56.42,-34.95,0.12,-0.0,0.0
2013-01-16 00:00:00,-21.63,1.02,61.11,-41.09,0.59,-0.0,0.0
2013-01-16 03:00:00,-21.63,5.24,64.22,-59.77,11.93,-0.0,0.0
2013-01-16 06:00:00,-21.63,5.12,64.14,-59.51,11.88,-0.0,0.0
2013-01-16 09:00:00,-21.63,4.2,63.36,-50.45,4.52,-0.0,0.0
2013-01-16 12:00:00,-21.63,3.28,62.78,-46.89,2.45,-0.0,0.0
2013-01-16 15:00:00,-21.63,3.31,62.74,-46.81,2.39,-0.0,0.0
2013-01-16 18:00:00,-21.63,1.89,61.58,-43.15,1.3,-0.0,0.0
2013-01-16 21:00:00,-21.63,0.79,56.2,-35.54,0.17,-0.0,0.0
