snapshot,services urban decentral air heat pump,services urban decentral gas boiler,services urban decentral heat,services urban decentral resistive heater,services urban decentral solar thermal,services urban decentral water tanks charger,services urban decentral water tanks discharger
2013-01-01 00:00:00,35.59,3.57,-39.63,0.48,0.0,-0.01,0.01
2013-01-01 03:00:00,41.86,6.39,-56.66,8.42,0.0,-0.0,0.0
2013-01-01 06:00:00,41.72,6.27,-56.67,8.69,0.0,-0.01,0.0
2013-01-01 09:00:00,41.32,4.49,-48.35,2.55,0.0,-0.01,0.01
2013-01-01 12:00:00,40.44,3.49,-45.03,1.1,0.0,-0.02,0.01
2013-01-01 15:00:00,39.9,3.95,-44.94,1.09,0.0,-0.01,0.01
2013-01-01 18:00:00,37.71,3.22,-41.64,0.71,0.0,-0.01,0.01
2013-01-01 21:00:00,32.84,1.57,-34.62,0.21,0.0,-0.01,0.01
2013-01-02 00:00:00,36.85,2.82,-40.67,1.01,0.0,-0.01,0.0
2013-01-02 03:00:00,39.9,11.42,-58.31,6.99,0.0,-0.0,0.0
2013-01-02 06:00:00,40.48,11.13,-58.08,6.47,0.0,-0.0,0.0
2013-01-02 09:00:00,40.86,5.88,-49.52,2.78,0.0,-0.01,0.0
2013-01-02 12:00:00,40.78,3.88,-46.15,1.49,0.01,-0.01,0.0
2013-01-02 15:00:00,40.28,4.29,-46.07,1.5,0.0,-0.01,0.0
2013-01-02 18:00:00,38.48,3.12,-42.61,1.02,0.0,-0.01,0.01
2013-01-02 21:00:00,33.91,1.28,-35.43,0.24,0.0,-0.02,0.01
2013-01-03 00:00:00,32.0,2.56,-35.24,0.68,0.0,-0.01,0.01
2013-01-03 03:00:00,36.88,8.01,-50.08,5.19,0.0,-0.01,0.01
2013-01-03 06:00:00,37.44,7.47,-49.66,4.76,0.0,-0.01,0.01
2013-01-03 09:00:00,36.5,3.17,-42.51,3.08,0.01,-0.81,0.57
2013-01-03 12:00:00,36.06,2.09,-39.73,1.81,0.02,-0.84,0.59
2013-01-03 15:00:00,35.84,2.32,-39.67,1.76,0.0,-0.84,0.59
2013-01-03 18:00:00,34.14,1.59,-36.69,1.2,0.0,-0.82,0.58
2013-01-03 21:00:00,30.01,0.52,-30.74,0.45,0.0,-0.85,0.6
2013-01-04 00:00:00,31.33,0.89,-32.64,0.66,0.0,-0.81,0.57
2013-01-04 03:00:00,38.46,3.98,-46.09,3.86,0.0,-0.69,0.49
2013-01-04 06:00:00,39.01,3.27,-45.88,3.77,0.0,-0.58,0.41
2013-01-04 09:00:00,37.04,1.2,-39.35,1.33,0.0,-0.71,0.5
2013-01-04 12:00:00,35.77,0.57,-36.78,0.66,0.01,-0.74,0.52
2013-01-04 15:00:00,35.6,0.69,-36.72,0.58,0.0,-0.5,0.35
2013-01-04 18:00:00,33.34,0.44,-34.04,0.41,0.0,-0.46,0.33
2013-01-04 21:00:00,28.82,0.16,-29.1,0.19,0.0,-0.24,0.17
2013-01-05 00:00:00,34.5,0.91,-36.85,1.48,0.0,-0.12,0.08
2013-01-05 03:00:00,40.75,3.1,-48.69,4.86,0.0,-0.04,0.03
2013-01-05 06:00:00,39.58,2.78,-45.01,2.66,0.0,-0.04,0.03
2013-01-05 09:00:00,37.09,1.24,-39.25,0.94,0.0,-0.08,0.05
2013-01-05 12:00:00,35.66,1.0,-37.22,0.58,0.01,-0.07,0.05
2013-01-05 15:00:00,36.73,1.3,-38.85,0.84,0.0,-0.06,0.04
2013-01-05 18:00:00,35.63,1.11,-37.54,0.8,0.0,-0.01,0.0
2013-01-05 21:00:00,31.2,0.66,-32.07,0.21,0.0,-0.01,0.0
2013-01-06 00:00:00,35.49,2.74,-39.45,1.22,0.0,-0.01,0.0
2013-01-06 03:00:00,41.03,7.84,-52.25,3.38,0.0,-0.0,0.0
2013-01-06 06:00:00,40.22,6.38,-48.3,1.7,0.0,-0.0,0.0
2013-01-06 09:00:00,38.07,3.43,-42.05,0.56,0.01,-0.04,0.03
2013-01-06 12:00:00,36.69,2.88,-39.84,0.28,0.01,-0.04,0.03
2013-01-06 15:00:00,35.78,5.46,-41.61,0.37,0.0,-0.0,0.0
2013-01-06 18:00:00,33.73,6.07,-40.18,0.38,0.0,-0.0,0.0
2013-01-06 21:00:00,28.28,5.29,-33.69,0.12,0.0,-0.0,0.0
2013-01-07 00:00:00,31.14,7.48,-39.25,0.64,0.0,-0.0,0.0
2013-01-07 03:00:00,37.15,14.86,-56.06,4.05,0.0,-0.0,0.0
2013-01-07 06:00:00,36.77,15.52,-55.63,3.34,0.0,-0.0,0.0
2013-01-07 09:00:00,35.2,11.33,-47.51,0.97,0.01,-0.0,0.0
2013-01-07 12:00:00,33.78,10.11,-44.34,0.44,0.02,-0.0,0.0
2013-01-07 15:00:00,27.83,16.0,-44.27,0.44,0.0,-0.0,0.0
2013-01-07 18:00:00,24.49,16.08,-40.87,0.29,0.0,-0.0,0.0
2013-01-07 21:00:00,18.57,15.49,-34.13,0.06,0.0,-0.0,0.0
2013-01-08 00:00:00,22.52,17.96,-41.44,0.96,0.0,-0.0,0.0
2013-01-08 03:00:00,32.71,20.18,-59.41,6.53,0.0,-0.0,0.0
2013-01-08 06:00:00,33.31,19.62,-58.8,5.87,0.0,-0.0,0.0
2013-01-08 09:00:00,30.13,17.72,-50.15,2.29,0.01,-0.0,0.0
2013-01-08 12:00:00,29.36,16.07,-46.81,1.36,0.02,-0.0,0.0
2013-01-08 15:00:00,28.57,16.81,-46.74,1.36,0.0,-0.0,0.0
2013-01-08 18:00:00,25.96,16.23,-43.08,0.89,0.0,-0.0,0.0
2013-01-08 21:00:00,19.31,16.22,-35.92,0.39,0.0,-0.0,0.0
2013-01-09 00:00:00,24.55,17.25,-43.07,1.27,0.0,-0.0,0.0
2013-01-09 03:00:00,35.51,19.67,-61.78,6.6,0.0,0.0,0.0
2013-01-09 06:00:00,35.52,20.18,-61.56,5.87,0.0,0.0,0.0
2013-01-09 09:00:00,35.25,14.69,-52.46,2.51,0.01,-0.0,0.0
2013-01-09 12:00:00,34.2,13.16,-48.86,1.48,0.01,-0.0,0.0
2013-01-09 15:00:00,31.85,15.36,-48.76,1.55,0.0,-0.0,0.0
2013-01-09 18:00:00,28.88,15.14,-45.04,1.02,0.0,-0.0,0.0
2013-01-09 21:00:00,22.66,14.34,-37.44,0.44,0.0,-0.0,0.0
2013-01-10 00:00:00,25.89,16.1,-43.0,1.01,0.0,0.0,0.0
2013-01-10 03:00:00,35.2,20.69,-61.62,5.73,0.0,0.0,0.0
2013-01-10 06:00:00,34.87,20.67,-61.74,6.2,0.0,0.0,0.0
2013-01-10 09:00:00,37.98,11.62,-52.6,3.01,0.0,-0.0,0.0
2013-01-10 12:00:00,37.18,9.9,-48.93,1.84,0.0,-0.0,0.0
2013-01-10 15:00:00,36.73,10.25,-48.81,1.83,0.0,0.0,0.0
2013-01-10 18:00:00,34.9,8.95,-45.18,1.34,0.0,-0.0,0.0
2013-01-10 21:00:00,30.04,6.86,-37.5,0.6,0.0,-0.0,0.0
2013-01-11 00:00:00,32.98,12.22,-46.87,1.67,0.0,-0.0,0.0
2013-01-11 03:00:00,39.08,22.22,-67.6,6.3,0.0,0.0,0.0
2013-01-11 06:00:00,38.7,22.61,-67.57,6.27,0.0,0.0,0.0
2013-01-11 09:00:00,38.86,16.45,-57.45,2.14,0.0,0.0,0.0
2013-01-11 12:00:00,39.24,12.62,-53.42,1.57,0.0,-0.0,0.0
2013-01-11 15:00:00,38.37,13.32,-53.31,1.62,0.0,0.0,0.0
2013-01-11 18:00:00,36.1,11.7,-49.28,1.48,0.0,0.0,0.0
2013-01-11 21:00:00,32.05,8.49,-41.51,0.98,0.0,-0.0,0.0
2013-01-12 00:00:00,36.09,16.76,-55.67,2.82,0.0,-0.0,0.0
2013-01-12 03:00:00,37.89,24.23,-75.03,12.9,0.0,0.0,0.0
2013-01-12 06:00:00,37.63,23.73,-69.21,7.85,0.0,0.0,0.0
2013-01-12 09:00:00,38.31,18.85,-59.84,2.68,0.0,-0.0,0.0
2013-01-12 12:00:00,39.09,15.79,-56.45,1.56,0.01,-0.0,0.0
2013-01-12 15:00:00,38.61,18.28,-59.11,2.21,0.0,-0.0,0.0
2013-01-12 18:00:00,37.0,18.05,-57.08,2.03,0.0,-0.0,0.0
2013-01-12 21:00:00,34.66,12.64,-48.14,0.84,0.0,-0.0,0.0
2013-01-13 00:00:00,36.24,19.76,-58.63,2.63,0.0,0.0,0.0
2013-01-13 03:00:00,37.13,24.72,-79.24,17.39,0.0,0.0,0.0
2013-01-13 06:00:00,37.02,24.53,-73.18,11.63,0.0,0.0,0.0
2013-01-13 09:00:00,37.57,21.26,-63.21,4.38,0.0,-0.0,0.0
2013-01-13 12:00:00,38.28,19.14,-59.55,2.12,0.01,0.0,0.0
2013-01-13 15:00:00,37.55,21.92,-62.37,2.9,0.0,0.0,0.0
2013-01-13 18:00:00,36.05,21.56,-60.27,2.66,0.0,0.0,0.0
