snapshot,AC,BEV charger,DAC,DC,H2 Electrolysis,H2 Fuel Cell,OCGT,PHS,V2G,agriculture electricity,battery charger,battery discharger,electricity,home battery charger,home battery discharger,hydro,industry electricity,offwind-ac,offwind-dc,onwind,residential rural ground heat pump,residential rural resistive heater,residential urban decentral air heat pump,residential urban decentral resistive heater,ror,services rural ground heat pump,services rural resistive heater,services urban decentral air heat pump,services urban decentral resistive heater,solar,solar rooftop,urban central air heat pump,urban central gas CHP,urban central gas CHP CC,urban central resistive heater,urban central solid biomass CHP CC
2013-01-01 00:00:00,0.0,-157.22,-1.57,0.0,-695.56,0.0,0.0,-2.73,1.79,-5.12,-9.19,41.3,-152.86,-0.02,0.01,32.62,-194.35,36.72,96.78,1115.05,-18.85,0.0,-32.55,-0.03,12.32,-15.74,0.0,-15.63,-0.53,0.0,0.0,-51.61,8.93,0.0,-16.18,24.23
2013-01-01 03:00:00,0.0,-113.15,-1.57,-0.0,-634.01,0.0,0.0,0.69,2.47,-5.12,-10.31,50.47,-118.17,-0.02,0.02,34.58,-194.35,30.1,87.48,1055.76,-30.02,-2.64,-43.35,-11.48,12.35,-18.42,-3.48,-18.33,-9.35,0.0,0.0,-52.7,14.02,0.0,-45.82,24.35
2013-01-01 06:00:00,-0.0,-153.11,-1.57,-0.0,-615.15,0.0,0.0,-3.03,0.54,-5.12,-34.1,13.96,-119.28,-0.02,0.02,35.85,-194.35,30.3,99.08,988.68,-31.15,-4.49,-44.87,-17.52,12.49,-18.39,-3.29,-18.34,-9.65,158.08,17.37,-53.39,2.35,0.0,-56.31,24.4
2013-01-01 09:00:00,0.0,-275.86,-1.57,0.0,-907.03,0.0,0.0,-23.72,0.35,-5.12,-157.15,0.27,-149.54,-0.02,0.01,24.62,-194.35,27.25,106.1,832.98,-29.51,-1.07,-43.8,-7.0,12.64,-17.43,-0.53,-17.64,-2.83,831.85,77.02,-53.39,0.0,0.0,-49.52,24.0
2013-01-01 12:00:00,-0.0,-246.28,-1.57,-0.0,-806.84,0.0,0.0,-5.72,0.32,-5.12,-144.35,1.93,-157.28,-0.03,0.01,42.92,-194.35,27.1,111.84,832.75,-28.95,-0.46,-42.89,-4.4,12.97,-16.89,-0.1,-16.84,-1.23,652.76,58.0,-53.39,0.67,0.0,-38.82,24.19
2013-01-01 15:00:00,0.0,-79.01,-1.57,-0.0,-519.33,0.0,0.0,6.17,2.28,-5.12,-0.18,48.48,-177.33,-0.01,0.02,57.1,-194.35,28.0,115.71,797.5,-30.37,-2.4,-44.43,-7.74,13.12,-16.88,-0.08,-17.04,-1.22,67.09,5.18,-53.39,17.0,0.0,-31.66,24.44
2013-01-01 18:00:00,0.0,-53.93,-1.44,-0.0,-460.93,0.0,0.0,7.04,1.49,-5.12,-0.03,73.46,-182.1,-0.01,0.02,59.45,-194.35,32.38,116.75,759.97,-30.59,-2.87,-45.11,-10.45,13.13,-16.2,-0.01,-16.62,-0.79,0.0,0.0,-53.06,17.02,0.0,-31.53,24.44
2013-01-01 21:00:00,-0.0,-52.17,-1.44,-0.0,-412.6,0.0,0.0,6.72,0.76,-5.12,-0.25,55.1,-170.06,-0.01,0.01,58.65,-194.35,32.44,112.97,679.51,-21.51,0.0,-37.4,-0.53,13.18,-14.57,0.0,-14.76,-0.24,0.0,0.0,-51.32,11.02,0.0,-18.32,24.31
2013-01-02 00:00:00,0.0,-44.05,-1.44,0.0,-377.22,0.0,0.0,6.49,0.67,-5.12,-0.18,46.11,-144.59,-0.01,0.01,59.2,-194.35,31.81,108.11,626.09,-18.68,0.0,-33.91,-0.21,13.19,-15.84,-0.01,-16.7,-1.12,0.0,0.0,-49.51,7.42,0.0,-20.57,24.41
2013-01-02 03:00:00,0.0,-28.81,-1.44,-0.0,-327.84,0.0,0.0,7.17,2.7,-5.12,-0.11,67.6,-134.41,-0.01,0.02,62.57,-194.35,27.23,98.08,591.19,-30.36,-1.72,-43.52,-10.63,13.16,-18.73,-2.47,-18.11,-7.77,0.0,0.0,-52.86,16.99,0.0,-32.97,24.56
