snapshot,DAC,Fischer-Tropsch,H2 Fuel Cell,agriculture heat,low-temperature heat for industry,residential rural gas boiler,residential rural ground heat pump,residential rural heat,residential rural resistive heater,residential rural water tanks charger,residential rural water tanks discharger,residential urban decentral air heat pump,residential urban decentral gas boiler,residential urban decentral heat,residential urban decentral resistive heater,residential urban decentral solar thermal,residential urban decentral water tanks charger,residential urban decentral water tanks discharger,services rural gas boiler,services rural ground heat pump,services rural heat,services rural resistive heater,services rural water tanks charger,services rural water tanks discharger,services urban decentral air heat pump,services urban decentral gas boiler,services urban decentral heat,services urban decentral resistive heater,services urban decentral solar thermal,services urban decentral water tanks charger,services urban decentral water tanks discharger,urban central air heat pump,urban central gas CHP,urban central gas CHP CC,urban central gas boiler,urban central heat,urban central resistive heater,urban central solar thermal,urban central solid biomass CHP CC,urban central water tanks charger,urban central water tanks discharger
2013-01-01 00:00:00,-6.0,38.33,0.0,-21.63,-5.94,0.0,63.86,-63.85,0.0,-0.02,0.01,72.79,2.89,-75.7,0.02,0.0,-0.02,0.01,0.2,53.17,-31.74,0.0,-0.03,0.01,35.59,3.57,-39.63,0.48,0.0,-0.01,0.01,121.15,8.93,0.0,3.9,-198.93,16.02,0.0,68.21,-53.83,8.15
2013-01-01 03:00:00,-6.0,40.58,0.0,-21.63,-5.94,4.21,101.68,-108.26,2.37,-0.02,0.01,97.76,18.24,-126.33,10.33,0.0,-0.01,0.01,1.85,62.19,-45.54,3.13,-0.02,0.01,41.86,6.39,-56.66,8.42,0.0,-0.0,0.0,122.28,14.02,0.0,36.44,-315.66,45.36,0.0,68.54,-13.81,14.18
2013-01-01 06:00:00,-6.0,41.15,0.0,-21.63,-5.94,5.05,105.44,-114.53,4.04,-0.02,0.01,101.07,18.71,-135.55,15.77,0.0,-0.01,0.0,1.78,62.08,-45.19,2.96,-0.02,0.01,41.72,6.27,-56.67,8.69,0.0,-0.01,0.0,122.9,2.35,0.0,40.68,-331.58,55.75,0.04,68.68,-11.07,23.02
2013-01-01 09:00:00,-6.0,39.8,0.0,-21.63,-5.94,2.51,99.92,-103.39,0.97,-0.03,0.02,102.28,13.79,-122.38,6.3,0.0,-0.01,0.01,0.82,58.86,-38.52,0.48,-0.03,0.02,41.32,4.49,-48.35,2.55,0.0,-0.01,0.01,126.54,0.0,0.0,27.28,-294.51,49.02,6.41,67.56,-20.33,10.16
2013-01-01 12:00:00,-6.0,39.44,0.0,-21.63,-5.94,2.19,98.01,-100.6,0.41,-0.03,0.02,102.92,11.95,-118.83,3.96,0.0,-0.01,0.01,0.44,57.03,-35.92,0.09,-0.03,0.02,40.44,3.49,-45.03,1.1,0.0,-0.02,0.01,129.38,0.67,0.0,23.96,-282.65,38.44,8.27,68.12,-21.93,8.24
2013-01-01 15:00:00,-6.0,39.07,0.0,-21.63,-5.94,4.35,102.78,-109.29,2.16,-0.03,0.02,103.9,17.83,-128.69,6.97,0.0,-0.01,0.01,0.44,56.98,-35.86,0.07,-0.03,0.02,39.9,3.95,-44.94,1.09,0.0,-0.01,0.01,125.97,17.0,0.0,24.96,-299.51,31.34,0.77,68.81,-13.89,17.41
2013-01-01 18:00:00,-5.53,38.01,0.0,-21.63,-5.94,4.01,103.49,-110.08,2.58,-0.02,0.01,102.32,18.69,-130.41,9.4,0.0,-0.01,0.0,0.03,54.68,-33.08,0.01,-0.02,0.01,37.71,3.22,-41.64,0.71,0.0,-0.01,0.01,121.36,17.02,0.0,24.64,-296.79,31.22,0.0,68.81,-13.22,20.41
2013-01-01 21:00:00,-5.53,35.34,0.0,-21.63,-5.94,0.0,72.73,-72.72,0.0,-0.02,0.01,83.06,3.98,-87.51,0.48,0.0,-0.01,0.01,0.0,49.17,-27.54,0.0,-0.02,0.01,32.84,1.57,-34.62,0.21,0.0,-0.01,0.01,115.67,11.02,0.0,2.41,-210.68,18.14,0.0,68.45,-38.6,9.71
2013-01-02 00:00:00,-5.53,35.19,0.0,-21.63,-5.94,0.0,63.07,-63.06,0.0,-0.02,0.01,74.21,1.99,-76.39,0.19,0.0,-0.01,0.01,0.12,53.4,-31.89,0.01,-0.02,0.01,36.85,2.82,-40.67,1.01,0.0,-0.01,0.0,110.4,7.42,0.0,1.86,-201.93,20.37,0.0,68.72,-41.27,10.71
2013-01-02 03:00:00,-5.53,38.52,0.0,-21.63,-5.94,3.05,102.51,-107.11,1.55,-0.02,0.01,95.58,23.01,-128.17,9.57,0.0,-0.01,0.0,2.11,63.12,-45.83,2.22,-0.02,0.01,39.9,11.42,-58.31,6.99,0.0,-0.0,0.0,116.71,16.99,0.0,31.64,-321.67,32.64,0.0,69.14,-11.96,39.45
2013-01-02 06:00:00,-5.53,38.82,0.0,-21.63,-5.94,3.91,107.11,-112.78,1.76,-0.02,0.01,99.33,25.88,-136.73,11.52,0.0,-0.0,0.0,1.97,63.2,-45.33,1.8,-0.02,0.01,40.48,11.13,-58.08,6.47,0.0,-0.0,0.0,118.21,14.23,0.0,34.84,-336.04,32.0,0.03,69.19,-10.37,50.54
2013-01-02 09:00:00,-6.0,39.27,0.0,-21.63,-5.94,1.49,99.93,-101.86,0.45,-0.02,0.01,100.81,16.08,-123.47,6.57,0.01,-0.01,0.0,0.55,59.39,-38.64,0.33,-0.02,0.01,40.86,5.88,-49.52,2.78,0.0,-0.01,0.0,123.14,4.23,0.0,27.99,-298.4,30.07,4.38,68.78,-11.92,24.39
2013-01-02 12:00:00,-6.0,40.25,0.0,-21.63,-5.94,1.34,97.58,-99.17,0.25,-0.02,0.01,101.88,13.14,-119.96,4.92,0.02,-0.01,0.0,0.27,57.33,-36.06,0.09,-0.02,0.01,40.78,3.88,-46.15,1.49,0.01,-0.01,0.0,126.45,12.35,0.0,17.94,-286.54,23.99,10.65,68.94,-17.16,15.06
2013-01-02 15:00:00,-6.0,39.37,0.0,-21.63,-5.94,3.01,103.72,-107.79,1.07,-0.02,0.01,102.64,19.65,-130.06,7.76,0.0,-0.01,0.0,0.27,57.29,-36.01,0.08,-0.02,0.01,40.28,4.29,-46.07,1.5,0.0,-0.01,0.0,124.94,17.61,0.0,27.02,-303.83,29.95,2.04,69.02,-13.4,19.21
2013-01-02 18:00:00,-6.0,39.34,0.0,-21.63,-5.94,2.5,104.68,-108.46,1.28,-0.02,0.01,101.72,20.83,-131.62,9.07,0.0,-0.01,0.0,0.01,54.77,-33.17,0.02,-0.02,0.01,38.48,3.12,-42.61,1.02,0.0,-0.01,0.01,123.87,17.58,0.0,25.28,-300.55,33.41,0.0,69.02,-13.95,17.93
2013-01-02 21:00:00,-6.0,37.52,0.0,-21.63,-5.94,0.0,71.47,-71.46,0.0,-0.02,0.01,84.12,3.16,-87.84,0.56,0.0,-0.01,0.01,0.0,49.26,-27.63,0.0,-0.02,0.01,33.91,1.28,-35.43,0.24,0.0,-0.02,0.01,117.87,6.39,0.0,2.71,-212.63,12.63,0.0,68.45,-32.77,11.76
2013-01-03 00:00:00,-6.0,37.46,0.0,-21.63,-5.94,0.0,57.8,-57.79,0.0,-0.02,0.01,66.1,1.51,-67.68,0.08,0.0,-0.02,0.01,0.01,50.47,-28.86,0.02,-0.02,0.01,32.0,2.56,-35.24,0.68,0.0,-0.01,0.01,112.77,4.66,0.0,2.05,-177.53,7.65,0.0,68.11,-57.14,13.9
2013-01-03 03:00:00,-6.0,39.13,0.0,-21.63,-5.94,2.21,94.09,-97.17,0.88,-0.02,0.02,87.49,17.53,-111.96,6.95,0.0,-0.01,0.01,1.64,59.85,-41.24,1.38,-0.02,0.02,36.88,8.01,-50.08,5.19,0.0,-0.01,0.01,119.42,18.9,0.0,25.88,-279.52,29.7,0.0,68.13,-30.1,20.4
2013-01-03 06:00:00,-6.0,38.94,0.0,-21.63,-5.94,2.23,98.42,-101.85,1.2,-0.02,0.02,91.6,18.46,-118.4,8.34,0.0,-0.01,0.01,1.38,59.77,-40.7,1.18,-0.02,0.02,37.44,7.47,-49.66,4.76,0.0,-0.01,0.01,120.07,11.45,0.0,35.35,-289.89,31.64,0.0,68.16,-25.18,21.39
2013-01-03 09:00:00,-6.0,38.24,0.0,-21.63,-5.94,0.4,91.28,-92.18,0.79,-0.95,0.67,91.36,9.2,-107.25,6.92,0.02,-0.83,0.59,0.16,55.93,-34.77,0.6,-0.96,0.68,36.5,3.17,-42.51,3.08,0.01,-0.81,0.57,123.33,2.44,0.0,16.4,-258.34,36.45,12.41,65.78,-39.79,14.99
2013-01-03 12:00:00,-6.0,37.89,0.0,-21.63,-5.94,0.37,89.13,-89.85,0.64,-0.95,0.67,92.1,7.49,-104.41,5.03,0.04,-0.85,0.6,0.03,53.99,-32.5,0.4,-0.97,0.68,36.06,2.09,-39.73,1.81,0.02,-0.84,0.59,129.04,2.44,0.0,10.9,-248.65,31.96,23.36,65.39,-54.69,14.28
2013-01-03 15:00:00,-6.0,36.49,0.0,-21.63,-5.94,1.57,95.01,-97.56,1.26,-0.95,0.67,94.69,11.62,-113.07,6.99,0.01,-0.83,0.59,0.03,53.95,-32.46,0.4,-0.97,0.68,35.84,2.32,-39.67,1.76,0.0,-0.84,0.59,102.2,31.27,0.0,19.16,-263.48,31.33,4.77,65.89,-32.26,16.56
2013-01-03 18:00:00,-5.53,36.83,0.0,-21.63,-5.94,0.92,95.89,-98.0,1.45,-0.89,0.63,94.22,12.17,-114.05,7.89,0.0,-0.78,0.55,0.0,51.51,-29.92,0.3,-0.91,0.64,34.14,1.59,-36.69,1.2,0.0,-0.82,0.58,99.85,32.0,0.0,23.1,-260.03,27.83,0.0,65.8,-31.26,17.33
2013-01-03 21:00:00,-5.53,36.09,0.0,-21.63,-5.94,0.0,64.99,-64.98,0.26,-0.91,0.64,75.25,1.12,-76.74,0.63,0.0,-0.88,0.62,0.0,46.68,-25.03,0.25,-0.91,0.64,30.01,0.52,-30.74,0.45,0.0,-0.85,0.6,87.6,19.6,0.0,4.36,-185.4,19.81,0.0,62.27,-49.06,16.19
2013-01-04 00:00:00,-5.53,35.88,0.0,-21.63,-5.94,0.0,52.84,-52.84,0.26,-0.89,0.63,63.03,0.3,-63.35,0.28,0.0,-0.86,0.61,0.0,47.62,-25.99,0.26,-0.89,0.63,31.33,0.89,-32.64,0.66,0.0,-0.81,0.57,83.03,19.55,0.0,3.91,-165.59,19.09,0.0,59.41,-59.33,15.52
2013-01-04 03:00:00,-5.53,37.39,0.0,-21.63,-5.94,0.29,86.47,-87.47,0.96,-0.87,0.61,89.65,8.97,-103.33,4.92,0.0,-0.75,0.53,0.43,57.19,-36.86,1.13,-0.88,0.62,38.46,3.98,-46.09,3.86,0.0,-0.69,0.49,93.52,33.08,0.0,26.51,-257.75,26.35,0.0,62.46,-26.28,16.16
2013-01-04 06:00:00,-5.53,36.49,0.0,-21.63,-5.94,0.05,90.88,-91.9,1.17,-0.72,0.51,94.77,8.96,-109.7,6.15,0.0,-0.61,0.43,0.14,57.13,-36.48,1.05,-0.74,0.52,39.01,3.27,-45.88,3.77,0.0,-0.58,0.41,98.52,25.55,0.0,31.15,-268.38,31.8,0.0,62.69,-22.74,16.35
2013-01-04 09:00:00,-6.0,36.79,0.0,-21.63,-5.94,0.0,82.95,-83.32,0.61,-0.84,0.59,93.05,3.79,-99.51,2.88,0.01,-0.72,0.51,0.0,52.67,-31.25,0.46,-0.86,0.6,37.04,1.2,-39.35,1.33,0.0,-0.71,0.5,97.71,22.34,0.0,10.28,-239.54,33.12,8.87,57.96,-27.94,12.35
2013-01-04 12:00:00,-6.0,35.69,0.0,-21.63,-5.94,0.0,80.98,-81.22,0.49,-0.84,0.59,92.78,2.51,-96.87,1.78,0.02,-0.73,0.51,0.0,50.8,-29.23,0.31,-0.86,0.61,35.77,0.57,-36.78,0.66,0.01,-0.74,0.52,99.57,22.13,0.0,5.56,-230.55,28.82,18.13,57.89,-37.87,12.55
2013-01-04 15:00:00,-5.53,35.06,0.0,-21.63,-5.94,0.01,87.37,-88.0,0.79,-0.58,0.41,96.08,5.25,-104.67,3.49,0.0,-0.5,0.35,0.0,50.77,-29.19,0.22,-0.6,0.42,35.6,0.69,-36.72,0.58,0.0,-0.5,0.35,99.65,27.81,0.0,14.59,-243.9,26.32,3.94,60.03,-25.94,13.89
