snapshot,DAC,Fischer-Tropsch,H2 Fuel Cell,low-temperature heat for industry,urban central air heat pump,urban central gas CHP,urban central gas CHP CC,urban central gas boiler,urban central heat,urban central resistive heater,urban central solar thermal,urban central solid biomass CHP CC,urban central water tanks charger,urban central water tanks discharger
2013-01-01 00:00:00,-6.0,38.33,0.0,-5.94,121.15,8.93,0.0,3.9,-198.93,16.02,0.0,68.21,-53.83,8.15
2013-01-01 03:00:00,-6.0,40.58,0.0,-5.94,122.28,14.02,0.0,36.44,-315.66,45.36,0.0,68.54,-13.81,14.18
2013-01-01 06:00:00,-6.0,41.15,0.0,-5.94,122.9,2.35,0.0,40.68,-331.58,55.75,0.04,68.68,-11.07,23.02
2013-01-01 09:00:00,-6.0,39.8,0.0,-5.94,126.54,0.0,0.0,27.28,-294.51,49.02,6.41,67.56,-20.33,10.16
2013-01-01 12:00:00,-6.0,39.44,0.0,-5.94,129.38,0.67,0.0,23.96,-282.65,38.44,8.27,68.12,-21.93,8.24
2013-01-01 15:00:00,-6.0,39.07,0.0,-5.94,125.97,17.0,0.0,24.96,-299.51,31.34,0.77,68.81,-13.89,17.41
2013-01-01 18:00:00,-5.53,38.01,0.0,-5.94,121.36,17.02,0.0,24.64,-296.79,31.22,0.0,68.81,-13.22,20.41
2013-01-01 21:00:00,-5.53,35.34,0.0,-5.94,115.67,11.02,0.0,2.41,-210.68,18.14,0.0,68.45,-38.6,9.71
2013-01-02 00:00:00,-5.53,35.19,0.0,-5.94,110.4,7.42,0.0,1.86,-201.93,20.37,0.0,68.72,-41.27,10.71
2013-01-02 03:00:00,-5.53,38.52,0.0,-5.94,116.71,16.99,0.0,31.64,-321.67,32.64,0.0,69.14,-11.96,39.45
2013-01-02 06:00:00,-5.53,38.82,0.0,-5.94,118.21,14.23,0.0,34.84,-336.04,32.0,0.03,69.19,-10.37,50.54
2013-01-02 09:00:00,-6.0,39.27,0.0,-5.94,123.14,4.23,0.0,27.99,-298.4,30.07,4.38,68.78,-11.92,24.39
2013-01-02 12:00:00,-6.0,40.25,0.0,-5.94,126.45,12.35,0.0,17.94,-286.54,23.99,10.65,68.94,-17.16,15.06
