,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,lcoe,lcoe,lcoe,lcoe,lcoe,market_value,market_value,market_value,market_value,market_value,market_value,io,io,io,io,io,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,storage,storage,storage,storage,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used
,offwind-ac,onwind,residential rural solar thermal,residential urban decentral solar thermal,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal,ror,offwind-dc,CO2 sequestration,H2 liquid,H2 storage,Li ion,battery storage,biogas,co2,fossil gas,gas for industry,heat,hot water storage,low voltage,oil,process emissions,solid biomass,solid biomass for industry,transmission lines,onwind,offwind-ac,offwind-dc,solar rooftop,solar,onwind,offwind-ac,offwind-dc,solar rooftop,solar,ror,oil,hydrogen,electricity,gas,total,BEV charger,H2 Electrolysis,H2 Fuel Cell,H2 liquefaction,V2G,air heat pump,battery storage,electricity distribution grid,ground heat pump,hot water storage,hydroelectricity,methanation,offshore wind,onshore wind,power-to-liquid,resistive heater,solar PV,solar rooftop,solar thermal,H2 storage,Li ion,battery storage,hot water storage,gas,offwind-ac,offwind-dc,oil,onwind,residential rural solar thermal,residential urban decentral solar thermal,ror,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal
AL0 0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.04,0.05,,,,137.62,107.79,101.48,98.59,,,,,49.51,48.29,100.34,,,,,94.91,,,,48.61,44.63,131.08,126.15,,56.5,44.63,,-0.59,0.0,-11.5,-2.88,-14.97,12.18,3.81,0.0,0.02,12.18,0.11,9.0,0.88,0.13,0.81,0.0,1.5,0.0,0.0,0.22,0.39,22.58,2.64,0.22,6.73,27.68,32.59,0.67,,0.0,,,0.0,0.0,0.0,,0.0,0.0,42.31,100.0,0.0
AT0 0,,0.85,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,,,151.45,121.62,122.25,113.06,,,,,60.9,59.8,115.01,,,,,109.57,83.46,,,61.64,54.68,83.46,,,64.46,54.68,87.95,7.41,0.0,16.84,13.78,38.03,24.42,3.95,0.0,0.02,24.42,1.02,0.01,9.38,0.64,10.2,2.3,0.37,0.0,23.18,0.0,4.22,11.43,4.64,0.0,11.6,55.51,0.03,9.59,,,,,47.93,0.0,0.0,0.0,0.0,0.0,15.12,100.0,0.0
AT0 1,,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.04,0.01,,,154.03,124.2,131.01,120.08,,,,,68.51,67.25,121.91,,,,,116.48,,,,,56.98,84.61,,,77.03,65.75,97.28,0.73,0.0,-15.38,0.7,-13.95,2.94,0.2,0.0,0.0,2.94,0.04,1.99,1.12,0.15,1.02,4.27,0.01,0.0,0.0,0.0,0.43,20.17,0.56,1.1,0.57,6.69,5.8,2.25,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
AT0 2,,0.0,0.0,0.0,0.0,0.0,3.12,0.03,0.01,0.04,,,148.66,118.83,120.35,110.53,,,,,63.41,62.48,112.35,,,,,106.92,,,,61.84,58.22,90.01,,,69.28,58.22,85.29,7.1,0.0,-15.53,5.01,-3.41,14.83,2.51,0.0,0.01,14.83,0.34,7.01,6.1,0.76,2.76,8.29,0.45,0.0,0.0,0.0,2.12,48.66,2.82,0.86,6.43,33.71,20.4,5.29,,,,,0.0,0.0,0.0,0.0,0.0,0.0,70.85,100.0,0.0
BA0 0,,0.0,0.0,0.0,0.0,0.0,0.66,0.03,0.01,,,,147.69,117.86,111.95,110.13,,,,,56.64,55.57,112.04,,,,,106.61,,,,55.72,51.16,119.72,,,58.36,51.16,,0.27,0.0,-1.05,1.81,1.03,16.3,0.52,0.0,0.0,16.3,0.11,3.75,2.11,0.27,0.89,0.0,0.03,0.0,0.0,0.0,0.76,15.57,3.83,0.28,1.64,37.03,15.2,1.26,,,,,0.0,0.0,0.0,,0.0,0.0,17.73,100.0,0.0
BE0 0,0.24,0.54,0.0,0.0,0.0,0.0,0.16,0.01,0.0,,0.45,,153.41,123.58,116.43,106.9,,,,,55.68,54.6,108.78,,,,,103.35,39.98,55.58,54.09,65.94,58.61,73.1,78.12,81.81,69.37,58.61,,6.9,0.0,11.8,12.85,31.55,11.29,5.17,0.0,1.64,11.29,1.25,1.06,5.86,0.08,5.92,0.0,1.03,4.33,3.34,0.0,2.51,23.45,2.47,0.0,14.66,25.66,3.07,13.4,,100.0,100.0,,100.0,0.0,0.0,,0.0,0.0,78.86,100.0,0.0
BE0 1,,0.41,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,,,172.88,143.05,145.01,132.75,,,,,65.36,64.53,134.55,,,,,129.12,46.56,,,69.39,61.72,100.5,,,89.59,75.09,145.3,7.74,0.0,-11.68,15.83,11.89,9.01,2.59,0.0,1.31,9.01,0.56,10.08,3.59,0.19,2.81,1.23,0.0,0.0,8.45,0.0,1.12,28.39,1.97,0.0,1.43,20.47,29.34,6.24,,,,,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
BE0 2,,0.04,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,,,179.32,149.49,154.28,140.87,,,,,66.41,65.78,142.77,,,,,137.33,43.72,,,66.83,59.7,115.67,,,96.57,79.41,154.55,4.45,0.0,15.33,30.74,50.52,13.45,4.01,0.0,1.95,13.45,0.88,3.77,4.82,0.06,7.13,0.0,0.0,0.0,1.3,0.0,1.63,21.39,2.94,0.0,1.8,30.56,10.96,12.29,,,,,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
BE0 3,,0.01,0.0,0.0,0.0,0.0,0.14,0.0,0.0,,,,174.51,144.68,146.04,133.73,,,,,64.11,63.29,135.59,,,,,130.15,,,,67.35,60.49,100.83,,,91.14,77.22,,10.31,0.0,14.96,14.48,39.75,6.52,1.97,0.0,0.95,6.52,0.48,0.61,2.94,0.07,2.21,0.0,0.0,0.0,0.45,0.0,0.76,11.44,1.42,0.0,0.98,14.81,1.77,5.04,,,,,100.0,0.0,0.0,,0.0,0.0,100.0,100.0,0.0
