,label,source,target,value
0,BEV charger,electricity grid,battery,890.7456722261101
1,gas,fossil gas,gas,323.7526342425346
2,H2 for industry,H2,H2 for industry demand,195.75999999999996
3,hydro,hydro,electricity grid,348.19274259433183
4,offwind-ac,offwind-ac,electricity grid,182.061597987355
5,H2 for shipping,H2 liquid,H2 for shipping demand,502.844345719181
7,Fischer-Tropsch,H2,oil,994.7276781293093
8,offwind-dc,offwind-dc,electricity grid,609.3323495551692
9,agriculture electricity,electricity grid,agriculture electricity demand,44.861105056391615
10,H2 Electrolysis,electricity grid,H2,2884.6372723179174
11,agriculture heat,heat,agriculture heat demand,189.4575769033617
13,oil,fossil oil,oil,31.923972296140317
14,agriculture machinery oil,oil,agriculture machinery oil demand,86.62592092053184
15,H2 Fuel Cell,H2,electricity grid,1.4160611440856161
16,onwind,onwind,electricity grid,4556.006981187292
17,H2 liquefaction,H2,H2 liquid,502.8443457657602
18,electricity,electricity grid,electricity demand,1720.767554222664
19,OCGT,gas,electricity grid,3.0345679255684046
20,ror,ror,electricity grid,138.64170999068128
21,SMR,gas,H2,1.1595425313130243
23,SMR CC,gas,H2,215.74971788166545
24,industry electricity,electricity grid,industry electricity demand,1702.5200000000004
25,Sabatier,H2,gas,563.0497337675978
26,kerosene for aviation,oil,kerosene for aviation demand,612.245730609382
27,land transport EV,battery,land transport EV demand,779.8986794122219
28,solar,solar,electricity grid,3255.9587455948363
29,V2G,battery,electricity grid,99.76229353889892
30,land transport fuel cell,H2,land transport fuel cell demand,275.2583574396077
31,battery charger,electricity grid,battery,396.0285375836426
32,solar rooftop,solar rooftop,electricity grid,328.1633609044123
33,low-temperature heat for industry,heat,low-temperature heat for industry demand,52.03000000000002
34,battery discharger,battery,electricity grid,388.02717700941685
35,urban central solar thermal,solar thermal,heat,49.526842126977435
37,naphtha for industry,oil,naphtha for industry demand,327.77999999999804
38,biogas to gas,biogas,gas,345.5562015609023
41,gas for industry CC,gas,gas for industry,264.8796976767163
42,residential rural heat,heat,residential rural heat demand,498.6905005004783
43,residential urban decentral heat,heat,residential urban decentral heat demand,628.4028978082292
45,services rural heat,heat,services rural heat demand,188.64718556273084
47,services urban decentral heat,heat,services urban decentral heat demand,251.08738000633363
51,urban central heat,heat,urban central heat demand,1517.1207292301199
