,demand,demand,demand,demand,demand,demand,capacity_factor,capacity_factor,capacity_factor,capacity_factor,capacity_factor,capacity_factor,cop,cop,salt_caverns,salt_caverns,salt_caverns,biomass_potentials,biomass_potentials
,electricity,H2,heat,oil,biomass,process emission,hydroelectricity,offshore wind,onshore wind,solar PV,solar rooftop,solar thermal,air heat pump,ground heat pump,nearshore caverns,offshore caverns,onshore caverns,biogas,solid biomass
AL0 0,5.72,0.82,3.63,0.34,0.5,0.08,,12.76,5.91,13.11,13.11,6.67,2.89,3.79,,,30.19,0.51,2.12
AT0 0,53.02,10.56,39.11,7.41,16.53,1.17,41.93,,15.43,10.22,10.22,4.18,2.62,3.43,,,,1.22,17.55
AT0 1,6.66,0.47,4.55,0.73,1.04,0.0,41.93,,0.89,10.13,10.13,4.94,2.26,3.08,,,,0.11,1.85
AT0 2,36.59,4.49,23.25,7.1,9.11,1.82,41.93,,6.66,10.32,10.32,4.42,2.43,3.22,,,,0.85,16.2
BA0 0,14.52,1.07,6.43,0.27,1.09,0.77,,,4.79,11.39,11.39,5.5,2.74,3.59,,,438.01,0.48,2.55
BE0 0,31.36,18.85,21.7,6.9,4.33,0.96,,43.48,33.12,9.62,9.62,3.65,2.68,3.55,,,,4.77,3.32
BE0 1,21.05,13.98,17.29,7.74,1.64,0.28,56.57,,27.41,9.13,9.13,3.37,2.6,3.45,,,,1.92,2.68
BE0 2,29.17,21.97,25.92,4.45,7.61,1.4,56.57,,28.92,9.45,9.45,3.46,2.66,3.52,,,,2.8,8.58
BE0 3,18.53,10.77,12.57,10.31,4.55,1.24,,,25.25,9.39,9.39,3.39,2.68,3.53,,,,1.76,3.58
BE0 4,29.23,17.42,20.09,14.27,5.12,0.26,,,27.58,9.46,9.46,3.39,2.68,3.54,,,,2.17,2.73
BG0 0,18.87,2.9,9.95,2.78,2.86,0.64,30.41,21.57,14.84,12.56,12.56,6.4,2.89,3.82,,,,0.47,10.68
BG0 1,21.65,2.18,13.89,4.28,1.37,0.46,,,8.12,12.47,12.47,6.35,2.77,3.63,,,,1.26,13.6
CH0 0,22.92,1.78,20.14,11.06,1.66,0.69,29.38,,5.77,10.82,10.82,5.07,2.42,3.24,,,,0.07,6.93
CH0 1,36.2,2.99,37.38,11.78,5.43,0.84,31.73,,2.76,10.27,10.27,4.95,2.36,3.18,,,,0.39,11.57
CZ0 0,23.08,1.98,24.68,2.43,2.99,1.07,,,18.52,9.46,9.46,3.68,2.59,3.41,,,,5.48,10.95
CZ0 1,22.47,5.4,17.03,5.4,6.21,1.12,,,18.71,9.47,9.47,3.74,2.61,3.44,,,,5.31,15.11
CZ0 2,39.84,3.08,37.63,3.63,2.75,0.6,42.04,,15.17,9.32,9.32,3.62,2.56,3.38,,,,1.75,9.58
DE0 0,4.69,0.74,5.98,48.09,20.38,3.09,,,27.4,8.92,8.92,3.28,2.65,3.47,3.26,,86.31,1.61,8.77
DE0 1,17.7,1.97,16.22,15.92,1.59,1.22,75.7,,14.84,9.19,9.19,3.63,2.61,3.43,,,,0.07,2.39
